"Gene.Number","Ensembl.ID","Gene.Name"
0,"ENSMUSG00000000078","Klf6"
1,"ENSMUSG00000000142","Axin2"
2,"ENSMUSG00000000303","Cdh1"
3,"ENSMUSG00000000489","Pdgfb"
4,"ENSMUSG00000000567","Sox9"
5,"ENSMUSG00000000805","Car4"
6,"ENSMUSG00000000938","Hoxa10"
7,"ENSMUSG00000001225","Slc26a3"
8,"ENSMUSG00000001280","Sp1"
9,"ENSMUSG00000001642","Akr1b3"
10,"ENSMUSG00000001670","Tat"
11,"ENSMUSG00000002028","Kmt2a"
12,"ENSMUSG00000002413","Braf"
13,"ENSMUSG00000002428","Hltf"
14,"ENSMUSG00000002885","Adgre5"
15,"ENSMUSG00000002983","Relb"
16,"ENSMUSG00000002997","Prkar2b"
17,"ENSMUSG00000003031","Cdkn1b"
18,"ENSMUSG00000003032","Klf4"
19,"ENSMUSG00000003051","Elf3"
20,"ENSMUSG00000003154","Foxj2"
21,"ENSMUSG00000003308","Keap1"
22,"ENSMUSG00000003534","Ddr1"
23,"ENSMUSG00000003541","Ier3"
24,"ENSMUSG00000004040","Stat3"
25,"ENSMUSG00000004591","Pkn2"
26,"ENSMUSG00000004980","Hnrnpa2b1"
27,"ENSMUSG00000005034","Prkacb"
28,"ENSMUSG00000005087","Cd44"
29,"ENSMUSG00000005514","Por"
30,"ENSMUSG00000005533","Igf1r"
31,"ENSMUSG00000005534","Insr"
32,"ENSMUSG00000005583","Mef2c"
33,"ENSMUSG00000005802","Slc30a4"
34,"ENSMUSG00000005836","Gata6"
35,"ENSMUSG00000005871","Apc"
36,"ENSMUSG00000005893","Nr2c2"
37,"ENSMUSG00000005958","Ephb3"
38,"ENSMUSG00000006699","Cdc42"
39,"ENSMUSG00000006932","Ctnnb1"
40,"ENSMUSG00000009376","Met"
41,"ENSMUSG00000009575","Cbx5"
42,"ENSMUSG00000009828","Cilk1"
43,"ENSMUSG00000009995","Tafazzin"
44,"ENSMUSG00000010175","Prox1"
45,"ENSMUSG00000011034","Slc5a1"
46,"ENSMUSG00000011114","Tbrg1"
47,"ENSMUSG00000013643","Lypd8"
48,"ENSMUSG00000013663","Pten"
49,"ENSMUSG00000014077","Chp1"
50,"ENSMUSG00000014850","Msh3"
51,"ENSMUSG00000015312","Gadd45b"
52,"ENSMUSG00000015656","Hspa8"
53,"ENSMUSG00000015837","Sqstm1"
54,"ENSMUSG00000015839","Nfe2l2"
55,"ENSMUSG00000015846","Rxra"
56,"ENSMUSG00000016458","Wt1"
57,"ENSMUSG00000016933","Plcg1"
58,"ENSMUSG00000017057","Il13ra1"
59,"ENSMUSG00000017950","Hnf4a"
60,"ENSMUSG00000018326","Ywhab"
61,"ENSMUSG00000018569","Cldn7"
62,"ENSMUSG00000018770","Atp5g3"
63,"ENSMUSG00000018927","Ccl6"
64,"ENSMUSG00000018965","Ywhah"
65,"ENSMUSG00000019777","Hdac2"
66,"ENSMUSG00000019850","Tnfaip3"
67,"ENSMUSG00000019890","Nts"
68,"ENSMUSG00000019916","P4ha1"
69,"ENSMUSG00000019929","Dcn"
70,"ENSMUSG00000019966","Kitl"
71,"ENSMUSG00000019987","Arg1"
72,"ENSMUSG00000020027","Socs2"
73,"ENSMUSG00000020044","Timp3"
74,"ENSMUSG00000020062","Slc5a8"
75,"ENSMUSG00000020063","Sirt1"
76,"ENSMUSG00000020075","Ddx21"
77,"ENSMUSG00000020122","Egfr"
78,"ENSMUSG00000020160","Meis1"
79,"ENSMUSG00000020184","Mdm2"
80,"ENSMUSG00000020275","Rel"
81,"ENSMUSG00000020361","Hspa4"
82,"ENSMUSG00000020484","Xbp1"
83,"ENSMUSG00000020609","Apob"
84,"ENSMUSG00000020612","Prkar1a"
85,"ENSMUSG00000020644","Id2"
86,"ENSMUSG00000020661","Dnmt3a"
87,"ENSMUSG00000020717","Pecam1"
88,"ENSMUSG00000020719","Ddx5"
89,"ENSMUSG00000020733","Slc9a3r1"
90,"ENSMUSG00000020788","Atp2a3"
91,"ENSMUSG00000020849","Ywhae"
92,"ENSMUSG00000020911","Krt19"
93,"ENSMUSG00000020914","Top2a"
94,"ENSMUSG00000021065","Fut8"
95,"ENSMUSG00000021109","Hif1a"
96,"ENSMUSG00000021224","Numb"
97,"ENSMUSG00000021250","Fos"
98,"ENSMUSG00000021264","Yy1"
99,"ENSMUSG00000021367","Edn1"
100,"ENSMUSG00000021408","Ripk1"
101,"ENSMUSG00000021432","Slc35b3"
102,"ENSMUSG00000021466","Ptch1"
103,"ENSMUSG00000021549","Rasa1"
104,"ENSMUSG00000021614","Vcan"
105,"ENSMUSG00000021638","Ocln"
106,"ENSMUSG00000021670","Hmgcr"
107,"ENSMUSG00000021699","Pde4d"
108,"ENSMUSG00000021733","Slc4a7"
109,"ENSMUSG00000021754","Map3k1"
110,"ENSMUSG00000021785","Ngly1"
111,"ENSMUSG00000021936","Mapk8"
112,"ENSMUSG00000021948","Prkcd"
113,"ENSMUSG00000021959","Lats2"
114,"ENSMUSG00000021969","Zdhhc20"
115,"ENSMUSG00000022051","Bnip3l"
116,"ENSMUSG00000022105","Rb1"
117,"ENSMUSG00000022114","Spry2"
118,"ENSMUSG00000022126","Acod1"
119,"ENSMUSG00000022240","Ctnnd2"
120,"ENSMUSG00000022285","Ywhaz"
121,"ENSMUSG00000022462","Slc38a2"
122,"ENSMUSG00000022479","Vdr"
123,"ENSMUSG00000022510","Trp63"
124,"ENSMUSG00000022521","Crebbp"
125,"ENSMUSG00000022528","Hes1"
126,"ENSMUSG00000022575","Gsdmd"
127,"ENSMUSG00000022636","Alcam"
128,"ENSMUSG00000022651","Retnlg"
129,"ENSMUSG00000022797","Tfrc"
130,"ENSMUSG00000022824","Muc13"
131,"ENSMUSG00000022865","Cxadr"
132,"ENSMUSG00000022892","App"
133,"ENSMUSG00000022906","Parp9"
134,"ENSMUSG00000022969","Il10rb"
135,"ENSMUSG00000022982","Sod1"
136,"ENSMUSG00000023057","Fabp2"
137,"ENSMUSG00000023067","Cdkn1a"
138,"ENSMUSG00000023073","Slc10a2"
139,"ENSMUSG00000023169","Slc38a1"
140,"ENSMUSG00000023333","Gcm1"
141,"ENSMUSG00000023913","Pla2g7"
142,"ENSMUSG00000023915","Tnfrsf21"
143,"ENSMUSG00000023951","Vegfa"
144,"ENSMUSG00000023959","Clic5"
145,"ENSMUSG00000024029","Tff3"
146,"ENSMUSG00000024140","Epas1"
147,"ENSMUSG00000024190","Dusp1"
148,"ENSMUSG00000024197","Plin3"
149,"ENSMUSG00000024256","Adcyap1"
150,"ENSMUSG00000024290","Rock1"
151,"ENSMUSG00000024335","Brd2"
152,"ENSMUSG00000024359","Hspa9"
153,"ENSMUSG00000024401","Tnf"
154,"ENSMUSG00000024429","Gnl1"
155,"ENSMUSG00000024431","Nr3c1"
156,"ENSMUSG00000024479","Mal2"
157,"ENSMUSG00000024521","Pmaip1"
158,"ENSMUSG00000024539","Ptpn2"
159,"ENSMUSG00000024659","Anxa1"
160,"ENSMUSG00000024767","Otub1"
161,"ENSMUSG00000024789","Jak2"
162,"ENSMUSG00000024812","Tjp2"
163,"ENSMUSG00000024960","Plcb3"
164,"ENSMUSG00000024974","Smc3"
165,"ENSMUSG00000024985","Tcf7l2"
166,"ENSMUSG00000024998","Plce1"
167,"ENSMUSG00000025025","Mxi1"
168,"ENSMUSG00000025130","P4hb"
169,"ENSMUSG00000025139","Tollip"
170,"ENSMUSG00000025202","Scd3"
171,"ENSMUSG00000025243","Slc6a20b"
172,"ENSMUSG00000025261","Huwe1"
173,"ENSMUSG00000025278","Flnb"
174,"ENSMUSG00000025283","Sat1"
175,"ENSMUSG00000025358","Cdk2"
176,"ENSMUSG00000025383","Il23a"
177,"ENSMUSG00000025393","Atp5b"
178,"ENSMUSG00000025612","Bach1"
179,"ENSMUSG00000025790","Slco3a1"
180,"ENSMUSG00000025809","Itgb1"
181,"ENSMUSG00000025812","Pard3"
182,"ENSMUSG00000025860","Xiap"
183,"ENSMUSG00000025880","Smad7"
184,"ENSMUSG00000025888","Casp1"
185,"ENSMUSG00000025903","Lypla1"
186,"ENSMUSG00000025993","Slc40a1"
187,"ENSMUSG00000026031","Cflar"
188,"ENSMUSG00000026043","Col3a1"
189,"ENSMUSG00000026062","Slc9a2"
190,"ENSMUSG00000026073","Il1r2"
191,"ENSMUSG00000026175","Vil1"
192,"ENSMUSG00000026180","Cxcr2"
193,"ENSMUSG00000026289","Atg16l1"
194,"ENSMUSG00000026321","Tnfrsf11a"
195,"ENSMUSG00000026380","Tfcp2l1"
196,"ENSMUSG00000026385","Dbi"
197,"ENSMUSG00000026399","Cd55"
198,"ENSMUSG00000026483","Niban1"
199,"ENSMUSG00000026568","Mpc2"
200,"ENSMUSG00000026581","Sell"
201,"ENSMUSG00000026628","Atf3"
202,"ENSMUSG00000026872","Zeb2"
203,"ENSMUSG00000026883","Dab2ip"
204,"ENSMUSG00000027068","Dhrs9"
205,"ENSMUSG00000027187","Cat"
206,"ENSMUSG00000027219","Slc28a2"
207,"ENSMUSG00000027227","Sord"
208,"ENSMUSG00000027350","Chgb"
209,"ENSMUSG00000027358","Bmp2"
210,"ENSMUSG00000027377","Mall"
211,"ENSMUSG00000027381","Bcl2l11"
212,"ENSMUSG00000027397","Slc20a1"
213,"ENSMUSG00000027398","Il1b"
214,"ENSMUSG00000027399","Il1a"
215,"ENSMUSG00000027508","Pag1"
216,"ENSMUSG00000027513","Pck1"
217,"ENSMUSG00000027556","Car1"
218,"ENSMUSG00000027562","Car2"
219,"ENSMUSG00000027665","Pik3ca"
220,"ENSMUSG00000027684","Mecom"
221,"ENSMUSG00000027692","Tnik"
222,"ENSMUSG00000027695","Pld1"
223,"ENSMUSG00000027737","Slc7a11"
224,"ENSMUSG00000027797","Dclk1"
225,"ENSMUSG00000027852","Nras"
226,"ENSMUSG00000027878","Notch2"
227,"ENSMUSG00000027940","Tpm3"
228,"ENSMUSG00000027957","Slc35a3"
229,"ENSMUSG00000028036","Ptgfr"
