"Gene.Number","bresub","Gene.Name"
0,0.3411,"Klf6"
1,0.3059,"Axin2"
2,0.3895,"Cdh1"
3,0.3903,"Pdgfb"
4,0.4204,"Sox9"
5,0.3803,"Car4"
6,0.5103,"Hoxa10"
7,0.411,"Slc26a3"
8,0.4247,"Sp1"
9,0.4553,"Akr1b3"
10,0.2756,"Tat"
11,0.5377,"Kmt2a"
12,0.3886,"Braf"
13,0.4764,"Hltf"
14,0.3783,"Adgre5"
15,0.4626,"Relb"
16,0.3514,"Prkar2b"
17,0.4413,"Cdkn1b"
18,0.4196,"Klf4"
19,0.4481,"Elf3"
20,0.5013,"Foxj2"
21,0.4585,"Keap1"
22,0.3437,"Ddr1"
23,0.2632,"Ier3"
24,0.4142,"Stat3"
25,0.5378,"Pkn2"
26,0.5186,"Hnrnpa2b1"
27,0.4916,"Prkacb"
28,0.3423,"Cd44"
29,0.2767,"Por"
30,0.2915,"Igf1r"
31,0.424,"Insr"
32,0.5023,"Mef2c"
33,0.5016,"Slc30a4"
34,0.4045,"Gata6"
35,0.4998,"Apc"
36,0.3412,"Nr2c2"
37,0.3264,"Ephb3"
38,0.3119,"Cdc42"
39,0.5113,"Ctnnb1"
40,0.4289,"Met"
41,0.439,"Cbx5"
42,0.4957,"Cilk1"
43,0.3431,"Tafazzin"
44,0.3891,"Prox1"
45,0.3663,"Slc5a1"
46,0.4681,"Tbrg1"
47,0.5438,"Lypd8"
48,0.4596,"Pten"
49,0.282,"Chp1"
50,0.4546,"Msh3"
51,0.3228,"Gadd45b"
52,0.4938,"Hspa8"
53,0.3409,"Sqstm1"
54,0.3446,"Nfe2l2"
55,0.4374,"Rxra"
56,0.4287,"Wt1"
57,0.4494,"Plcg1"
58,0.4284,"Il13ra1"
59,0.4575,"Hnf4a"
60,0.2479,"Ywhab"
61,0.5443,"Cldn7"
62,0.5094,"Atp5g3"
63,0.3647,"Ccl6"
64,0.288,"Ywhah"
65,0.3877,"Hdac2"
66,0.4521,"Tnfaip3"
67,0.4488,"Nts"
68,0.412,"P4ha1"
69,0.4484,"Dcn"
70,0.5024,"Kitl"
71,0.3986,"Arg1"
72,0.3883,"Socs2"
73,0.4238,"Timp3"
74,0.4349,"Slc5a8"
75,0.4206,"Sirt1"
76,0.2876,"Ddx21"
77,0.3849,"Egfr"
78,0.4412,"Meis1"
79,0.3582,"Mdm2"
80,0.3134,"Rel"
81,0.2428,"Hspa4"
82,0.3298,"Xbp1"
83,0.3676,"Apob"
84,0.3475,"Prkar1a"
85,0.4417,"Id2"
86,0.3659,"Dnmt3a"
87,0.195,"Pecam1"
88,0.3123,"Ddx5"
89,0.2219,"Slc9a3r1"
90,0.5504,"Atp2a3"
91,0.4347,"Ywhae"
92,0.4132,"Krt19"
93,0.3535,"Top2a"
94,0.4897,"Fut8"
95,0.2632,"Hif1a"
96,0.3747,"Numb"
97,0.393,"Fos"
98,0.3326,"Yy1"
99,0.1654,"Edn1"
100,0.393,"Ripk1"
101,0.5147,"Slc35b3"
102,0.4001,"Ptch1"
103,0.4731,"Rasa1"
104,0.3861,"Vcan"
105,0.4449,"Ocln"
106,0.4636,"Hmgcr"
107,0.4517,"Pde4d"
108,0.2528,"Slc4a7"
109,0.4571,"Map3k1"
110,0.4273,"Ngly1"
111,0.4987,"Mapk8"
112,0.4426,"Prkcd"
113,0.4408,"Lats2"
114,0.4057,"Zdhhc20"
115,0.2028,"Bnip3l"
116,0.5738,"Rb1"
117,0.4962,"Spry2"
118,0.3166,"Acod1"
119,0.3916,"Ctnnd2"
120,0.453,"Ywhaz"
121,0.5377,"Slc38a2"
122,0.3251,"Vdr"
123,0.3583,"Trp63"
124,0.4062,"Crebbp"
125,0.457,"Hes1"
126,0.41,"Gsdmd"
127,0.1647,"Alcam"
128,0.387,"Retnlg"
129,0.4449,"Tfrc"
130,0.3998,"Muc13"
131,0.4073,"Cxadr"
132,0.384,"App"
133,0.4145,"Parp9"
134,0.4998,"Il10rb"
135,0.4165,"Sod1"
136,0.3936,"Fabp2"
137,0.4415,"Cdkn1a"
138,0.475,"Slc10a2"
139,0.193,"Slc38a1"
140,0.3979,"Gcm1"
141,0.3505,"Pla2g7"
142,0.5912,"Tnfrsf21"
143,0.5223,"Vegfa"
144,0.4603,"Clic5"
145,0.4473,"Tff3"
146,0.4435,"Epas1"
147,0.3137,"Dusp1"
148,0.2784,"Plin3"
149,0.4484,"Adcyap1"
150,0.4631,"Rock1"
151,0.4403,"Brd2"
152,0.2295,"Hspa9"
153,0.3659,"Tnf"
154,0.4302,"Gnl1"
155,0.3929,"Nr3c1"
156,0.4648,"Mal2"
157,0.5348,"Pmaip1"
158,0.3494,"Ptpn2"
159,0.345,"Anxa1"
160,0.3446,"Otub1"
161,0.3348,"Jak2"
162,0.2463,"Tjp2"
163,0.4598,"Plcb3"
164,0.3564,"Smc3"
165,0.3679,"Tcf7l2"
166,0.3645,"Plce1"
167,0.3613,"Mxi1"
168,0.4275,"P4hb"
169,0.2869,"Tollip"
170,0.3497,"Scd3"
171,0.4814,"Slc6a20b"
172,0.4628,"Huwe1"
173,0.3644,"Flnb"
174,0.4555,"Sat1"
175,0.4691,"Cdk2"
176,0.2841,"Il23a"
177,0.2965,"Atp5b"
178,0.4241,"Bach1"
179,0.3651,"Slco3a1"
180,0.3785,"Itgb1"
181,0.3484,"Pard3"
182,0.3234,"Xiap"
183,0.3386,"Smad7"
184,0.4626,"Casp1"
185,0.3524,"Lypla1"
186,0.4167,"Slc40a1"
187,0.4137,"Cflar"
188,0.5443,"Col3a1"
189,0.42,"Slc9a2"
190,0.3646,"Il1r2"
191,0.4175,"Vil1"
192,0.3078,"Cxcr2"
193,0.5027,"Atg16l1"
194,0.2826,"Tnfrsf11a"
195,0.3334,"Tfcp2l1"
196,0.3784,"Dbi"
197,0.437,"Cd55"
198,0.5273,"Niban1"
199,0.4434,"Mpc2"
200,0.3635,"Sell"
201,0.498,"Atf3"
202,0.3922,"Zeb2"
203,0.4872,"Dab2ip"
204,0.3828,"Dhrs9"
205,0.236,"Cat"
206,0.255,"Slc28a2"
207,0.5034,"Sord"
208,0.4891,"Chgb"
209,0.5193,"Bmp2"
210,0.6043,"Mall"
211,0.4402,"Bcl2l11"
212,0.4794,"Slc20a1"
213,0.3282,"Il1b"
214,0.3305,"Il1a"
215,0.3001,"Pag1"
216,0.4637,"Pck1"
217,0.2019,"Car1"
218,0.2218,"Car2"
219,0.4786,"Pik3ca"
220,0.504,"Mecom"
221,0.4938,"Tnik"
222,0.4273,"Pld1"
223,0.3198,"Slc7a11"
224,0.522,"Dclk1"
225,0.5127,"Nras"
226,0.3759,"Notch2"
227,0.3832,"Tpm3"
228,0.308,"Slc35a3"
229,0.4832,"Ptgfr"
230,0.2305,"Gclm"
231,0.436,"Nfkb1"
232,0.5092,"Wls"
233,0.3965,"Bcl10"
234,0.484,"Map3k7"
235,0.3684,"Slc35a1"
236,0.4163,"Xpa"
237,0.456,"Ptprd"
238,0.5132,"Slc44a1"
239,0.3753,"Plin2"
240,0.4128,"Slc35d1"
241,0.3642,"Pde4b"
242,0.3781,"Jak1"
243,0.3973,"Plaa"
244,0.4611,"Scp2"
245,0.4403,"Slc2a1"
246,0.3792,"Gnl2"
247,0.2121,"Sema3a"
248,0.4708,"Bst1"
249,0.4395,"Prom1"
250,0.4896,"Dnajb6"
251,0.2499,"Ppargc1a"
252,0.5506,"Slc34a2"
253,0.4541,"Slc30a9"
254,0.4908,"Rest"
255,0.3627,"Fgf5"
256,0.4493,"P2rx4"
257,0.5007,"Anxa3"
258,0.4123,"Ep400"
259,0.4517,"Foxp2"
260,0.322,"Actb"
261,0.5422,"Pdap1"
262,0.3245,"Cdk8"
263,0.3164,"Cald1"
264,0.1673,"Foxp1"
265,0.4745,"Slc6a6"
