"Gene.Number","bresub","Gene.Name"
0,0.4643,"Klf6"
1,0.3757,"Axin2"
2,0.4217,"Cdh1"
3,0.4183,"Pdgfb"
4,0.3372,"Sox9"
5,0.3799,"Car4"
6,0.4528,"Hoxa10"
7,0.4859,"Slc26a3"
8,0.479,"Sp1"
9,0.4443,"Akr1b3"
10,0.4627,"Tat"
11,0.4733,"Kmt2a"
12,0.3347,"Braf"
13,0.5177,"Hltf"
14,0.5219,"Adgre5"
15,0.4292,"Relb"
16,0.3966,"Prkar2b"
17,0.4367,"Cdkn1b"
18,0.536,"Klf4"
19,0.4702,"Elf3"
20,0.3903,"Foxj2"
21,0.4399,"Keap1"
22,0.3812,"Ddr1"
23,0.415,"Ier3"
24,0.4233,"Stat3"
25,0.3524,"Pkn2"
26,0.3348,"Hnrnpa2b1"
27,0.412,"Prkacb"
28,0.4677,"Cd44"
29,0.5051,"Por"
30,0.2939,"Igf1r"
31,0.4629,"Insr"
32,0.4983,"Mef2c"
33,0.457,"Slc30a4"
34,0.53,"Gata6"
35,0.4624,"Apc"
36,0.5044,"Nr2c2"
37,0.4909,"Ephb3"
38,0.3505,"Cdc42"
39,0.3951,"Ctnnb1"
40,0.266,"Met"
41,0.2988,"Cbx5"
42,0.3926,"Cilk1"
43,0.3797,"Tafazzin"
44,0.467,"Prox1"
45,0.3034,"Slc5a1"
46,0.4791,"Tbrg1"
47,0.5248,"Lypd8"
48,0.1356,"Pten"
49,0.5143,"Chp1"
50,0.4357,"Msh3"
51,0.4683,"Gadd45b"
52,0.449,"Hspa8"
53,0.3811,"Sqstm1"
54,0.4613,"Nfe2l2"
55,0.4022,"Rxra"
56,0.444,"Wt1"
57,0.4699,"Plcg1"
58,0.4597,"Il13ra1"
59,0.4875,"Hnf4a"
60,0.3312,"Ywhab"
61,0.389,"Cldn7"
62,0.442,"Atp5g3"
63,0.4599,"Ccl6"
64,0.4804,"Ywhah"
65,0.3903,"Hdac2"
66,0.4181,"Tnfaip3"
67,0.3914,"Nts"
68,0.5298,"P4ha1"
69,0.4368,"Dcn"
70,0.4301,"Kitl"
71,0.3159,"Arg1"
72,0.502,"Socs2"
73,0.5255,"Timp3"
74,0.5242,"Slc5a8"
75,0.4025,"Sirt1"
76,0.5263,"Ddx21"
77,0.4191,"Egfr"
78,0.4007,"Meis1"
79,0.3865,"Mdm2"
80,0.4242,"Rel"
81,0.3249,"Hspa4"
82,0.4524,"Xbp1"
83,0.1145,"Apob"
84,0.4875,"Prkar1a"
85,0.3216,"Id2"
86,0.4679,"Dnmt3a"
87,0.5196,"Pecam1"
88,0.3445,"Ddx5"
89,0.215,"Slc9a3r1"
90,0.3747,"Atp2a3"
91,0.2902,"Ywhae"
92,0.367,"Krt19"
93,0.3388,"Top2a"
94,0.3264,"Fut8"
95,0.3193,"Hif1a"
96,0.4431,"Numb"
97,0.4735,"Fos"
98,0.5186,"Yy1"
99,0.3477,"Edn1"
100,0.4097,"Ripk1"
101,0.3289,"Slc35b3"
102,0.348,"Ptch1"
103,0.4841,"Rasa1"
104,0.5098,"Vcan"
105,0.4901,"Ocln"
106,0.4235,"Hmgcr"
107,0.5043,"Pde4d"
108,0.3518,"Slc4a7"
109,0.4132,"Map3k1"
110,0.4299,"Ngly1"
111,0.3927,"Mapk8"
112,0.3552,"Prkcd"
113,0.4173,"Lats2"
114,0.3386,"Zdhhc20"
115,0.3594,"Bnip3l"
116,0.3264,"Rb1"
117,0.3914,"Spry2"
118,0.4069,"Acod1"
119,0.4757,"Ctnnd2"
120,0.3491,"Ywhaz"
121,0.324,"Slc38a2"
122,0.4308,"Vdr"
123,0.4006,"Trp63"
124,0.4167,"Crebbp"
125,0.3957,"Hes1"
126,0.4887,"Gsdmd"
127,0.427,"Alcam"
128,0.454,"Retnlg"
129,0.4829,"Tfrc"
130,0.4908,"Muc13"
131,0.519,"Cxadr"
132,0.5281,"App"
133,0.4527,"Parp9"
134,0.4135,"Il10rb"
135,0.4388,"Sod1"
136,0.355,"Fabp2"
137,0.5084,"Cdkn1a"
138,0.4778,"Slc10a2"
139,0.5015,"Slc38a1"
140,0.3974,"Gcm1"
141,0.4971,"Pla2g7"
142,0.5357,"Tnfrsf21"
143,0.475,"Vegfa"
144,0.4251,"Clic5"
145,0.3459,"Tff3"
146,0.4711,"Epas1"
147,0.4131,"Dusp1"
148,0.6479,"Plin3"
149,0.5633,"Adcyap1"
150,0.2729,"Rock1"
151,0.3113,"Brd2"
152,0.3776,"Hspa9"
153,0.427,"Tnf"
154,0.3674,"Gnl1"
155,0.472,"Nr3c1"
156,0.5352,"Mal2"
157,0.3729,"Pmaip1"
158,0.4088,"Ptpn2"
159,0.3875,"Anxa1"
160,0.2884,"Otub1"
161,0.4134,"Jak2"
162,0.4553,"Tjp2"
163,0.4807,"Plcb3"
164,0.3121,"Smc3"
165,0.4475,"Tcf7l2"
166,0.3123,"Plce1"
167,0.3226,"Mxi1"
168,0.3202,"P4hb"
169,0.3823,"Tollip"
170,0.3448,"Scd3"
171,0.4861,"Slc6a20b"
172,0.4471,"Huwe1"
173,0.3083,"Flnb"
174,0.376,"Sat1"
175,0.4734,"Cdk2"
176,0.423,"Il23a"
177,0.2666,"Atp5b"
178,0.4185,"Bach1"
179,0.5196,"Slco3a1"
180,0.4946,"Itgb1"
181,0.4705,"Pard3"
182,0.4107,"Xiap"
183,0.4788,"Smad7"
184,0.5073,"Casp1"
185,0.4386,"Lypla1"
186,0.3118,"Slc40a1"
187,0.4465,"Cflar"
188,0.3505,"Col3a1"
189,0.4939,"Slc9a2"
190,0.4769,"Il1r2"
191,0.3071,"Vil1"
192,0.4864,"Cxcr2"
193,0.431,"Atg16l1"
194,0.2194,"Tnfrsf11a"
195,0.3881,"Tfcp2l1"
196,0.4631,"Dbi"
197,0.3703,"Cd55"
198,0.4387,"Niban1"
199,0.5132,"Mpc2"
200,0.473,"Sell"
201,0.4883,"Atf3"
202,0.3639,"Zeb2"
203,0.3707,"Dab2ip"
204,0.4467,"Dhrs9"
205,0.5571,"Cat"
206,0.3171,"Slc28a2"
207,0.4485,"Sord"
208,0.4188,"Chgb"
209,0.4413,"Bmp2"
210,0.5019,"Mall"
211,0.5049,"Bcl2l11"
212,0.4771,"Slc20a1"
213,0.4326,"Il1b"
214,0.4319,"Il1a"
215,0.274,"Pag1"
216,0.543,"Pck1"
217,0.3709,"Car1"
218,0.4777,"Car2"
219,0.4559,"Pik3ca"
220,0.5319,"Mecom"
221,0.5635,"Tnik"
222,0.4824,"Pld1"
223,0.3782,"Slc7a11"
224,0.4657,"Dclk1"
225,0.4104,"Nras"
226,0.4375,"Notch2"
227,0.5185,"Tpm3"
228,0.3299,"Slc35a3"
229,0.3686,"Ptgfr"
230,0.3817,"Gclm"
231,0.3567,"Nfkb1"
232,0.4626,"Wls"
233,0.4096,"Bcl10"
234,0.453,"Map3k7"
235,0.403,"Slc35a1"
236,0.4081,"Xpa"
237,0.4871,"Ptprd"
238,0.4093,"Slc44a1"
239,0.2739,"Plin2"
240,0.4731,"Slc35d1"
241,0.4043,"Pde4b"
242,0.4368,"Jak1"
243,0.4628,"Plaa"
244,0.4618,"Scp2"
245,0.5069,"Slc2a1"
246,0.4872,"Gnl2"
