"Gene.Number","bresub","Gene.Name"
0,0.4137,"Klf6"
1,0.3061,"Axin2"
2,0.4682,"Cdh1"
3,0.4404,"Pdgfb"
4,0.3898,"Sox9"
5,0.3604,"Car4"
6,0.5094,"Hoxa10"
7,0.3912,"Slc26a3"
8,0.4767,"Sp1"
9,0.5179,"Akr1b3"
10,0.4741,"Tat"
11,0.4839,"Kmt2a"
12,0.3784,"Braf"
13,0.4839,"Hltf"
14,0.4839,"Adgre5"
15,0.4836,"Relb"
16,0.3341,"Prkar2b"
17,0.4535,"Cdkn1b"
18,0.4547,"Klf4"
19,0.4409,"Elf3"
20,0.4486,"Foxj2"
21,0.4915,"Keap1"
22,0.4323,"Ddr1"
23,0.3642,"Ier3"
24,0.4496,"Stat3"
25,0.4503,"Pkn2"
26,0.4421,"Hnrnpa2b1"
27,0.4728,"Prkacb"
28,0.3613,"Cd44"
29,0.5039,"Por"
30,0.2401,"Igf1r"
31,0.4163,"Insr"
32,0.433,"Mef2c"
33,0.4839,"Slc30a4"
34,0.5084,"Gata6"
35,0.4252,"Apc"
36,0.4103,"Nr2c2"
37,0.4575,"Ephb3"
38,0.3623,"Cdc42"
39,0.3575,"Ctnnb1"
40,0.4136,"Met"
41,0.4241,"Cbx5"
42,0.452,"Cilk1"
43,0.3877,"Tafazzin"
44,0.4012,"Prox1"
45,0.5052,"Slc5a1"
46,0.453,"Tbrg1"
47,0.4584,"Lypd8"
48,0.4348,"Pten"
49,0.4519,"Chp1"
50,0.4902,"Msh3"
51,0.3482,"Gadd45b"
52,0.4361,"Hspa8"
53,0.4839,"Sqstm1"
54,0.3744,"Nfe2l2"
55,0.382,"Rxra"
56,0.4839,"Wt1"
57,0.4678,"Plcg1"
58,0.4936,"Il13ra1"
59,0.4981,"Hnf4a"
60,0.3982,"Ywhab"
61,0.4519,"Cldn7"
62,0.4001,"Atp5g3"
63,0.4617,"Ccl6"
64,0.4374,"Ywhah"
65,0.3202,"Hdac2"
66,0.4595,"Tnfaip3"
67,0.4048,"Nts"
68,0.4643,"P4ha1"
69,0.5242,"Dcn"
70,0.5294,"Kitl"
71,0.5493,"Arg1"
72,0.4328,"Socs2"
73,0.452,"Timp3"
74,0.4978,"Slc5a8"
75,0.4585,"Sirt1"
76,0.4766,"Ddx21"
77,0.3993,"Egfr"
78,0.3855,"Meis1"
79,0.369,"Mdm2"
80,0.4452,"Rel"
81,0.3207,"Hspa4"
82,0.4739,"Xbp1"
83,0.3424,"Apob"
84,0.4312,"Prkar1a"
85,0.4397,"Id2"
86,0.4226,"Dnmt3a"
87,0.3957,"Pecam1"
88,0.4673,"Ddx5"
89,0.2777,"Slc9a3r1"
90,0.3916,"Atp2a3"
91,0.5064,"Ywhae"
92,0.4839,"Krt19"
93,0.338,"Top2a"
94,0.4543,"Fut8"
95,0.3661,"Hif1a"
96,0.4746,"Numb"
97,0.5001,"Fos"
98,0.4832,"Yy1"
99,0.3244,"Edn1"
100,0.3729,"Ripk1"
101,0.3879,"Slc35b3"
102,0.4198,"Ptch1"
103,0.4233,"Rasa1"
104,0.4574,"Vcan"
105,0.412,"Ocln"
106,0.4469,"Hmgcr"
107,0.4839,"Pde4d"
108,0.3918,"Slc4a7"
109,0.4066,"Map3k1"
110,0.3731,"Ngly1"
111,0.5418,"Mapk8"
112,0.3383,"Prkcd"
113,0.4988,"Lats2"
114,0.4047,"Zdhhc20"
115,0.2965,"Bnip3l"
116,0.4355,"Rb1"
117,0.4131,"Spry2"
118,0.3932,"Acod1"
119,0.4839,"Ctnnd2"
120,0.4413,"Ywhaz"
121,0.4493,"Slc38a2"
122,0.4522,"Vdr"
123,0.413,"Trp63"
124,0.4933,"Crebbp"
125,0.4677,"Hes1"
126,0.5221,"Gsdmd"
127,0.3823,"Alcam"
128,0.4429,"Retnlg"
129,0.4576,"Tfrc"
130,0.4345,"Muc13"
131,0.4792,"Cxadr"
132,0.4547,"App"
133,0.3694,"Parp9"
134,0.4603,"Il10rb"
135,0.4881,"Sod1"
136,0.4784,"Fabp2"
137,0.4522,"Cdkn1a"
138,0.4508,"Slc10a2"
139,0.3723,"Slc38a1"
140,0.5063,"Gcm1"
141,0.3777,"Pla2g7"
142,0.4336,"Tnfrsf21"
143,0.4858,"Vegfa"
144,0.4123,"Clic5"
145,0.3654,"Tff3"
146,0.5874,"Epas1"
147,0.4818,"Dusp1"
148,0.4494,"Plin3"
149,0.4885,"Adcyap1"
150,0.4825,"Rock1"
151,0.4668,"Brd2"
152,0.3064,"Hspa9"
153,0.4971,"Tnf"
154,0.3919,"Gnl1"
155,0.4839,"Nr3c1"
156,0.4839,"Mal2"
157,0.484,"Pmaip1"
