"Gene.Number","bresub","Gene.Name"
0,0.4367,"Klf6"
1,0.3799,"Axin2"
2,0.3395,"Cdh1"
3,0.3861,"Pdgfb"
4,0.3799,"Sox9"
5,0.446,"Car4"
6,0.5286,"Hoxa10"
7,0.5342,"Slc26a3"
8,0.3489,"Sp1"
9,0.4591,"Akr1b3"
10,0.2577,"Tat"
11,0.4924,"Kmt2a"
12,0.4104,"Braf"
13,0.433,"Hltf"
14,0.5241,"Adgre5"
15,0.3135,"Relb"
16,0.5401,"Prkar2b"
17,0.3363,"Cdkn1b"
18,0.4057,"Klf4"
19,0.4194,"Elf3"
20,0.3809,"Foxj2"
21,0.4599,"Keap1"
22,0.3056,"Ddr1"
23,0.3872,"Ier3"
24,0.4063,"Stat3"
25,0.3817,"Pkn2"
26,0.4058,"Hnrnpa2b1"
27,0.468,"Prkacb"
28,0.5508,"Cd44"
29,0.237,"Por"
30,0.506,"Igf1r"
31,0.5145,"Insr"
32,0.5119,"Mef2c"
33,0.4111,"Slc30a4"
34,0.3767,"Gata6"
35,0.4506,"Apc"
36,0.4237,"Nr2c2"
37,0.2019,"Ephb3"
38,0.3454,"Cdc42"
39,0.3853,"Ctnnb1"
40,0.4036,"Met"
41,0.4892,"Cbx5"
42,0.4667,"Cilk1"
43,0.4375,"Tafazzin"
44,0.407,"Prox1"
45,0.469,"Slc5a1"
46,0.4661,"Tbrg1"
47,0.4586,"Lypd8"
48,0.2184,"Pten"
49,0.3834,"Chp1"
50,0.4211,"Msh3"
51,0.4921,"Gadd45b"
52,0.2862,"Hspa8"
53,0.4225,"Sqstm1"
54,0.4153,"Nfe2l2"
55,0.4612,"Rxra"
56,0.5359,"Wt1"
57,0.4601,"Plcg1"
58,0.2811,"Il13ra1"
59,0.3856,"Hnf4a"
60,0.2841,"Ywhab"
61,0.4238,"Cldn7"
62,0.3577,"Atp5g3"
63,0.4711,"Ccl6"
64,0.3772,"Ywhah"
65,0.4557,"Hdac2"
66,0.4548,"Tnfaip3"
67,0.4358,"Nts"
68,0.4281,"P4ha1"
69,0.3498,"Dcn"
70,0.4436,"Kitl"
