"Gene.Number","bresub","Gene.Name"
0,0.3916,"Klf6"
1,0.2255,"Axin2"
2,0.4074,"Cdh1"
3,0.397,"Pdgfb"
4,0.4013,"Sox9"
5,0.3634,"Car4"
6,0.4768,"Hoxa10"
7,0.3487,"Slc26a3"
8,0.4267,"Sp1"
9,0.4095,"Akr1b3"
10,0.4845,"Tat"
11,0.4703,"Kmt2a"
12,0.4944,"Braf"
13,0.5589,"Hltf"
14,0.4162,"Adgre5"
15,0.3147,"Relb"
16,0.2569,"Prkar2b"
17,0.3033,"Cdkn1b"
18,0.329,"Klf4"
19,0.4182,"Elf3"
20,0.4039,"Foxj2"
21,0.472,"Keap1"
22,0.4171,"Ddr1"
23,0.2921,"Ier3"
24,0.3523,"Stat3"
25,0.3428,"Pkn2"
26,0.3859,"Hnrnpa2b1"
27,0.3773,"Prkacb"
28,0.3346,"Cd44"
29,0.5067,"Por"
30,0.2291,"Igf1r"
31,0.3247,"Insr"
32,0.3994,"Mef2c"
33,0.4092,"Slc30a4"
34,0.5452,"Gata6"
35,0.4498,"Apc"
36,0.2558,"Nr2c2"
37,0.3039,"Ephb3"
38,0.4945,"Cdc42"
39,0.4188,"Ctnnb1"
40,0.4584,"Met"
41,0.4643,"Cbx5"
42,0.4028,"Cilk1"
43,0.4119,"Tafazzin"
44,0.2823,"Prox1"
45,0.3115,"Slc5a1"
46,0.3946,"Tbrg1"
47,0.435,"Lypd8"
48,0.3333,"Pten"
49,0.389,"Chp1"
50,0.4667,"Msh3"
51,0.291,"Gadd45b"
52,0.4373,"Hspa8"
53,0.3235,"Sqstm1"
54,0.2193,"Nfe2l2"
55,0.4228,"Rxra"
56,0.4546,"Wt1"
57,0.4113,"Plcg1"
58,0.366,"Il13ra1"
59,0.4182,"Hnf4a"
60,0.2828,"Ywhab"
61,0.4337,"Cldn7"
62,0.3227,"Atp5g3"
63,0.4515,"Ccl6"
64,0.3952,"Ywhah"
65,0.3183,"Hdac2"
66,0.3579,"Tnfaip3"
67,0.3766,"Nts"
68,0.3921,"P4ha1"
69,0.4487,"Dcn"
70,0.4479,"Kitl"
71,0.4,"Arg1"
72,0.3658,"Socs2"
73,0.4289,"Timp3"
74,0.345,"Slc5a8"
75,0.3744,"Sirt1"
76,0.3348,"Ddx21"
77,0.3544,"Egfr"
78,0.4115,"Meis1"
79,0.3602,"Mdm2"
80,0.285,"Rel"
81,0.3301,"Hspa4"
82,0.4718,"Xbp1"
83,0.331,"Apob"
84,0.4166,"Prkar1a"
85,0.4072,"Id2"
86,0.4244,"Dnmt3a"
87,0.185,"Pecam1"
88,0.309,"Ddx5"
89,0.3312,"Slc9a3r1"
90,0.5297,"Atp2a3"
91,0.3027,"Ywhae"
92,0.4039,"Krt19"
93,0.3191,"Top2a"
94,0.4189,"Fut8"
95,0.4101,"Hif1a"
96,0.4457,"Numb"
97,0.5252,"Fos"
98,0.3953,"Yy1"
99,0.2736,"Edn1"
100,0.404,"Ripk1"
101,0.3911,"Slc35b3"
102,0.3324,"Ptch1"
103,0.3585,"Rasa1"
104,0.345,"Vcan"
105,0.3142,"Ocln"
106,0.2919,"Hmgcr"
107,0.4686,"Pde4d"
108,0.4667,"Slc4a7"
109,0.337,"Map3k1"
110,0.2375,"Ngly1"
111,0.3624,"Mapk8"
112,0.3646,"Prkcd"
113,0.3934,"Lats2"
114,0.4346,"Zdhhc20"
115,0.2612,"Bnip3l"
116,0.2616,"Rb1"
117,0.245,"Spry2"
118,0.242,"Acod1"
119,0.4669,"Ctnnd2"
120,0.4667,"Ywhaz"
121,0.3879,"Slc38a2"
122,0.2919,"Vdr"
123,0.3301,"Trp63"
124,0.4029,"Crebbp"
125,0.4699,"Hes1"
126,0.4667,"Gsdmd"
