"Gene.Number","bresub","Gene.Name"
0,0.4667,"Klf6"
1,0.2741,"Axin2"
2,0.3245,"Cdh1"
3,0.4586,"Pdgfb"
4,0.453,"Sox9"
5,0.3624,"Car4"
6,0.4678,"Hoxa10"
7,0.4793,"Slc26a3"
8,0.3411,"Sp1"
9,0.4667,"Akr1b3"
10,0.2856,"Tat"
11,0.4401,"Kmt2a"
12,0.3949,"Braf"
13,0.4439,"Hltf"
14,0.4454,"Adgre5"
15,0.4686,"Relb"
16,0.4696,"Prkar2b"
17,0.5591,"Cdkn1b"
18,0.4312,"Klf4"
19,0.4247,"Elf3"
20,0.4064,"Foxj2"
21,0.518,"Keap1"
22,0.4637,"Ddr1"
23,0.317,"Ier3"
24,0.4741,"Stat3"
25,0.431,"Pkn2"
26,0.4283,"Hnrnpa2b1"
27,0.4259,"Prkacb"
28,0.4703,"Cd44"
29,0.2702,"Por"
30,0.2251,"Igf1r"
31,0.4672,"Insr"
32,0.5038,"Mef2c"
33,0.4667,"Slc30a4"
34,0.4257,"Gata6"
35,0.3618,"Apc"
36,0.3982,"Nr2c2"
37,0.2747,"Ephb3"
38,0.4287,"Cdc42"
39,0.3078,"Ctnnb1"
40,0.363,"Met"
41,0.2481,"Cbx5"
42,0.4073,"Cilk1"
43,0.4394,"Tafazzin"
44,0.4257,"Prox1"
45,0.3458,"Slc5a1"
46,0.4329,"Tbrg1"
47,0.4279,"Lypd8"
48,0.3609,"Pten"
49,0.4162,"Chp1"
50,0.3186,"Msh3"
51,0.431,"Gadd45b"
52,0.2971,"Hspa8"
53,0.406,"Sqstm1"
54,0.4189,"Nfe2l2"
55,0.5185,"Rxra"
56,0.4065,"Wt1"
57,0.4847,"Plcg1"
58,0.3294,"Il13ra1"
59,0.4667,"Hnf4a"
60,0.2593,"Ywhab"
61,0.3936,"Cldn7"
62,0.3084,"Atp5g3"
63,0.3948,"Ccl6"
64,0.3751,"Ywhah"
65,0.2667,"Hdac2"
66,0.4109,"Tnfaip3"
67,0.3745,"Nts"
68,0.3883,"P4ha1"
69,0.4089,"Dcn"
70,0.5348,"Kitl"
71,0.3698,"Arg1"
72,0.5178,"Socs2"
73,0.4198,"Timp3"
74,0.3313,"Slc5a8"
75,0.4219,"Sirt1"
76,0.4477,"Ddx21"
77,0.3988,"Egfr"
78,0.3245,"Meis1"
79,0.4004,"Mdm2"
80,0.4667,"Rel"
81,0.4051,"Hspa4"
82,0.4632,"Xbp1"
83,0.3574,"Apob"
84,0.4093,"Prkar1a"
85,0.4471,"Id2"
86,0.3931,"Dnmt3a"
87,0.5811,"Pecam1"
88,0.3753,"Ddx5"
89,0.3499,"Slc9a3r1"
90,0.3316,"Atp2a3"
91,0.4758,"Ywhae"
92,0.3384,"Krt19"
93,0.3274,"Top2a"
94,0.4034,"Fut8"
95,0.4203,"Hif1a"
96,0.3307,"Numb"
97,0.3151,"Fos"
98,0.3694,"Yy1"
99,0.4667,"Edn1"
100,0.4102,"Ripk1"
101,0.309,"Slc35b3"
102,0.4633,"Ptch1"
103,0.4667,"Rasa1"
104,0.3289,"Vcan"
105,0.3733,"Ocln"
106,0.4225,"Hmgcr"
107,0.4563,"Pde4d"
108,0.4817,"Slc4a7"
109,0.3549,"Map3k1"
110,0.2878,"Ngly1"
111,0.5444,"Mapk8"
112,0.2847,"Prkcd"
113,0.4629,"Lats2"
114,0.4108,"Zdhhc20"
115,0.4113,"Bnip3l"
116,0.326,"Rb1"
117,0.3477,"Spry2"
118,0.4684,"Acod1"
119,0.3071,"Ctnnd2"
120,0.3102,"Ywhaz"
121,0.376,"Slc38a2"
122,0.4667,"Vdr"
123,0.3719,"Trp63"
124,0.4124,"Crebbp"
125,0.4667,"Hes1"
126,0.4549,"Gsdmd"
127,0.5018,"Alcam"
128,0.4667,"Retnlg"
129,0.4665,"Tfrc"
130,0.3608,"Muc13"
131,0.427,"Cxadr"
132,0.4015,"App"
133,0.3089,"Parp9"
134,0.4014,"Il10rb"
135,0.5108,"Sod1"
136,0.5001,"Fabp2"
137,0.4632,"Cdkn1a"
138,0.4531,"Slc10a2"
139,0.4647,"Slc38a1"
140,0.323,"Gcm1"
141,0.3833,"Pla2g7"
142,0.3363,"Tnfrsf21"
143,0.4316,"Vegfa"
144,0.3526,"Clic5"
145,0.3159,"Tff3"
146,0.4678,"Epas1"
147,0.293,"Dusp1"
148,0.4546,"Plin3"
149,0.3774,"Adcyap1"
150,0.3736,"Rock1"
151,0.4667,"Brd2"
152,0.4167,"Hspa9"
153,0.38,"Tnf"
154,0.3656,"Gnl1"
155,0.4427,"Nr3c1"
156,0.4784,"Mal2"
157,0.4672,"Pmaip1"
158,0.3502,"Ptpn2"
159,0.4267,"Anxa1"
160,0.3366,"Otub1"
161,0.4348,"Jak2"
162,0.4626,"Tjp2"
163,0.4196,"Plcb3"
164,0.4288,"Smc3"
165,0.4153,"Tcf7l2"
166,0.378,"Plce1"
167,0.4119,"Mxi1"
168,0.3053,"P4hb"
169,0.4796,"Tollip"
170,0.4323,"Scd3"
171,0.3857,"Slc6a20b"
172,0.3671,"Huwe1"
173,0.3988,"Flnb"
174,0.3107,"Sat1"
175,0.3372,"Cdk2"
176,0.3613,"Il23a"
177,0.4466,"Atp5b"
178,0.3851,"Bach1"
179,0.4667,"Slco3a1"
180,0.3349,"Itgb1"
181,0.4093,"Pard3"
182,0.366,"Xiap"
183,0.3139,"Smad7"
184,0.4542,"Casp1"
185,0.4709,"Lypla1"
186,0.366,"Slc40a1"
187,0.4667,"Cflar"
188,0.3792,"Col3a1"
189,0.3388,"Slc9a2"
190,0.3879,"Il1r2"
191,0.3355,"Vil1"
192,0.4441,"Cxcr2"
193,0.3729,"Atg16l1"
194,0.2917,"Tnfrsf11a"
195,0.4326,"Tfcp2l1"
196,0.4435,"Dbi"
197,0.4253,"Cd55"
198,0.4701,"Niban1"
199,0.4774,"Mpc2"
200,0.4208,"Sell"
201,0.4693,"Atf3"
202,0.3226,"Zeb2"
203,0.3826,"Dab2ip"
204,0.4115,"Dhrs9"
205,0.2844,"Cat"
206,0.4668,"Slc28a2"
207,0.3996,"Sord"
208,0.4385,"Chgb"
209,0.3687,"Bmp2"
210,0.3099,"Mall"
211,0.3862,"Bcl2l11"
212,0.3611,"Slc20a1"
213,0.5334,"Il1b"
214,0.4667,"Il1a"
215,0.4251,"Pag1"
216,0.3721,"Pck1"
217,0.4739,"Car1"
218,0.3789,"Car2"
219,0.4258,"Pik3ca"
220,0.4651,"Mecom"
221,0.4643,"Tnik"
222,0.279,"Pld1"
223,0.421,"Slc7a11"
224,0.4744,"Dclk1"
225,0.3782,"Nras"
226,0.2341,"Notch2"
227,0.5412,"Tpm3"
228,0.4851,"Slc35a3"
229,0.3902,"Ptgfr"
230,0.3209,"Gclm"
231,0.3792,"Nfkb1"
232,0.5383,"Wls"
233,0.5127,"Bcl10"
234,0.5031,"Map3k7"
235,0.4767,"Slc35a1"
236,0.2329,"Xpa"
237,0.4142,"Ptprd"
238,0.2299,"Slc44a1"
239,0.4036,"Plin2"
240,0.4596,"Slc35d1"
241,0.6231,"Pde4b"
242,0.4611,"Jak1"
243,0.4178,"Plaa"
244,0.5567,"Scp2"
245,0.4207,"Slc2a1"
246,0.3545,"Gnl2"
247,0.3289,"Sema3a"
248,0.2451,"Bst1"
249,0.2957,"Prom1"
250,0.342,"Dnajb6"
251,0.4026,"Ppargc1a"
252,0.3561,"Slc34a2"
253,0.4316,"Slc30a9"
254,0.4719,"Rest"
255,0.2247,"Fgf5"
256,0.377,"P2rx4"
257,0.4288,"Anxa3"
258,0.4368,"Ep400"
259,0.4278,"Foxp2"
260,0.3517,"Actb"
261,0.4666,"Pdap1"
262,0.4836,"Cdk8"
263,0.3675,"Cald1"
264,0.4801,"Foxp1"
265,0.5741,"Slc6a6"
266,0.3328,"Olr1"
267,0.3062,"Kdm5a"
268,0.4667,"Kras"
269,0.3398,"Atg7"
270,0.4252,"Scnn1a"
271,0.3638,"Cd9"
272,0.3755,"Tjp1"
273,0.4268,"Far1"
274,0.4084,"Aqp8"
275,0.3046,"Tgfb1i1"
276,0.4667,"Itgam"
277,0.2413,"Scnn1b"
278,0.4988,"Stim1"
