"Gene.Number","bresub","Gene.Name"
0,0.3829,"Klf6"
1,0.4069,"Axin2"
2,0.3377,"Cdh1"
3,0.5164,"Pdgfb"
4,0.366,"Sox9"
5,0.5015,"Car4"
6,0.4273,"Hoxa10"
7,0.4403,"Slc26a3"
8,0.3998,"Sp1"
9,0.3963,"Akr1b3"
10,0.3285,"Tat"
11,0.4846,"Kmt2a"
12,0.4518,"Braf"
13,0.4373,"Hltf"
14,0.3931,"Adgre5"
15,0.4463,"Relb"
16,0.3638,"Prkar2b"
17,0.4278,"Cdkn1b"
18,0.4055,"Klf4"
19,0.4025,"Elf3"
20,0.3916,"Foxj2"
21,0.4796,"Keap1"
22,0.4952,"Ddr1"
23,0.1995,"Ier3"
24,0.3005,"Stat3"
25,0.3813,"Pkn2"
26,0.3284,"Hnrnpa2b1"
27,0.381,"Prkacb"
28,0.3714,"Cd44"
29,0.3137,"Por"
30,0.4687,"Igf1r"
31,0.3746,"Insr"
32,0.4945,"Mef2c"
33,0.4564,"Slc30a4"
34,0.4648,"Gata6"
35,0.4759,"Apc"
36,0.3284,"Nr2c2"
37,0.3259,"Ephb3"
38,0.4524,"Cdc42"
39,0.3896,"Ctnnb1"
40,0.3324,"Met"
41,0.2131,"Cbx5"
42,0.3549,"Cilk1"
43,0.4039,"Tafazzin"
44,0.4517,"Prox1"
45,0.2388,"Slc5a1"
46,0.5028,"Tbrg1"
47,0.5174,"Lypd8"
48,0.2496,"Pten"
49,0.3171,"Chp1"
50,0.3593,"Msh3"
51,0.3214,"Gadd45b"
52,0.4503,"Hspa8"
53,0.261,"Sqstm1"
54,0.2659,"Nfe2l2"
55,0.4536,"Rxra"
56,0.3527,"Wt1"
57,0.505,"Plcg1"
58,0.5359,"Il13ra1"
59,0.4694,"Hnf4a"
60,0.4017,"Ywhab"
61,0.4232,"Cldn7"
62,0.4009,"Atp5g3"
63,0.295,"Ccl6"
64,0.2897,"Ywhah"
65,0.4831,"Hdac2"
66,0.3647,"Tnfaip3"
67,0.4207,"Nts"
68,0.3727,"P4ha1"
69,0.5049,"Dcn"
70,0.435,"Kitl"
71,0.2899,"Arg1"
72,0.3889,"Socs2"
73,0.4443,"Timp3"
74,0.465,"Slc5a8"
75,0.3498,"Sirt1"
76,0.2769,"Ddx21"
77,0.4927,"Egfr"
78,0.4923,"Meis1"
79,0.5089,"Mdm2"
80,0.3,"Rel"
81,0.2913,"Hspa4"
82,0.4158,"Xbp1"
83,0.1454,"Apob"
84,0.3541,"Prkar1a"
85,0.3774,"Id2"
86,0.3876,"Dnmt3a"
87,0.2502,"Pecam1"
88,0.1918,"Ddx5"
89,0.4597,"Slc9a3r1"
90,0.3904,"Atp2a3"
91,0.3076,"Ywhae"
92,0.2638,"Krt19"
93,0.392,"Top2a"
94,0.3542,"Fut8"
95,0.4653,"Hif1a"
96,0.1845,"Numb"
97,0.3476,"Fos"
98,0.3523,"Yy1"
99,0.3163,"Edn1"
100,0.4727,"Ripk1"
101,0.3037,"Slc35b3"
102,0.3376,"Ptch1"
103,0.4244,"Rasa1"
104,0.413,"Vcan"
105,0.4524,"Ocln"
106,0.35,"Hmgcr"
107,0.4425,"Pde4d"
108,0.4237,"Slc4a7"
109,0.3284,"Map3k1"
110,0.4598,"Ngly1"
111,0.3943,"Mapk8"
112,0.3688,"Prkcd"
113,0.4623,"Lats2"
114,0.39,"Zdhhc20"
115,0.2449,"Bnip3l"
116,0.2466,"Rb1"
117,0.3773,"Spry2"
118,0.2854,"Acod1"
119,0.3099,"Ctnnd2"
120,0.3165,"Ywhaz"
121,0.3761,"Slc38a2"
122,0.2443,"Vdr"
123,0.4804,"Trp63"
124,0.3674,"Crebbp"
125,0.4503,"Hes1"
126,0.4276,"Gsdmd"
127,0.1843,"Alcam"
128,0.3409,"Retnlg"
129,0.4814,"Tfrc"
130,0.3858,"Muc13"
131,0.4016,"Cxadr"
132,0.388,"App"
133,0.4451,"Parp9"
134,0.3711,"Il10rb"
135,0.4905,"Sod1"
136,0.4979,"Fabp2"
137,0.4455,"Cdkn1a"
138,0.4854,"Slc10a2"
139,0.2267,"Slc38a1"
140,0.4381,"Gcm1"
141,0.3114,"Pla2g7"
142,0.4541,"Tnfrsf21"
143,0.4908,"Vegfa"
144,0.4558,"Clic5"
145,0.4083,"Tff3"
146,0.542,"Epas1"
147,0.275,"Dusp1"
148,0.2983,"Plin3"
149,0.3834,"Adcyap1"
150,0.2715,"Rock1"
151,0.3438,"Brd2"
152,0.3994,"Hspa9"
153,0.3612,"Tnf"
154,0.4777,"Gnl1"
155,0.3753,"Nr3c1"
156,0.4417,"Mal2"
157,0.4117,"Pmaip1"
158,0.4136,"Ptpn2"
159,0.3931,"Anxa1"
160,0.3151,"Otub1"
161,0.2743,"Jak2"
162,0.3372,"Tjp2"
163,0.4766,"Plcb3"
164,0.4619,"Smc3"
165,0.4396,"Tcf7l2"
166,0.489,"Plce1"
167,0.5307,"Mxi1"
168,0.2758,"P4hb"
169,0.52,"Tollip"
170,0.4936,"Scd3"
171,0.4717,"Slc6a20b"
172,0.5059,"Huwe1"
173,0.4473,"Flnb"
174,0.3153,"Sat1"
175,0.494,"Cdk2"
176,0.3093,"Il23a"
177,0.4463,"Atp5b"
178,0.5158,"Bach1"
179,0.2959,"Slco3a1"
180,0.3672,"Itgb1"
181,0.3789,"Pard3"
182,0.2401,"Xiap"
183,0.3188,"Smad7"
184,0.4209,"Casp1"
185,0.332,"Lypla1"
186,0.3358,"Slc40a1"
187,0.4365,"Cflar"
188,0.3177,"Col3a1"
189,0.3809,"Slc9a2"
190,0.3228,"Il1r2"
191,0.2915,"Vil1"
192,0.3152,"Cxcr2"
193,0.5657,"Atg16l1"
194,0.5163,"Tnfrsf11a"
195,0.4382,"Tfcp2l1"
196,0.4115,"Dbi"
197,0.4405,"Cd55"
198,0.4481,"Niban1"
199,0.401,"Mpc2"
200,0.2954,"Sell"
201,0.4836,"Atf3"
202,0.2887,"Zeb2"
203,0.3784,"Dab2ip"
204,0.2581,"Dhrs9"
205,0.236,"Cat"
206,0.4512,"Slc28a2"
207,0.4487,"Sord"
208,0.4176,"Chgb"
209,0.4567,"Bmp2"
210,0.3937,"Mall"
211,0.4034,"Bcl2l11"
212,0.4942,"Slc20a1"
213,0.2971,"Il1b"
214,0.3745,"Il1a"
215,0.3652,"Pag1"
216,0.4303,"Pck1"
217,0.3326,"Car1"
218,0.221,"Car2"
219,0.4059,"Pik3ca"
220,0.526,"Mecom"
221,0.433,"Tnik"
222,0.3884,"Pld1"
223,0.2189,"Slc7a11"
224,0.499,"Dclk1"
225,0.3726,"Nras"
226,0.2138,"Notch2"
227,0.4228,"Tpm3"
228,0.4615,"Slc35a3"
229,0.4005,"Ptgfr"
230,0.2836,"Gclm"
231,0.3108,"Nfkb1"
232,0.4496,"Wls"
233,0.5304,"Bcl10"
234,0.4301,"Map3k7"
235,0.5078,"Slc35a1"
236,0.3146,"Xpa"
237,0.4841,"Ptprd"
238,0.4472,"Slc44a1"
239,0.303,"Plin2"
240,0.4556,"Slc35d1"
241,0.3083,"Pde4b"
242,0.4158,"Jak1"
243,0.3425,"Plaa"
244,0.4505,"Scp2"
245,0.4424,"Slc2a1"
246,0.3404,"Gnl2"
247,0.4792,"Sema3a"
248,0.4485,"Bst1"
249,0.3538,"Prom1"
250,0.4266,"Dnajb6"
251,0.4883,"Ppargc1a"
252,0.3623,"Slc34a2"
253,0.4882,"Slc30a9"
254,0.5056,"Rest"
255,0.3707,"Fgf5"
256,0.2772,"P2rx4"
257,0.4217,"Anxa3"
258,0.4284,"Ep400"
259,0.3687,"Foxp2"
260,0.309,"Actb"
261,0.3767,"Pdap1"
262,0.3897,"Cdk8"
263,0.4391,"Cald1"
264,0.3147,"Foxp1"
265,0.5055,"Slc6a6"
266,0.2855,"Olr1"
267,0.4582,"Kdm5a"
268,0.3682,"Kras"
269,0.3052,"Atg7"
270,0.387,"Scnn1a"
271,0.382,"Cd9"
272,0.4241,"Tjp1"
273,0.3884,"Far1"
274,0.5231,"Aqp8"
275,0.4358,"Tgfb1i1"
276,0.2491,"Itgam"
277,0.473,"Scnn1b"
278,0.3998,"Stim1"
279,0.5357,"Cask"
280,0.4739,"Slc35a2"
281,0.3875,"Efnb1"
282,0.5182,"Car5b"
283,0.5099,"Tsc22d3"
284,0.4159,"Tnfsf13b"
285,0.3815,"Polb"
286,0.5073,"Ikbkb"
287,0.5072,"Slit2"
288,0.2779,"Gsr"
289,0.4681,"Casp3"
290,0.5088,"Rbl2"
291,0.4157,"Aktip"
292,0.3849,"Il15"
293,0.536,"Mt1"
294,0.3302,"Has3"
295,0.4409,"Egln1"
296,0.3675,"Plet1"
297,0.4335,"Apoa1"
298,0.3421,"Ilf3"
299,0.3439,"Gcnt3"
300,0.4589,"Cgnl1"
301,0.476,"Pkm"
302,0.337,"Car12"
303,0.4252,"Slc25a36"
304,0.3025,"Ptgs2"
305,0.2312,"Rpsa"
306,0.4887,"Slco2a1"
307,0.3042,"Gnai2"
308,0.3255,"Nlrp3"
309,0.5008,"Acsl3"
310,0.4046,"Slc16a1"
311,0.4538,"Hspa13"
312,0.461,"Foxj3"
313,0.4169,"Atg9a"
314,0.3036,"Lpar6"
315,0.4324,"Ctnnd1"
316,0.2452,"Slc25a37"
317,0.4151,"Slc26a2"
318,0.471,"Map2k2"
319,0.4394,"Becn1"
320,0.352,"Egln3"
321,0.4307,"Arhgap5"
322,0.2924,"Emsy"
323,0.4194,"Foxa1"
324,0.3675,"Gadd45a"
325,0.402,"Cdc42ep3"
326,0.383,"Foxa2"
327,0.2655,"Kdm6a"
328,0.5,"Muc3"
329,0.2803,"Cdkn1c"
330,0.4291,"Atp8a1"
331,0.4259,"Cd81"
332,0.4919,"Ctnna1"
333,0.3439,"Aim2"
334,0.4342,"Ormdl3"
335,0.3222,"Slc43a2"
336,0.5278,"Hoxa9"
337,0.4489,"F11r"
338,0.2534,"Hoxa5"
339,0.4409,"Slc22a23"
340,0.3038,"Nfe2l1"
341,0.5457,"Lpar1"
342,0.4126,"Nlrp6"
343,0.4727,"Irs2"
344,0.3906,"Marchf6"
345,0.2984,"Camk1d"
346,0.3766,"Rbpj"
347,0.4117,"Il18"
348,0.3802,"Tgfb2"
349,0.2305,"Prss23"
350,0.4957,"Ncam1"
351,0.4643,"Ptger4"
352,0.4641,"Hip1"
353,0.4912,"Lats1"
354,0.2443,"Thbs1"
355,0.4105,"Cdk6"
356,0.4923,"Abcb1a"
357,0.4147,"Cept1"
358,0.471,"Foxa3"
359,0.4402,"Car8"
360,0.4391,"Pik3r1"
361,0.4317,"Irf8"
362,0.3289,"Il17f"
363,0.4816,"Znrf3"
364,0.2886,"Agps"
365,0.511,"Mgat3"
366,0.4681,"Hoxd11"
367,0.2298,"Mapk6"
368,0.4121,"Id1"
369,0.3636,"Flt3"
370,0.3779,"Ptpn11"
371,0.4401,"Foxo1"
372,0.4757,"Dsg2"
373,0.3053,"Tlr7"
374,0.3508,"Fzd1"
375,0.3352,"Prkce"
376,0.3908,"Epcam"
377,0.3999,"Hcar2"
378,0.2556,"Fpr1"
379,0.1782,"Cd24a"
380,0.3817,"Zbtb33"
381,0.4105,"Nrip1"
382,0.4831,"Foxo3"
383,0.4685,"Slc39a9"
384,0.2295,"Arhgap30"
385,0.4281,"Krt8"
386,0.4561,"Hoxb13"
387,0.4657,"Slc17a5"
388,0.4497,"Gja8"
389,0.4695,"Lgr4"
390,0.3319,"Foxc1"
391,0.4137,"Lgals3"
392,0.2979,"Ftl1"
393,0.2516,"Prkca"
394,0.316,"Ffar2"
395,0.3945,"Cacna1c"
396,0.3039,"Ywhag"
397,0.383,"Ttn"
398,0.4443,"Jun"
399,0.4122,"Prkcb"
400,0.4675,"Tcf4"
401,0.2394,"Lifr"
402,0.434,"Rhob"
403,0.464,"Ceacam2"
404,0.3869,"Slfn5"
405,0.5186,"Slc30a7"
406,0.4243,"Tle5"
407,0.3397,"Adam10"
408,0.417,"Ddx17"
409,0.4841,"Foxd2"
410,0.4664,"Fut9"
411,0.378,"Cldn23"
412,0.2748,"S100a8"
413,0.3279,"S100a9"
414,0.2808,"Socs6"
415,0.3329,"Cebpb"
416,0.2773,"Ptafr"
417,0.2476,"Birc2"
418,0.4428,"Mab21l2"
419,0.412,"Trim31"
420,0.4581,"Nfam1"
421,0.469,"Tspan7"
422,0.4523,"Thra"
423,0.4752,"Septin9"
424,0.3781,"Hopx"
425,0.3625,"Max"
426,0.4575,"Ptk2b"
427,0.2919,"Tpt1"
428,0.426,"Slc4a4"
429,0.478,"Maml3"
430,0.4708,"Dot1l"
431,0.4518,"Slc25a3"
432,0.2914,"Erbb2"
433,0.2762,"Actg1"
434,0.3815,"Acadm"
435,0.4879,"Mapk3"
436,0.3709,"Ldha"
437,0.3327,"Mapk1"
438,0.3604,"Gpx1"
439,0.222,"Nr6a1"
440,0.5206,"mt-Co1"
441,0.4223,"mt-Co3"
442,0.2833,"Slc31a1"
443,0.3262,"Bmpr2"
444,0.5,"Afdn"
445,0.3782,"Duox2"
446,0.3158,"Cgn"
447,0.4135,"Msi2"
448,0.3779,"Ccnd1"
449,0.2838,"Top1"
450,0.3798,"Ceacam20"
451,0.292,"Ptges3"
452,0.3011,"Naip5"
453,0.235,"Reg3b"
454,0.2562,"Csf2rb"
455,0.4469,"Cdkn2b"
456,0.4597,"Ccl28"
457,0.4036,"Selenos"
458,0.2792,"Psme2b"
459,0.4186,"Naip6"
460,0.3706,"Naip2"
461,0.4347,"Naip3"
462,0.4038,"Bcl2l2"
463,0.421,"Slc5a3"
464,0.4658,"Kctd12"
