"Gene.Number","bresub","Gene.Name"
0,0.2391,"Klf6"
1,0.2871,"Axin2"
2,0.3182,"Cdh1"
3,0.3329,"Pdgfb"
4,0.2212,"Sox9"
5,0.2752,"Car4"
6,0.3182,"Hoxa10"
7,0.228,"Slc26a3"
8,0.2977,"Sp1"
9,0.3182,"Akr1b3"
10,0.3182,"Tat"
11,0.2873,"Kmt2a"
12,0.2625,"Braf"
13,0.3203,"Hltf"
14,0.3252,"Adgre5"
15,0.3017,"Relb"
16,0.3182,"Prkar2b"
17,0.2654,"Cdkn1b"
18,0.1671,"Klf4"
19,0.3111,"Elf3"
20,0.3182,"Foxj2"
21,0.3182,"Keap1"
22,0.2727,"Ddr1"
23,0.3182,"Ier3"
24,0.2323,"Stat3"
25,0.3164,"Pkn2"
26,0.3182,"Hnrnpa2b1"
27,0.3182,"Prkacb"
28,0.329,"Cd44"
29,0.321,"Por"
30,0.3182,"Igf1r"
31,0.2712,"Insr"
32,0.3182,"Mef2c"
33,0.2682,"Slc30a4"
34,0.3182,"Gata6"
35,0.3185,"Apc"
36,0.3182,"Nr2c2"
37,0.3182,"Ephb3"
38,0.3182,"Cdc42"
39,0.156,"Ctnnb1"
40,0.3182,"Met"
41,0.3182,"Cbx5"
42,0.2391,"Cilk1"
43,0.2837,"Tafazzin"
44,0.3223,"Prox1"
45,0.2136,"Slc5a1"
46,0.3048,"Tbrg1"
47,0.2084,"Lypd8"
48,0.21,"Pten"
49,0.245,"Chp1"
50,0.2593,"Msh3"
51,0.3182,"Gadd45b"
52,0.3284,"Hspa8"
53,0.2628,"Sqstm1"
54,0.3277,"Nfe2l2"
55,0.2883,"Rxra"
56,0.2954,"Wt1"
57,0.3182,"Plcg1"
58,0.3182,"Il13ra1"
59,0.3182,"Hnf4a"
60,0.3182,"Ywhab"
61,0.3185,"Cldn7"
62,0.3182,"Atp5g3"
63,0.3184,"Ccl6"
64,0.3182,"Ywhah"
65,0.3182,"Hdac2"
66,0.2433,"Tnfaip3"
67,0.186,"Nts"
68,0.2797,"P4ha1"
69,0.3322,"Dcn"
70,0.1445,"Kitl"
71,0.2901,"Arg1"
72,0.3181,"Socs2"
73,0.2816,"Timp3"
74,0.2668,"Slc5a8"
75,0.2269,"Sirt1"
76,0.2603,"Ddx21"
77,0.1759,"Egfr"
78,0.3182,"Meis1"
79,0.3182,"Mdm2"
80,0.3147,"Rel"
81,0.3148,"Hspa4"
82,0.3182,"Xbp1"
83,0.2851,"Apob"
84,0.3182,"Prkar1a"
85,0.2099,"Id2"
86,0.3182,"Dnmt3a"
87,0.3143,"Pecam1"
88,0.3179,"Ddx5"
89,0.3182,"Slc9a3r1"
90,0.3182,"Atp2a3"
91,0.3485,"Ywhae"
92,0.245,"Krt19"
93,0.3182,"Top2a"
94,0.2097,"Fut8"
95,0.3182,"Hif1a"
96,0.3182,"Numb"
