"Gene.Number","bresub","Gene.Name"
0,0.2641,"Klf6"
1,0.3809,"Axin2"
2,0.3627,"Cdh1"
3,0.3698,"Pdgfb"
4,0.3517,"Sox9"
5,0.2973,"Car4"
6,0.5269,"Hoxa10"
7,0.3956,"Slc26a3"
8,0.2548,"Sp1"
9,0.4839,"Akr1b3"
10,0.4031,"Tat"
11,0.4553,"Kmt2a"
12,0.3641,"Braf"
13,0.5186,"Hltf"
14,0.3324,"Adgre5"
15,0.2826,"Relb"
16,0.4296,"Prkar2b"
17,0.3697,"Cdkn1b"
18,0.1645,"Klf4"
19,0.3683,"Elf3"
20,0.4865,"Foxj2"
21,0.4667,"Keap1"
22,0.3351,"Ddr1"
23,0.5413,"Ier3"
24,0.257,"Stat3"
25,0.3358,"Pkn2"
26,0.5076,"Hnrnpa2b1"
27,0.5239,"Prkacb"
28,0.3063,"Cd44"
29,0.3829,"Por"
30,0.3992,"Igf1r"
31,0.3223,"Insr"
32,0.4669,"Mef2c"
33,0.198,"Slc30a4"
34,0.4667,"Gata6"
35,0.3341,"Apc"
36,0.4814,"Nr2c2"
37,0.3255,"Ephb3"
38,0.4667,"Cdc42"
39,0.2373,"Ctnnb1"
40,0.4129,"Met"
41,0.4946,"Cbx5"
42,0.3368,"Cilk1"
43,0.2831,"Tafazzin"
44,0.3799,"Prox1"
45,0.3238,"Slc5a1"
46,0.4156,"Tbrg1"
47,0.308,"Lypd8"
48,0.1567,"Pten"
49,0.3603,"Chp1"
50,0.2883,"Msh3"
51,0.4928,"Gadd45b"
52,0.4113,"Hspa8"
53,0.2397,"Sqstm1"
54,0.3243,"Nfe2l2"
55,0.4444,"Rxra"
56,0.4586,"Wt1"
57,0.4049,"Plcg1"
58,0.3969,"Il13ra1"
59,0.467,"Hnf4a"
60,0.3397,"Ywhab"
61,0.5002,"Cldn7"
62,0.4304,"Atp5g3"
63,0.5142,"Ccl6"
64,0.4464,"Ywhah"
65,0.4108,"Hdac2"
66,0.4206,"Tnfaip3"
67,0.276,"Nts"
68,0.3607,"P4ha1"
69,0.3245,"Dcn"
70,0.2411,"Kitl"
71,0.3804,"Arg1"
72,0.5162,"Socs2"
73,0.346,"Timp3"
74,0.1742,"Slc5a8"
75,0.3026,"Sirt1"
76,0.3976,"Ddx21"
77,0.1115,"Egfr"
78,0.5649,"Meis1"
79,0.5012,"Mdm2"
80,0.4296,"Rel"
81,0.5187,"Hspa4"
82,0.4261,"Xbp1"
83,0.2488,"Apob"
84,0.4324,"Prkar1a"
85,0.2581,"Id2"
86,0.4956,"Dnmt3a"
87,0.3851,"Pecam1"
88,0.3543,"Ddx5"
89,0.3857,"Slc9a3r1"
90,0.3549,"Atp2a3"
91,0.1809,"Ywhae"
92,0.2109,"Krt19"
93,0.4667,"Top2a"
94,0.3787,"Fut8"
95,0.3837,"Hif1a"
96,0.5383,"Numb"
97,0.2965,"Fos"
98,0.4222,"Yy1"
99,0.4604,"Edn1"
100,0.3658,"Ripk1"
101,0.3467,"Slc35b3"
102,0.3729,"Ptch1"
103,0.4205,"Rasa1"
104,0.3442,"Vcan"
105,0.3517,"Ocln"
106,0.4268,"Hmgcr"
107,0.4164,"Pde4d"
108,0.3174,"Slc4a7"
109,0.3069,"Map3k1"
110,0.4151,"Ngly1"
111,0.3909,"Mapk8"
112,0.3974,"Prkcd"
113,0.4159,"Lats2"
114,0.3065,"Zdhhc20"
115,0.2792,"Bnip3l"
116,0.4329,"Rb1"
117,0.4307,"Spry2"
118,0.2056,"Acod1"
119,0.5347,"Ctnnd2"
120,0.3193,"Ywhaz"
121,0.3485,"Slc38a2"
