"Gene.Number","bresub","Gene.Name"
0,0.2026,"Klf6"
1,0.3252,"Axin2"
2,0.4162,"Cdh1"
3,0.4925,"Pdgfb"
4,0.2019,"Sox9"
5,0.3166,"Car4"
6,0.4822,"Hoxa10"
7,0.3953,"Slc26a3"
8,0.445,"Sp1"
9,0.4212,"Akr1b3"
10,0.3247,"Tat"
11,0.4577,"Kmt2a"
12,0.4758,"Braf"
13,0.3316,"Hltf"
14,0.2246,"Adgre5"
15,0.4045,"Relb"
16,0.6018,"Prkar2b"
17,0.5013,"Cdkn1b"
18,0.2281,"Klf4"
19,0.4086,"Elf3"
20,0.4932,"Foxj2"
21,0.3977,"Keap1"
22,0.5292,"Ddr1"
23,0.3378,"Ier3"
24,0.4196,"Stat3"
25,0.4954,"Pkn2"
26,0.43,"Hnrnpa2b1"
27,0.4784,"Prkacb"
28,0.1833,"Cd44"
29,0.199,"Por"
30,0.4118,"Igf1r"
31,0.3736,"Insr"
32,0.415,"Mef2c"
33,0.1712,"Slc30a4"
34,0.3203,"Gata6"
35,0.3771,"Apc"
36,0.4542,"Nr2c2"
37,0.3807,"Ephb3"
38,0.3677,"Cdc42"
39,0.3263,"Ctnnb1"
40,0.4997,"Met"
41,0.4289,"Cbx5"
42,0.3316,"Cilk1"
43,0.3113,"Tafazzin"
44,0.3147,"Prox1"
45,0.3559,"Slc5a1"
46,0.494,"Tbrg1"
47,0.3355,"Lypd8"
48,0.3822,"Pten"
49,0.3088,"Chp1"
50,0.3767,"Msh3"
51,0.4256,"Gadd45b"
52,0.4127,"Hspa8"
53,0.3524,"Sqstm1"
54,0.424,"Nfe2l2"
55,0.4669,"Rxra"
56,0.4548,"Wt1"
57,0.4388,"Plcg1"
58,0.4353,"Il13ra1"
59,0.465,"Hnf4a"
60,0.3541,"Ywhab"
61,0.4578,"Cldn7"
62,0.4278,"Atp5g3"
63,0.4323,"Ccl6"
64,0.4287,"Ywhah"
65,0.4521,"Hdac2"
66,0.3867,"Tnfaip3"
67,0.2259,"Nts"
68,0.3202,"P4ha1"
69,0.4354,"Dcn"
70,0.2594,"Kitl"
71,0.4036,"Arg1"
72,0.4836,"Socs2"
73,0.3584,"Timp3"
74,0.4226,"Slc5a8"
75,0.4792,"Sirt1"
76,0.4346,"Ddx21"
77,0.1496,"Egfr"
78,0.4735,"Meis1"
79,0.4452,"Mdm2"
80,0.4773,"Rel"
81,0.3509,"Hspa4"
82,0.4176,"Xbp1"
83,0.4766,"Apob"
84,0.4406,"Prkar1a"
85,0.3647,"Id2"
86,0.4098,"Dnmt3a"
87,0.4176,"Pecam1"
88,0.4595,"Ddx5"
89,0.4749,"Slc9a3r1"
90,0.426,"Atp2a3"
91,0.4703,"Ywhae"
92,0.1852,"Krt19"
93,0.5073,"Top2a"
94,0.3572,"Fut8"
95,0.4676,"Hif1a"
96,0.3604,"Numb"
97,0.2014,"Fos"
98,0.3776,"Yy1"
99,0.4057,"Edn1"
100,0.3885,"Ripk1"
101,0.3306,"Slc35b3"
102,0.4927,"Ptch1"
103,0.5057,"Rasa1"
104,0.3992,"Vcan"
105,0.5447,"Ocln"
106,0.4973,"Hmgcr"
107,0.5674,"Pde4d"
108,0.4501,"Slc4a7"
109,0.3379,"Map3k1"
110,0.3102,"Ngly1"
111,0.4853,"Mapk8"
112,0.427,"Prkcd"
113,0.3979,"Lats2"
114,0.4402,"Zdhhc20"
115,0.243,"Bnip3l"
116,0.4203,"Rb1"
117,0.3667,"Spry2"
118,0.1711,"Acod1"
119,0.3886,"Ctnnd2"
120,0.2495,"Ywhaz"
121,0.4387,"Slc38a2"
122,0.4925,"Vdr"
123,0.2786,"Trp63"
124,0.3695,"Crebbp"
125,0.4077,"Hes1"
126,0.3847,"Gsdmd"
127,0.2657,"Alcam"
128,0.2658,"Retnlg"
129,0.3206,"Tfrc"
130,0.2693,"Muc13"
131,0.4204,"Cxadr"
132,0.3993,"App"
133,0.4404,"Parp9"
134,0.5012,"Il10rb"
135,0.4368,"Sod1"
136,0.274,"Fabp2"
137,0.3596,"Cdkn1a"
138,0.4779,"Slc10a2"
139,0.5334,"Slc38a1"
140,0.261,"Gcm1"
141,0.4372,"Pla2g7"
142,0.4335,"Tnfrsf21"
143,0.4546,"Vegfa"
144,0.3496,"Clic5"
145,0.3723,"Tff3"
146,0.3282,"Epas1"
147,0.1082,"Dusp1"
148,0.5135,"Plin3"
149,0.5238,"Adcyap1"
150,0.4776,"Rock1"
151,0.4839,"Brd2"
152,0.2744,"Hspa9"
153,0.3806,"Tnf"
154,0.4756,"Gnl1"
155,0.5149,"Nr3c1"
156,0.197,"Mal2"
157,0.3661,"Pmaip1"
158,0.3749,"Ptpn2"
159,0.3026,"Anxa1"
160,0.4748,"Otub1"
161,0.3409,"Jak2"
162,0.3177,"Tjp2"
163,0.3852,"Plcb3"
164,0.3596,"Smc3"
165,0.3861,"Tcf7l2"
166,0.4011,"Plce1"
167,0.3177,"Mxi1"
168,0.4744,"P4hb"
169,0.4768,"Tollip"
170,0.4208,"Scd3"
171,0.37,"Slc6a20b"
172,0.3863,"Huwe1"
173,0.3953,"Flnb"
174,0.2719,"Sat1"
175,0.2739,"Cdk2"
176,0.4364,"Il23a"
177,0.3163,"Atp5b"
178,0.4401,"Bach1"
179,0.467,"Slco3a1"
180,0.3291,"Itgb1"
181,0.3691,"Pard3"
182,0.2966,"Xiap"
183,0.416,"Smad7"
184,0.5071,"Casp1"
185,0.4742,"Lypla1"
186,0.3944,"Slc40a1"
187,0.4612,"Cflar"
188,0.3775,"Col3a1"
189,0.4689,"Slc9a2"
190,0.2408,"Il1r2"
191,0.3563,"Vil1"
192,0.2612,"Cxcr2"
193,0.3951,"Atg16l1"
194,0.4595,"Tnfrsf11a"
195,0.4888,"Tfcp2l1"
196,0.4812,"Dbi"
197,0.1933,"Cd55"
198,0.4749,"Niban1"
199,0.407,"Mpc2"
200,0.3687,"Sell"
201,0.2739,"Atf3"
202,0.3926,"Zeb2"
203,0.4832,"Dab2ip"
204,0.2317,"Dhrs9"
205,0.277,"Cat"
206,0.2476,"Slc28a2"
207,0.3443,"Sord"
208,0.4551,"Chgb"
209,0.3165,"Bmp2"
210,0.266,"Mall"
211,0.4868,"Bcl2l11"
212,0.4809,"Slc20a1"
213,0.1864,"Il1b"
214,0.2613,"Il1a"
215,0.3306,"Pag1"
216,0.5445,"Pck1"
217,0.2675,"Car1"
218,0.4343,"Car2"
219,0.3599,"Pik3ca"
220,0.4131,"Mecom"
221,0.3622,"Tnik"
222,0.5087,"Pld1"
223,0.2575,"Slc7a11"
224,0.4946,"Dclk1"
225,0.3484,"Nras"
226,0.1369,"Notch2"
227,0.3163,"Tpm3"
228,0.3423,"Slc35a3"
229,0.448,"Ptgfr"
230,0.263,"Gclm"
231,0.5342,"Nfkb1"
232,0.2835,"Wls"
233,0.4715,"Bcl10"
234,0.3993,"Map3k7"
235,0.3995,"Slc35a1"
236,0.5066,"Xpa"
237,0.4793,"Ptprd"
238,0.3981,"Slc44a1"
239,0.2467,"Plin2"
240,0.2843,"Slc35d1"
241,0.1139,"Pde4b"
242,0.4736,"Jak1"
243,0.3857,"Plaa"
244,0.6152,"Scp2"
245,0.2386,"Slc2a1"
246,0.4159,"Gnl2"
247,0.4274,"Sema3a"
248,0.3231,"Bst1"
249,0.3891,"Prom1"
250,0.4277,"Dnajb6"
251,0.3084,"Ppargc1a"
252,0.4369,"Slc34a2"
253,0.4109,"Slc30a9"
254,0.5213,"Rest"
255,0.3117,"Fgf5"
256,0.4336,"P2rx4"
257,0.4299,"Anxa3"
258,0.4506,"Ep400"
259,0.4198,"Foxp2"
260,0.1913,"Actb"
261,0.4553,"Pdap1"
262,0.4352,"Cdk8"
263,0.3186,"Cald1"
264,0.3393,"Foxp1"
265,0.4277,"Slc6a6"
266,0.1829,"Olr1"
267,0.4393,"Kdm5a"
268,0.4463,"Kras"
269,0.3111,"Atg7"
270,0.4441,"Scnn1a"
271,0.4779,"Cd9"
272,0.3086,"Tjp1"
273,0.5721,"Far1"
274,0.4285,"Aqp8"
275,0.4703,"Tgfb1i1"
