"Gene.Number","bresub","Gene.Name"
0,0.1734,"Klf6"
1,0.3043,"Axin2"
2,0.358,"Cdh1"
3,0.3043,"Pdgfb"
4,0.2261,"Sox9"
5,0.3043,"Car4"
6,0.3043,"Hoxa10"
7,0.2596,"Slc26a3"
8,0.3154,"Sp1"
9,0.3044,"Akr1b3"
10,0.3043,"Tat"
11,0.2961,"Kmt2a"
12,0.3043,"Braf"
13,0.3044,"Hltf"
14,0.3347,"Adgre5"
15,0.3065,"Relb"
16,0.3051,"Prkar2b"
17,0.2799,"Cdkn1b"
18,0.169,"Klf4"
19,0.3044,"Elf3"
20,0.3043,"Foxj2"
21,0.3041,"Keap1"
22,0.2648,"Ddr1"
23,0.3058,"Ier3"
24,0.3292,"Stat3"
25,0.2677,"Pkn2"
26,0.3043,"Hnrnpa2b1"
27,0.3043,"Prkacb"
28,0.3072,"Cd44"
29,0.3133,"Por"
30,0.3172,"Igf1r"
31,0.2754,"Insr"
32,0.3043,"Mef2c"
33,0.2966,"Slc30a4"
34,0.3043,"Gata6"
35,0.2377,"Apc"
36,0.305,"Nr2c2"
37,0.2752,"Ephb3"
38,0.3389,"Cdc42"
39,0.2002,"Ctnnb1"
40,0.3117,"Met"
41,0.3044,"Cbx5"
42,0.2193,"Cilk1"
43,0.251,"Tafazzin"
44,0.3043,"Prox1"
45,0.218,"Slc5a1"
46,0.3043,"Tbrg1"
47,0.2174,"Lypd8"
48,0.2634,"Pten"
49,0.238,"Chp1"
50,0.1996,"Msh3"
51,0.3043,"Gadd45b"
52,0.3044,"Hspa8"
53,0.2637,"Sqstm1"
54,0.3079,"Nfe2l2"
55,0.2548,"Rxra"
56,0.272,"Wt1"
57,0.3046,"Plcg1"
58,0.3043,"Il13ra1"
59,0.3043,"Hnf4a"
60,0.3043,"Ywhab"
61,0.3043,"Cldn7"
62,0.2222,"Atp5g3"
63,0.3044,"Ccl6"
64,0.3043,"Ywhah"
65,0.3005,"Hdac2"
66,0.3045,"Tnfaip3"
67,0.1856,"Nts"
68,0.2588,"P4ha1"
69,0.3048,"Dcn"
70,0.2479,"Kitl"
71,0.2996,"Arg1"
72,0.3043,"Socs2"
73,0.2787,"Timp3"
74,0.1964,"Slc5a8"
