"Gene.A.Number","Gene.B.Number","bresub","Gene.A.Name","Gene.B.Name","Delta-Gene.A","Delta-Gene.B","Min.Delta"
51,83,0.0919,"Gadd45b","Apob",0.3764,0.0226,0.0226
83,93,0.0845,"Apob","Top2a",0.03,0.2543,0.03
83,108,0.0989,"Apob","Slc4a7",0.0156,0.2529,0.0156
83,114,0.0934,"Apob","Zdhhc20",0.0211,0.2452,0.0211
83,150,0.0989,"Apob","Rock1",0.0156,0.174,0.0156
83,175,0.0994,"Apob","Cdk2",0.0151,0.374,0.0151
83,208,0.0997,"Apob","Chgb",0.0148,0.3191,0.0148
83,229,0.0793,"Apob","Ptgfr",0.0352,0.2893,0.0352
83,308,0.0991,"Apob","Nlrp3",0.0154,0.3543,0.0154
83,381,0.0972,"Apob","Nrip1",0.0173,0.3792,0.0173
83,382,0.0867,"Apob","Foxo3",0.0278,0.3818,0.0278
83,384,0.0928,"Apob","Arhgap30",0.0217,0.4667,0.0217
83,404,0.0974,"Apob","Slfn5",0.0171,0.3506,0.0171
83,453,0.0913,"Apob","Reg3b",0.0232,0.3111,0.0232
83,455,0.0971,"Apob","Cdkn2b",0.0174,0.3429,0.0174
