"Gene.A.Number","Gene.B.Number","bresub","Gene.A.Name","Gene.B.Name","Delta-Gene.A","Delta-Gene.B","Min.Delta"
1,30,0.2494,"Axin2","Igf1r",0.0567,-0.0093,-0.0093
1,197,0.2476,"Axin2","Cd55",0.0585,0.1887,0.0585
1,295,0.2333,"Axin2","Egln1",0.0728,0.1002,0.0728
1,418,0.2192,"Axin2","Mab21l2",0.0869,0.1271,0.0869
1,448,0.2244,"Axin2","Ccnd1",0.0817,0.1295,0.0817
5,127,0.2448,"Car4","Alcam",0.1156,0.1375,0.1156
16,353,0.2071,"Prkar2b","Lats1",0.127,0.0604,0.0604
23,255,0.2454,"Ier3","Fgf5",0.1188,0.0869,0.0869
23,353,0.2327,"Ier3","Lats1",0.1315,0.0348,0.0348
30,93,0.24,"Igf1r","Top2a",0.000100000000000017,0.098,0.000100000000000017
30,127,0.2467,"Igf1r","Alcam",-0.0066,0.1356,-0.0066
30,205,0.2423,"Igf1r","Cat",-0.00219999999999998,0.0499,-0.00219999999999998
30,217,0.219,"Igf1r","Car1",0.0211,0.0858,0.0211
30,230,0.2172,"Igf1r","Gclm",0.0229,0.0919,0.0229
30,255,0.1729,"Igf1r","Fgf5",0.0672,0.1594,0.0672
30,297,0.2155,"Igf1r","Apoa1",0.0246,0.0754,0.0246
30,315,0.2432,"Igf1r","Ctnnd1",-0.00309999999999999,0.1754,-0.00309999999999999
30,316,0.2437,"Igf1r","Slc25a37",-0.00359999999999999,0.0442,-0.00359999999999999
30,353,0.2302,"Igf1r","Lats1",0.00990000000000002,0.0373,0.00990000000000002
30,364,0.2363,"Igf1r","Agps",0.0038,0.0945,0.0038
30,388,0.2067,"Igf1r","Gja8",0.0334,0.2372,0.0334
30,399,0.2485,"Igf1r","Prkcb",-0.00839999999999999,0.0779,-0.00839999999999999
36,194,0.2301,"Nr2c2","Tnfrsf11a",0.1802,0.0548,0.0548
37,247,0.2495,"Ephb3","Sema3a",0.208,0.0167,0.0167
40,194,0.2446,"Met","Tnfrsf11a",0.169,0.0403,0.0403
40,255,0.245,"Met","Fgf5",0.1686,0.0873,0.0873
40,342,0.2459,"Met","Nlrp6",0.1677,0.1351,0.1351
43,409,0.2438,"Tafazzin","Foxd2",0.1439,0.0155,0.0155
