"Gene.A.Number","Gene.B.Number","bresub","Gene.A.Name","Gene.B.Name","Delta-Gene.A","Delta-Gene.B","Min.Delta"
1,87,0.1416,"Axin2","Pecam1",0.0839,0.0434,0.0434
1,127,0.1305,"Axin2","Alcam",0.095,-0.0131,-0.0131
1,133,0.1469,"Axin2","Parp9",0.0786,0.1655,0.0786
1,184,0.1495,"Axin2","Casp1",0.076,0.2095,0.076
1,244,0.1439,"Axin2","Scp2",0.0816,0.2491,0.0816
1,355,0.1055,"Axin2","Cdk6",0.12,0.0756,0.0756
1,417,0.1121,"Axin2","Birc2",0.1134,0.0568,0.0568
1,448,0.1445,"Axin2","Ccnd1",0.081,0.1839,0.081
1,454,0.111,"Axin2","Csf2rb",0.1145,0.0552,0.0552
13,127,0.1212,"Hltf","Alcam",0.4377,-0.0038,-0.0038
15,127,0.1322,"Relb","Alcam",0.1825,-0.0148,-0.0148
16,58,0.1442,"Prkar2b","Il13ra1",0.1127,0.2218,0.1127
16,127,0.1151,"Prkar2b","Alcam",0.1418,0.00230000000000001,0.00230000000000001
21,127,0.1485,"Keap1","Alcam",0.3235,-0.0311,-0.0311
23,127,0.1188,"Ier3","Alcam",0.1733,-0.0014,-0.0014
25,386,0.1489,"Pkn2","Hoxb13",0.1939,0.1123,0.1123
25,417,0.149,"Pkn2","Birc2",0.1938,0.0199,0.0199
25,432,0.1263,"Pkn2","Erbb2",0.2165,0.1208,0.1208
30,127,0.1235,"Igf1r","Alcam",0.1056,-0.00609999999999999,-0.00609999999999999
34,417,0.149,"Gata6","Birc2",0.3962,0.0199,0.0199
36,99,0.1476,"Nr2c2","Edn1",0.1082,0.126,0.1082
41,127,0.1453,"Cbx5","Alcam",0.319,-0.0279,-0.0279
42,127,0.1457,"Cilk1","Alcam",0.2571,-0.0283,-0.0283
45,417,0.1465,"Slc5a1","Birc2",0.165,0.0224,0.0224
51,127,0.1338,"Gadd45b","Alcam",0.1572,-0.0164,-0.0164
51,417,0.1486,"Gadd45b","Birc2",0.1424,0.0203,0.0203
51,456,0.1495,"Gadd45b","Ccl28",0.1415,0.098,0.098
55,127,0.1377,"Rxra","Alcam",0.2851,-0.0203,-0.0203
58,127,0.1138,"Il13ra1","Alcam",0.2522,0.00360000000000001,0.00360000000000001
58,404,0.136,"Il13ra1","Slfn5",0.23,0.1685,0.1685
58,454,0.149,"Il13ra1","Csf2rb",0.217,0.0172,0.0172
62,87,0.1387,"Atp5g3","Pecam1",0.184,0.0463,0.0463
62,401,0.1064,"Atp5g3","Lifr",0.2163,0.1776,0.1776
65,417,0.1229,"Hdac2","Birc2",0.1954,0.046,0.046
65,454,0.1355,"Hdac2","Csf2rb",0.1828,0.0307,0.0307
67,127,0.1243,"Nts","Alcam",0.2523,-0.00689999999999999,-0.00689999999999999
69,127,0.1435,"Dcn","Alcam",0.3052,-0.0261,-0.0261
74,127,0.1456,"Slc5a8","Alcam",0.1994,-0.0282,-0.0282
74,417,0.1458,"Slc5a8","Birc2",0.1992,0.0231,0.0231
76,127,0.1175,"Ddx21","Alcam",0.2173,-9.9999999999989e-05,-9.9999999999989e-05
77,127,0.1197,"Egfr","Alcam",0.2347,-0.0023,-0.0023
79,127,0.131,"Mdm2","Alcam",0.2292,-0.0136,-0.0136
80,127,0.1184,"Rel","Alcam",0.1666,-0.001,-0.001
80,417,0.1464,"Rel","Birc2",0.1386,0.0225,0.0225
87,99,0.1359,"Pecam1","Edn1",0.0491,0.1377,0.0491
87,110,0.1278,"Pecam1","Ngly1",0.0572,0.1097,0.0572
87,152,0.1253,"Pecam1","Hspa9",0.0597,0.0869,0.0597
87,207,0.1191,"Pecam1","Sord",0.0659,0.1739,0.0659
87,210,0.1392,"Pecam1","Mall",0.0458,0.1961,0.0458
87,238,0.1019,"Pecam1","Slc44a1",0.0831,0.2077,0.0831
87,239,0.1496,"Pecam1","Plin2",0.0354,0.1249,0.0354
87,270,0.1474,"Pecam1","Scnn1a",0.0376,0.092,0.0376
87,283,0.1278,"Pecam1","Tsc22d3",0.0572,0.1249,0.0572
87,289,0.1459,"Pecam1","Casp3",0.0391,0.2453,0.0391
87,386,0.1362,"Pecam1","Hoxb13",0.0488,0.125,0.0488
87,409,0.1173,"Pecam1","Foxd2",0.0677,0.0983,0.0677
87,421,0.1474,"Pecam1","Tspan7",0.0376,0.0831,0.0376
87,432,0.1423,"Pecam1","Erbb2",0.0427,0.1048,0.0427
87,454,0.1426,"Pecam1","Csf2rb",0.0424,0.0236,0.0236
92,127,0.1346,"Krt19","Alcam",0.2693,-0.0172,-0.0172
101,127,0.1195,"Slc35b3","Alcam",0.2716,-0.00209999999999999,-0.00209999999999999
102,127,0.1377,"Ptch1","Alcam",0.1947,-0.0203,-0.0203
107,127,0.1471,"Pde4d","Alcam",0.3215,-0.0297,-0.0297
108,127,0.145,"Slc4a7","Alcam",0.3217,-0.0276,-0.0276
110,420,0.1051,"Ngly1","Nfam1",0.1324,0.1762,0.1324
113,127,0.1208,"Lats2","Alcam",0.2726,-0.0034,-0.0034
127,133,0.1418,"Alcam","Parp9",-0.0244,0.1706,-0.0244
127,134,0.1482,"Alcam","Il10rb",-0.0308,0.3185,-0.0308
127,135,0.1305,"Alcam","Sod1",-0.0131,0.2886,-0.0131
127,138,0.1391,"Alcam","Slc10a2",-0.0217,0.288,-0.0217
127,141,0.1307,"Alcam","Pla2g7",-0.0133,0.1058,-0.0133
127,158,0.1326,"Alcam","Ptpn2",-0.0152,0.3352,-0.0152
127,164,0.1398,"Alcam","Smc3",-0.0224,0.2171,-0.0224
127,169,0.1021,"Alcam","Tollip",0.0153,0.2332,0.0153
127,184,0.1451,"Alcam","Casp1",-0.0277,0.2139,-0.0277
127,188,0.1453,"Alcam","Col3a1",-0.0279,0.2785,-0.0279
