"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
1,83,229,0.0745,"Axin2","Apob","Ptgfr",0.3012,0.04,0.2941,0.0997,0.0997,0.0048,0.0048
6,83,93,0.0749,"Hoxa10","Apob","Top2a",0.3779,0.0396,0.2639,0.0997,0.0997,0.00960000000000001,0.00960000000000001
6,83,229,0.075,"Hoxa10","Apob","Ptgfr",0.3778,0.0395,0.2936,0.0997,0.0997,0.0043,0.0043
15,83,229,0.0729,"Relb","Apob","Ptgfr",0.3563,0.0416,0.2957,0.0997,0.0997,0.00639999999999999,0.00639999999999999
16,83,93,0.0732,"Prkar2b","Apob","Top2a",0.3234,0.0413,0.2656,0.0997,0.0997,0.0113,0.0113
16,83,229,0.0733,"Prkar2b","Apob","Ptgfr",0.3233,0.0412,0.2953,0.0997,0.0997,0.00599999999999999,0.00599999999999999
17,83,93,0.0727,"Cdkn1b","Apob","Top2a",0.364,0.0418,0.2661,0.0997,0.0997,0.0118,0.0118
17,83,229,0.0714,"Cdkn1b","Apob","Ptgfr",0.3653,0.0431,0.2972,0.0997,0.0997,0.00789999999999999,0.00789999999999999
23,83,229,0.0746,"Ier3","Apob","Ptgfr",0.3404,0.0399,0.294,0.0997,0.0997,0.0047,0.0047
36,83,93,0.0728,"Nr2c2","Apob","Top2a",0.4316,0.0417,0.266,0.0997,0.0997,0.0117,0.0117
41,83,93,0.0719,"Cbx5","Apob","Top2a",0.2269,0.0426,0.2669,0.0997,0.0997,0.0126,0.0126
41,83,229,0.0707,"Cbx5","Apob","Ptgfr",0.2281,0.0438,0.2979,0.0997,0.0997,0.0086,0.0086
48,89,334,0.0726,"Pten","Slc9a3r1","Ormdl3",0.063,0.1424,0.3,0.0997,0.0997,0.0997,0.063
50,83,93,0.0731,"Msh3","Apob","Top2a",0.3626,0.0414,0.2657,0.0997,0.0997,0.0114,0.0114
