"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
10,65,346,0.0823,"Tat","Hdac2","Rbpj",0.2033,0.1844,0.0753,0.0914,0.0914,0.0914,0.0753
10,141,346,0.0968,"Tat","Pla2g7","Rbpj",0.1888,0.2865,0.0608,0.0914,0.0914,0.0914,0.0608
10,248,346,0.0967,"Tat","Bst1","Rbpj",0.1889,0.1484,0.0609,0.0914,0.0914,0.0914,0.0609
10,286,355,0.0947,"Tat","Ikbkb","Cdk6",0.1909,0.251,0.0442,0.0914,0.0914,0.0914,0.0442
10,346,355,0.0998,"Tat","Rbpj","Cdk6",0.1858,0.0578,0.0391,0.0914,0.0914,0.0914,0.0391
22,205,346,0.0823,"Ddr1","Cat","Rbpj",0.3814,0.2021,0.0753,0.0914,0.0091,0.00120000000000001,0.00120000000000001
22,346,368,0.0979,"Ddr1","Rbpj","Id1",0.3658,0.0597,0.2739,-0.00650000000000001,0.0914,0.0914,-0.00650000000000001
22,346,442,0.094,"Ddr1","Rbpj","Slc31a1",0.3697,0.0636,0.2045,-0.0026,0.0914,0.0914,-0.0026
23,205,248,0.076,"Ier3","Cat","Bst1",0.241,0.2084,0.1691,0.0914,0.0914,0.0914,0.0914
65,90,346,0.0979,"Hdac2","Atp2a3","Rbpj",0.1688,0.2337,0.0597,0.0914,0.0914,0.0914,0.0597
65,205,346,0.0994,"Hdac2","Cat","Rbpj",0.1673,0.185,0.0582,0.0914,0.0914,-0.0159,-0.0159
90,346,463,0.0875,"Atp2a3","Rbpj","Slc5a3",0.2441,0.0701,0.3054,0.0914,0.0914,0.0914,0.0701
96,205,346,0.0882,"Numb","Cat","Rbpj",0.2425,0.1962,0.0694,0.0914,0.0914,-0.0047,-0.0047
96,224,346,0.0977,"Numb","Dclk1","Rbpj",0.233,0.3767,0.0599,0.0914,0.0914,0.0914,0.0599
96,286,355,0.0972,"Numb","Ikbkb","Cdk6",0.2335,0.2485,0.0417,0.0914,0.0914,0.0914,0.0417
101,346,355,0.0875,"Slc35b3","Rbpj","Cdk6",0.2215,0.0701,0.0514,0.0914,0.0914,0.0914,0.0514
104,192,346,0.0958,"Vcan","Cxcr2","Rbpj",0.2331,0.3483,0.0618,0.0914,0.0914,0.0914,0.0618
104,335,346,0.0977,"Vcan","Slc43a2","Rbpj",0.2312,0.236,0.0599,0.0914,0.0914,0.0914,0.0599
104,346,355,0.0968,"Vcan","Rbpj","Cdk6",0.2321,0.0608,0.0421,0.0914,0.0914,0.0914,0.0421
120,233,364,0.0964,"Ywhaz","Bcl10","Agps",0.2138,0.4163,0.1631,0.0914,0.0914,0.0914,0.0914
152,346,368,0.0888,"Hspa9","Rbpj","Id1",0.3279,0.0688,0.283,0.0914,0.0914,0.0914,0.0688
168,346,463,0.0846,"P4hb","Rbpj","Slc5a3",0.2207,0.073,0.3083,0.0914,0.0914,0.0914,0.073
192,205,346,0.081,"Cxcr2","Cat","Rbpj",0.3631,0.2034,0.0766,0.0914,0.0914,0.0025,0.0025
205,303,355,0.0989,"Cat","Slc25a36","Cdk6",0.1855,0.2631,0.04,0.0914,0.0914,0.0914,0.04
286,355,416,0.086,"Ikbkb","Cdk6","Ptafr",0.2597,0.0529,0.2325,0.0914,0.0914,0.0914,0.0529
303,346,355,0.0848,"Slc25a36","Rbpj","Cdk6",0.2772,0.0728,0.0541,0.0914,0.0914,0.0914,0.0541
303,355,442,0.0965,"Slc25a36","Cdk6","Slc31a1",0.2655,0.0424,0.202,0.0914,0.0914,0.0914,0.0424
355,418,443,0.0821,"Cdk6","Mab21l2","Bmpr2",0.0568,0.2182,0.2642,0.0914,0.0914,0.0914,0.0568
