"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
6,329,445,0.0497,"Hoxa10","Cdkn1c","Duox2",0.2685,0.0385,0.0218,0.0477,0.0477,-0.002,-0.002
16,329,445,0.0388,"Prkar2b","Cdkn1c","Duox2",0.2794,0.0494,0.0327,0.0477,0.0477,0.0089,0.0089
19,329,445,0.0433,"Elf3","Cdkn1c","Duox2",0.2678,0.0449,0.0282,0.0477,0.0477,0.0044,0.0044
23,329,445,0.0371,"Ier3","Cdkn1c","Duox2",0.2811,0.0511,0.0344,0.0477,0.0477,0.0106,0.0106
29,329,445,0.0419,"Por","Cdkn1c","Duox2",0.2791,0.0463,0.0296,0.0477,0.0477,0.0058,0.0058
30,329,445,0.0489,"Igf1r","Cdkn1c","Duox2",0.2693,0.0393,0.0226,0.0477,0.0477,-0.0012,-0.0012
41,329,445,0.0407,"Cbx5","Cdkn1c","Duox2",0.2775,0.0475,0.0308,0.0477,0.0477,0.007,0.007
49,329,445,0.0433,"Chp1","Cdkn1c","Duox2",0.2017,0.0449,0.0282,0.0477,0.0477,0.0044,0.0044
62,329,445,0.0449,"Atp5g3","Cdkn1c","Duox2",0.2733,0.0433,0.0266,0.0477,0.0477,0.0028,0.0028
65,329,445,0.0448,"Hdac2","Cdkn1c","Duox2",0.2734,0.0434,0.0267,0.0477,0.0477,0.0029,0.0029
75,329,445,0.0403,"Sirt1","Cdkn1c","Duox2",0.1866,0.0479,0.0312,0.0477,0.0477,0.0074,0.0074
76,329,445,0.0474,"Ddx21","Cdkn1c","Duox2",0.2129,0.0408,0.0241,0.0477,0.0477,0.000300000000000002,0.000300000000000002
78,329,445,0.0415,"Meis1","Cdkn1c","Duox2",0.2767,0.0467,0.03,0.0477,0.0477,0.0062,0.0062
