"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
3,48,329,0.0429,"Pdgfb","Pten","Cdkn1c",0.3269,0.1138,0.0837,0.0444,0.0444,0.0015,0.0015
4,91,296,0.0456,"Sox9","Ywhae","Plet1",0.3061,0.1353,0.1495,0.0444,0.0444,0.0444,0.0444
10,48,329,0.0442,"Tat","Pten","Cdkn1c",0.3589,0.1125,0.0824,0.0444,0.0444,0.000199999999999999,0.000199999999999999
13,48,329,0.0365,"Hltf","Pten","Cdkn1c",0.4821,0.1202,0.0901,0.0444,0.0444,0.0079,0.0079
15,329,449,0.0487,"Relb","Cdkn1c","Top1",0.2339,0.0779,0.0805,0.0444,0.0444,0.0444,0.0444
22,329,449,0.0492,"Ddr1","Cdkn1c","Top1",0.2859,0.0774,0.08,0.0444,0.0444,0.0444,0.0444
30,48,329,0.0465,"Igf1r","Pten","Cdkn1c",0.3527,0.1102,0.0801,0.0444,0.0444,-0.0021,-0.0021
33,48,329,0.0366,"Slc30a4","Pten","Cdkn1c",0.1614,0.1201,0.09,0.0444,0.0444,0.0078,0.0078
34,48,329,0.0457,"Gata6","Pten","Cdkn1c",0.421,0.111,0.0809,0.0444,0.0444,-0.0013,-0.0013
36,377,449,0.0477,"Nr2c2","Hcar2","Top1",0.4337,0.1533,0.0815,0.0444,0.0444,0.0444,0.0444
42,48,329,0.0481,"Cilk1","Pten","Cdkn1c",0.2887,0.1086,0.0785,0.0444,0.0444,-0.0037,-0.0037
45,217,283,0.0471,"Slc5a1","Car1","Tsc22d3",0.2767,0.1136,0.1732,0.0444,0.0444,0.0444,0.0444
45,217,378,0.0423,"Slc5a1","Car1","Fpr1",0.2815,0.1184,0.3051,0.0444,0.0444,0.0444,0.0444
48,64,329,0.0394,"Pten","Ywhah","Cdkn1c",0.1173,0.407,0.0872,0.0444,0.005,0.0444,0.005
48,68,329,0.0485,"Pten","P4ha1","Cdkn1c",0.1082,0.3122,0.0781,0.0444,-0.0041,0.0444,-0.0041
48,70,226,0.0494,"Pten","Kitl","Notch2",0.1073,0.1917,0.2313,0.0444,0.0444,0.0444,0.0444
48,70,329,0.0466,"Pten","Kitl","Cdkn1c",0.1101,0.1945,0.08,0.0444,-0.0022,0.0444,-0.0022
48,74,329,0.0494,"Pten","Slc5a8","Cdkn1c",0.1073,0.1248,0.0772,0.0444,-0.005,0.0444,-0.005
