"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
1,33,241,0.0243,"Axin2","Slc30a4","Pde4b",0.3009,0.1469,0.0896,0.0498,0.0498,-0.0085,-0.0085
1,241,296,0.0312,"Axin2","Pde4b","Plet1",0.294,0.0827,0.1185,0.0498,0.0498,0.0186,0.0186
3,33,241,0.0461,"Pdgfb","Slc30a4","Pde4b",0.4464,0.1251,0.0678,0.0498,0.0498,-0.0303,-0.0303
3,241,296,0.044,"Pdgfb","Pde4b","Plet1",0.4485,0.0699,0.1057,0.0498,0.0498,0.0058,0.0058
4,33,241,0.0414,"Sox9","Slc30a4","Pde4b",0.1605,0.1298,0.0725,0.0498,0.0498,-0.0256,-0.0256
4,241,296,0.0477,"Sox9","Pde4b","Plet1",0.1542,0.0662,0.102,0.0498,0.0498,0.0021,0.0021
6,33,241,0.0266,"Hoxa10","Slc30a4","Pde4b",0.4556,0.1446,0.0873,0.0498,0.0498,-0.0108,-0.0108
6,241,296,0.0348,"Hoxa10","Pde4b","Plet1",0.4474,0.0791,0.1149,0.0498,0.0498,0.015,0.015
8,33,241,0.0166,"Sp1","Slc30a4","Pde4b",0.4284,0.1546,0.0973,0.0498,0.0498,-0.000799999999999999,-0.000799999999999999
8,241,296,0.0429,"Sp1","Pde4b","Plet1",0.4021,0.071,0.1068,0.0498,0.0498,0.0069,0.0069
10,33,241,0.0247,"Tat","Slc30a4","Pde4b",0.3,0.1465,0.0892,0.0498,0.0498,-0.0089,-0.0089
10,241,286,0.0498,"Tat","Pde4b","Ikbkb",0.2749,0.0641,0.1216,0.0498,0.0498,-0.0213,-0.0213
10,241,296,0.0322,"Tat","Pde4b","Plet1",0.2925,0.0817,0.1175,0.0498,0.0498,0.0176,0.0176
13,16,77,0.0347,"Hltf","Prkar2b","Egfr",0.2969,0.5671,0.1149,0.0498,0.0028,0.0498,0.0028
13,33,241,0.0258,"Hltf","Slc30a4","Pde4b",0.3058,0.1454,0.0881,0.0498,0.0498,-0.01,-0.01
13,77,92,0.048,"Hltf","Egfr","Krt19",0.2836,0.1016,0.1372,-0.0105,0.0498,0.0498,-0.0105
13,77,192,0.0296,"Hltf","Egfr","Cxcr2",0.302,0.12,0.2316,0.0079,0.0498,0.0498,0.0079
