"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
1,95,372,0.0456,"Axin2","Hif1a","Dsg2",0.2587,0.2598,0.0321,0.0498,0.0498,0.0042,0.0042
1,165,372,0.0381,"Axin2","Tcf7l2","Dsg2",0.2662,0.2662,0.0396,0.0498,0.0498,0.0498,0.0396
1,322,372,0.0405,"Axin2","Emsy","Dsg2",0.2638,0.2638,0.0372,0.0498,0.0498,0.0066,0.0066
1,337,372,0.0485,"Axin2","F11r","Dsg2",0.2558,0.281,0.0292,0.0498,0.0498,0.0498,0.0292
1,356,372,0.0493,"Axin2","Abcb1a","Dsg2",0.255,0.2022,0.0284,0.0498,0.0498,0.0498,0.0284
1,372,388,0.0278,"Axin2","Dsg2","Gja8",0.2765,0.0499,0.277,0.0498,0.0498,0.0082,0.0082
1,372,456,0.0245,"Axin2","Dsg2","Ccl28",0.2798,0.0532,0.2798,0.0498,0.0498,0.0034,0.0034
2,7,372,0.0402,"Cdh1","Slc26a3","Dsg2",0.3178,0.2194,0.0375,0.0498,0.0498,0.0498,0.0375
2,165,372,0.0478,"Cdh1","Tcf7l2","Dsg2",0.3102,0.2565,0.0299,0.0498,0.0498,0.0498,0.0299
2,337,372,0.0495,"Cdh1","F11r","Dsg2",0.3085,0.28,0.0282,0.0498,0.0498,0.0498,0.0282
2,356,372,0.0479,"Cdh1","Abcb1a","Dsg2",0.3101,0.2036,0.0298,0.0498,0.0498,0.0498,0.0298
2,372,388,0.0374,"Cdh1","Dsg2","Gja8",0.3206,0.0403,0.2674,0.0498,0.0498,-0.00140000000000001,-0.00140000000000001
2,372,456,0.0355,"Cdh1","Dsg2","Ccl28",0.3225,0.0422,0.2688,0.0498,0.0498,-0.0076,-0.0076
4,95,372,0.0451,"Sox9","Hif1a","Dsg2",0.181,0.2603,0.0326,0.0498,0.0498,0.0047,0.0047
4,372,388,0.0302,"Sox9","Dsg2","Gja8",0.1959,0.0475,0.2746,0.0498,0.0498,0.0058,0.0058
4,372,456,0.0246,"Sox9","Dsg2","Ccl28",0.2015,0.0531,0.2797,0.0498,0.0498,0.0033,0.0033
5,7,372,0.0399,"Car4","Slc26a3","Dsg2",0.2644,0.2197,0.0378,0.0498,0.0498,0.0498,0.0378
5,95,372,0.0401,"Car4","Hif1a","Dsg2",0.2642,0.2653,0.0376,0.0498,0.0498,0.0097,0.0097
5,165,372,0.0497,"Car4","Tcf7l2","Dsg2",0.2546,0.2546,0.028,0.0498,0.0498,0.0498,0.028
5,322,372,0.0471,"Car4","Emsy","Dsg2",0.2572,0.2572,0.0306,0.0498,0.0498,0,0
5,337,372,0.0404,"Car4","F11r","Dsg2",0.2639,0.2891,0.0373,0.0498,0.0498,0.0498,0.0373
5,347,372,0.0466,"Car4","Il18","Dsg2",0.2577,0.1524,0.0311,0.0498,0.0498,0.0498,0.0311
5,356,372,0.0427,"Car4","Abcb1a","Dsg2",0.2616,0.2088,0.035,0.0498,0.0498,0.0498,0.035
5,372,388,0.0394,"Car4","Dsg2","Gja8",0.2649,0.0383,0.2654,0.0498,0.0498,-0.0034,-0.0034
5,372,456,0.0292,"Car4","Dsg2","Ccl28",0.2751,0.0485,0.2751,0.0498,0.0498,-0.0013,-0.0013
6,95,372,0.0485,"Hoxa10","Hif1a","Dsg2",0.2558,0.2569,0.0292,0.0498,0.0498,0.0013,0.0013
6,372,388,0.0268,"Hoxa10","Dsg2","Gja8",0.2775,0.0509,0.278,0.0498,0.0498,0.0092,0.0092
6,372,456,0.0216,"Hoxa10","Dsg2","Ccl28",0.2827,0.0561,0.2827,0.0498,0.0498,0.0063,0.0063
7,8,372,0.043,"Slc26a3","Sp1","Dsg2",0.2166,0.2724,0.0347,0.0498,0.0498,0.0498,0.0347
7,11,372,0.0467,"Slc26a3","Kmt2a","Dsg2",0.2129,0.2494,0.031,0.0498,0.0498,0.0498,0.031
7,14,372,0.0459,"Slc26a3","Adgre5","Dsg2",0.2137,0.2888,0.0318,0.0498,0.0498,0.0498,0.0318
7,16,372,0.0427,"Slc26a3","Prkar2b","Dsg2",0.2169,0.2624,0.035,0.0498,0.0498,0.0498,0.035
7,17,372,0.0428,"Slc26a3","Cdkn1b","Dsg2",0.2168,0.2371,0.0349,0.0498,0.0498,0.0498,0.0349
7,19,372,0.0397,"Slc26a3","Elf3","Dsg2",0.2199,0.2647,0.038,0.0498,0.0498,0.0498,0.038
7,20,372,0.0422,"Slc26a3","Foxj2","Dsg2",0.2174,0.2621,0.0355,0.0498,0.0498,0.0498,0.0355
7,21,372,0.048,"Slc26a3","Keap1","Dsg2",0.2116,0.2561,0.0297,0.0498,0.0498,0.0498,0.0297
7,23,372,0.0466,"Slc26a3","Ier3","Dsg2",0.213,0.2592,0.0311,0.0498,0.0498,0.0498,0.0311
7,24,372,0.0461,"Slc26a3","Stat3","Dsg2",0.2135,0.2831,0.0316,0.0498,0.0498,0.0498,0.0316
7,25,372,0.0459,"Slc26a3","Pkn2","Dsg2",0.2137,0.2218,0.0318,0.0498,0.0498,0.0498,0.0318
7,26,372,0.0446,"Slc26a3","Hnrnpa2b1","Dsg2",0.215,0.2597,0.0331,0.0498,0.0498,0.0498,0.0331
7,27,372,0.045,"Slc26a3","Prkacb","Dsg2",0.2146,0.2593,0.0327,0.0498,0.0498,0.0498,0.0327
7,29,372,0.042,"Slc26a3","Por","Dsg2",0.2176,0.2713,0.0357,0.0498,0.0498,0.0498,0.0357
7,30,372,0.0462,"Slc26a3","Igf1r","Dsg2",0.2134,0.271,0.0315,0.0498,0.0498,0.0498,0.0315
