"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000000001",5,4,0,2,15,5,9,12,3,1,12,5,0,2,19,9,9,13,3,14,8,6,7,4,2,11,4,0,0,6,0,6,6,0,22,4,4,0
"ENSMUSG00000000056",5,2,11,3,19,0,9,9,0,0,7,4,6,2,7,10,6,5,1,0,0,4,0,0,5,0,2,10,7,0,4,8,10,7,17,0,0,4
"ENSMUSG00000000078",319,265,201,540,588,290,375,566,118,279,198,351,497,245,439,632,465,493,431,205,287,611,274,375,34,535,308,241,383,217,232,84,485,144,238,207,409,225
"ENSMUSG00000000131",1,2,9,13,1,2,2,3,6,1,5,2,1,5,1,2,3,2,7,6,10,0,2,6,5,2,7,4,4,0,0,17,4,0,2,9,2,0
"ENSMUSG00000000142",0,2,6,2,0,0,1,2,6,1,5,13,1,2,4,2,8,4,4,9,12,0,9,8,0,5,0,4,6,9,4,6,10,2,24,2,10,8
"ENSMUSG00000000184",21,8,2,17,16,188,10,11,13,27,14,9,119,63,53,45,24,29,19,14,26,19,23,42,25,37,34,1,43,9,23,11,24,0,11,28,12,5
"ENSMUSG00000000194",1,4,4,3,3,23,7,1,3,0,7,2,3,0,2,2,6,3,1,3,0,4,2,6,7,5,2,0,3,3,6,6,6,2,4,7,6,4
"ENSMUSG00000000197",1,6,24,15,0,5,9,1,19,6,2,11,76,0,7,1,3,9,1,0,0,1,38,21,12,3,19,4,25,9,11,11,0,5,20,7,64,5
"ENSMUSG00000000204",33,4,9,50,35,11,23,28,51,34,21,33,46,9,18,66,9,83,33,0,8,23,10,19,2,54,7,8,13,11,28,0,57,10,4,0,58,8
"ENSMUSG00000000244",3,0,154,0,1,36,1,0,0,0,0,0,0,2,0,1,1,1,28,0,0,0,3,0,2,0,0,1,0,6,2,0,0,0,0,11,0,0
"ENSMUSG00000000266",0,2,4,3,1,0,0,2,3,0,0,0,177,0,2,0,2,1,2,0,4,0,2,0,0,2,2,2,0,0,4,0,1,5,4,0,0,1
"ENSMUSG00000000275",6,16,15,22,28,14,8,21,13,23,11,0,19,0,13,14,12,20,7,26,14,16,17,10,0,16,11,7,17,9,4,0,26,2,4,20,14,2
"ENSMUSG00000000282",3,8,8,3,7,2,1,6,0,3,4,0,5,7,5,1,2,4,4,0,2,4,0,0,2,3,4,4,6,0,4,3,3,5,9,9,0,7
"ENSMUSG00000000303",34,32,23,49,97,27,42,50,16,30,27,18,24,20,63,26,32,60,42,20,46,72,5,25,25,21,37,51,14,11,9,31,38,48,37,33,14,38
"ENSMUSG00000000308",29,16,4,27,35,32,48,25,6,7,52,16,15,14,50,6,6,14,12,12,16,23,16,27,10,14,19,53,29,3,25,6,23,24,7,24,24,26
"ENSMUSG00000000346",25,39,19,5,80,7,31,40,10,40,7,13,15,14,21,45,48,62,36,12,18,24,30,10,0,21,9,18,14,14,13,20,38,5,11,9,14,12
"ENSMUSG00000000374",10,4,8,7,5,5,4,11,10,10,7,0,5,0,1,3,5,5,3,3,12,10,7,6,0,0,5,1,4,0,2,0,9,5,0,0,2,9
"ENSMUSG00000000385",3,0,2,0,6,0,2,1,0,3,7,2,0,0,2,1,3,3,3,0,8,2,0,0,7,0,0,2,0,0,0,0,4,2,0,0,2,1
"ENSMUSG00000000420",6,4,2,5,10,5,9,20,0,4,9,4,5,0,11,10,9,11,3,3,2,12,5,13,2,3,0,0,1,3,0,3,14,0,9,4,0,2
"ENSMUSG00000000486",0,0,0,5,1,0,0,1,10,0,0,4,0,9,0,0,2,1,2,12,0,1,0,2,2,6,18,0,0,74,11,11,12,5,0,0,14,0
"ENSMUSG00000000489",0,2,4,0,3,20,1,1,3,4,0,0,5,7,6,5,7,2,1,0,0,2,5,6,10,3,5,6,14,0,2,3,3,5,2,2,8,5
"ENSMUSG00000000532",0,2,30,7,2,5,1,2,3,4,0,4,0,5,7,1,4,1,16,0,4,2,3,0,7,3,2,4,4,9,11,0,1,0,4,7,4,5
"ENSMUSG00000000544",18,18,11,3,29,18,18,12,3,7,2,7,5,9,10,7,14,14,9,6,4,11,0,4,2,11,11,20,10,6,9,8,13,5,26,11,32,26
"ENSMUSG00000000563",5,4,0,2,5,0,5,5,0,1,0,4,1,0,1,5,1,5,4,0,4,5,0,0,7,0,5,6,4,9,4,3,3,2,13,11,2,2
"ENSMUSG00000000567",9,4,21,23,22,18,11,11,13,13,9,11,12,32,21,10,12,24,8,20,18,24,17,15,0,29,18,8,36,0,19,0,16,10,0,17,14,9
"ENSMUSG00000000568",3,2,9,5,4,7,3,7,3,7,2,0,4,5,8,6,6,7,5,9,4,1,7,12,5,6,0,6,6,6,8,0,9,5,0,2,2,5
"ENSMUSG00000000600",6,8,11,3,4,18,9,11,26,26,11,4,42,11,17,5,13,12,12,9,12,3,12,10,22,13,9,6,9,9,13,8,9,2,15,15,20,14
"ENSMUSG00000000605",5,12,2,15,6,11,8,9,3,13,20,5,10,0,6,4,6,6,2,0,0,12,17,0,2,6,4,6,14,0,13,6,5,0,17,7,2,9
"ENSMUSG00000000628",36,10,13,25,57,14,43,37,0,30,62,80,64,92,110,29,64,35,60,12,56,92,17,35,22,100,71,49,48,0,13,0,47,36,9,20,62,42
"ENSMUSG00000000631",82,59,39,62,122,82,62,91,73,47,105,67,127,68,100,31,54,58,146,37,32,85,87,65,17,95,71,75,93,34,51,20,79,41,48,26,62,46
"ENSMUSG00000000711",74,43,38,10,158,25,64,86,22,86,7,40,31,45,45,37,97,77,37,49,86,57,33,27,2,18,16,74,48,49,17,115,56,22,92,48,28,58
