gene index	a_n	m	resub	bresub
[0]	[0.0002]	-0.4251	0.5000	0.4643
[1]	[0.0104]	-0.3498	0.3750	0.3757
[2]	[-0.0023]	0.4455	0.4375	0.4217
[3]	[0.0185]	-0.4556	0.5000	0.4183
[4]	[0.0091]	-1.1145	0.2500	0.3372
[5]	[-0.0023]	0.6609	0.3125	0.3799
[6]	[-0.0077]	0.2648	0.5000	0.4528
[7]	[-0.0009]	0.1310	0.4375	0.4859
[8]	[0.0012]	-0.1018	0.5000	0.4790
[9]	[0.0003]	-0.0832	0.3750	0.4443
[10]	[0.0206]	-0.2238	0.5000	0.4627
[11]	[-0.0045]	0.7303	0.5000	0.4733
[12]	[0.0121]	-1.2685	0.3750	0.3347
[13]	[0.0127]	-0.2432	0.6250	0.5177
[14]	[-0.0088]	0.2533	0.5000	0.5219
[15]	[-0.0088]	0.2008	0.4375	0.4292
[16]	[0.0056]	-0.1029	0.4375	0.3966
[17]	[-0.0114]	0.7071	0.4375	0.4367
[18]	[-0.0002]	0.2978	0.6250	0.5360
[19]	[0.0063]	-0.3781	0.5000	0.4702
[20]	[-0.0163]	1.1065	0.3750	0.3903
[21]	[0.0148]	-0.4096	0.4375	0.4399
[22]	[0.0204]	-0.3461	0.3125	0.3812
[23]	[-0.0289]	0.0974	0.5625	0.4150
[24]	[-0.0108]	1.0133	0.4375	0.4233
[25]	[-0.0068]	1.7884	0.3125	0.3524
[26]	[-0.0109]	1.6033	0.3125	0.3348
[27]	[0.0015]	-0.1790	0.4375	0.4120
[28]	[0.0005]	-0.0684	0.3750	0.4677
[29]	[0.0071]	-0.1708	0.5625	0.5051
[30]	[0.0286]	-1.2027	0.1875	0.2939
[31]	[0.0031]	-0.2028	0.3750	0.4629
[32]	[0.0001]	-0.0176	0.6250	0.4983
[33]	[0.0085]	-0.3037	0.4375	0.4570
[34]	[-0.0014]	0.0323	0.5625	0.5300
[35]	[0.0060]	-0.8687	0.4375	0.4624
[36]	[-0.0075]	0.2349	0.5625	0.5044
[37]	[0.0037]	-0.1169	0.5000	0.4909
[38]	[0.0102]	-0.8877	0.2500	0.3505
[39]	[0.0055]	-0.9601	0.3125	0.3951
[40]	[0.0567]	-1.5409	0.2500	0.2660
[41]	[-0.0257]	0.8239	0.3125	0.2988
[42]	[0.0087]	-0.6178	0.4375	0.3926
[43]	[-0.0177]	0.5729	0.3750	0.3797
[44]	[-0.0009]	0.1514	0.4375	0.4670
[45]	[0.0585]	-1.8676	0.3125	0.3034
[46]	[0.0071]	-0.4134	0.4375	0.4791
[47]	[0.0000]	-0.0031	0.5625	0.5248
[48]	[-0.0442]	5.3158	0.1250	0.1356
[49]	[0.0018]	-0.1669	0.5625	0.5143
[50]	[-0.0121]	0.3740	0.4375	0.4357
[51]	[0.0019]	-0.0579	0.4375	0.4683
[52]	[-0.0418]	0.8880	0.4375	0.4490
[53]	[-0.0233]	1.6138	0.3750	0.3811
[54]	[-0.0025]	0.4218	0.5000	0.4613
[55]	[-0.0134]	0.5852	0.3125	0.4022
[56]	[0.0024]	-0.0861	0.4375	0.4440
[57]	[0.0045]	-0.1183	0.5625	0.4699
[58]	[-0.0023]	0.1422	0.4375	0.4597
[59]	[0.0050]	-0.1883	0.5000	0.4875
[60]	[0.0062]	-1.0128	0.3750	0.3312
[61]	[-0.0003]	0.2380	0.3750	0.3890
[62]	[-0.0165]	0.2815	0.4375	0.4420
[63]	[-0.0012]	0.2018	0.5000	0.4599
[64]	[0.0070]	-0.1682	0.4375	0.4804
[65]	[0.0091]	-0.1837	0.3125	0.3903
[66]	[-0.0100]	0.3606	0.4375	0.4181
[67]	[0.0170]	-0.3934	0.3750	0.3914
[68]	[0.0002]	-0.0046	0.5000	0.5298
[69]	[-0.0062]	0.5904	0.4375	0.4368
[70]	[0.0118]	-0.4005	0.4375	0.4301
[71]	[-0.0122]	0.7147	0.2500	0.3159
[72]	[-0.0003]	0.0306	0.5000	0.5020
[73]	[0.0112]	-0.2940	0.5625	0.5255
[74]	[0.0004]	-0.0204	0.4375	0.5242
[75]	[-0.0209]	1.4562	0.4375	0.4025
[76]	[0.0012]	-0.0379	0.5625	0.5263
[77]	[-0.0110]	0.5602	0.3750	0.4191
[78]	[0.0148]	-1.0714	0.4375	0.4007
[79]	[0.0194]	-0.4655	0.4375	0.3865
[80]	[-0.0048]	0.1946	0.3750	0.4242
[81]	[0.0136]	-0.7031	0.3125	0.3249
[82]	[0.0117]	-0.3644	0.4375	0.4524
[83]	[0.0130]	-5.0190	0.1250	0.1145
[84]	[0.0035]	-0.1297	0.5625	0.4875
[85]	[-0.0187]	1.5633	0.3125	0.3216
[86]	[-0.0033]	0.1900	0.5000	0.4679
[87]	[0.0002]	-0.0168	0.5625	0.5196
[88]	[-0.0127]	1.6297	0.3750	0.3445
[89]	[0.0409]	-1.1960	0.1875	0.2150
[90]	[-0.0347]	0.4938	0.3750	0.3747
[91]	[-0.0078]	2.3300	0.2500	0.2902
[92]	[-0.0202]	0.3412	0.2500	0.3670
[93]	[0.0081]	-0.3463	0.3750	0.3388
[94]	[-0.0529]	2.2902	0.3125	0.3264
[95]	[0.0051]	-0.8947	0.3125	0.3193
[96]	[-0.0213]	0.3772	0.5000	0.4431
[97]	[-0.0014]	0.2927	0.4375	0.4735
[98]	[-0.0000]	0.0012	0.5625	0.5186
[99]	[-0.0117]	1.2894	0.3750	0.3477
[100]	[-0.0009]	0.4222	0.4375	0.4097
[101]	[0.0257]	-0.9741	0.3125	0.3289
[102]	[0.0204]	-0.6747	0.3125	0.3480
[103]	[-0.0088]	0.6071	0.5000	0.4841
[104]	[-0.0067]	0.2696	0.5625	0.5098
[105]	[-0.0004]	0.0466	0.5000	0.4901
[106]	[0.0055]	-0.4830	0.4375	0.4235
[107]	[-0.0037]	0.1853	0.5625	0.5043
[108]	[-0.0195]	1.7892	0.3750	0.3518
[109]	[-0.0117]	1.1356	0.4375	0.4132
[110]	[0.0154]	-0.2281	0.4375	0.4299
[111]	[0.0097]	-0.5123	0.3750	0.3927
[112]	[-0.0006]	1.8293	0.3125	0.3552
[113]	[-0.0135]	0.2677	0.4375	0.4173
[114]	[0.0220]	-1.4240	0.3750	0.3386
[115]	[0.0210]	-0.9939	0.3750	0.3594
[116]	[0.0764]	-1.5577	0.3125	0.3264
[117]	[0.0072]	-0.5167	0.3750	0.3914
[118]	[-0.0001]	0.2296	0.3750	0.4069
[119]	[0.0001]	-0.0082	0.5000	0.4757
[120]	[-0.0162]	1.2088	0.3750	0.3491
[121]	[-0.0105]	1.4770	0.2500	0.3240
[122]	[0.0171]	-0.5056	0.4375	0.4308
[123]	[-0.0106]	0.3858	0.5000	0.4006
[124]	[-0.0083]	1.4851	0.3750	0.4167
[125]	[-0.0036]	0.3943	0.4375	0.3957
[126]	[0.0037]	-0.1660	0.5000	0.4887
[127]	[0.0061]	-0.5530	0.3750	0.4270
[128]	[-0.0011]	0.0907	0.4375	0.4540
[129]	[0.0064]	-0.0947	0.5000	0.4829
[130]	[-0.0002]	0.0604	0.5000	0.4908
[131]	[-0.0003]	0.1492	0.5000	0.5190
[132]	[-0.0001]	0.0189	0.5625	0.5281
