gene index	a_n	m	resub	bresub
[0]	[0.0003]	-0.7876	0.4194	0.4137
[1]	[0.0348]	-1.1019	0.2903	0.3061
[2]	[-0.0024]	0.6555	0.5161	0.4682
[3]	[0.0022]	0.0023	0.4839	0.4404
[4]	[0.0050]	-0.5297	0.3548	0.3898
[5]	[-0.0037]	1.1320	0.3226	0.3604
[6]	[-0.0041]	0.2115	0.5484	0.5094
[7]	[-0.0028]	0.4347	0.3226	0.3912
[8]	[0.0016]	-0.0455	0.5161	0.4767
[9]	[-0.0007]	0.2138	0.5161	0.5179
[10]	[0.0040]	-0.0089	0.4839	0.4741
[11]	[0.0003]	0.0139	0.4839	0.4839
[12]	[0.0073]	-0.7215	0.3548	0.3784
[13]	[-0.0002]	0.0681	0.4839	0.4839
[14]	[0.0008]	0.0334	0.4839	0.4839
[15]	[0.0089]	-0.1180	0.4839	0.4836
[16]	[0.0214]	-0.4457	0.3226	0.3341
[17]	[-0.0009]	0.1191	0.4516	0.4535
[18]	[-0.0004]	0.6707	0.4839	0.4547
[19]	[0.0025]	-0.0662	0.4194	0.4409
[20]	[-0.0032]	0.3022	0.4516	0.4486
[21]	[0.0137]	-0.3177	0.4839	0.4915
[22]	[0.0057]	-0.0540	0.4194	0.4323
[23]	[0.0147]	-0.1882	0.4194	0.3642
[24]	[0.0027]	-0.2183	0.4194	0.4496
[25]	[0.0039]	-0.9365	0.4194	0.4503
[26]	[-0.0015]	0.2963	0.4516	0.4421
[27]	[-0.0051]	0.6570	0.4839	0.4728
[28]	[0.0013]	-0.1794	0.3226	0.3613
[29]	[0.0052]	-0.1436	0.4839	0.5039
[30]	[0.0171]	-0.7233	0.2258	0.2401
[31]	[-0.0042]	0.3224	0.4194	0.4163
[32]	[-0.0009]	0.3104	0.4516	0.4330
[33]	[-0.0000]	0.0656	0.4839	0.4839
[34]	[0.0054]	-0.1056	0.5484	0.5084
[35]	[0.0064]	-0.8178	0.4516	0.4252
[36]	[-0.0224]	0.7369	0.4516	0.4103
[37]	[-0.0054]	0.3844	0.4839	0.4575
[38]	[0.0055]	-0.5094	0.3548	0.3623
[39]	[0.0055]	-0.8295	0.3226	0.3575
[40]	[0.0238]	-0.5338	0.4839	0.4136
[41]	[-0.0089]	0.4455	0.4516	0.4241
[42]	[0.0029]	-0.1244	0.4516	0.4520
[43]	[-0.0191]	0.5988	0.4194	0.3877
[44]	[-0.0024]	0.4599	0.3871	0.4012
[45]	[0.0137]	-0.2716	0.5161	0.5052
[46]	[0.0072]	-0.3436	0.4516	0.4530
[47]	[-0.0022]	0.4375	0.4516	0.4584
[48]	[-0.0047]	0.6554	0.4194	0.4348
[49]	[0.0048]	-0.5158	0.3871	0.4519
[50]	[-0.0017]	0.1358	0.5161	0.4902
[51]	[0.0089]	-0.3815	0.3226	0.3482
[52]	[-0.0112]	0.3517	0.4516	0.4361
[53]	[0.0000]	0.0644	0.4839	0.4839
[54]	[0.0016]	-0.2944	0.3548	0.3744
[55]	[-0.0062]	0.3292	0.3871	0.3820
[56]	[-0.0000]	0.0654	0.4839	0.4839
[57]	[0.0121]	-0.2222	0.4516	0.4678
[58]	[0.0039]	-0.1402	0.4516	0.4936
[59]	[-0.0022]	0.1429	0.5161	0.4981
[60]	[-0.0021]	0.4787	0.3871	0.3982
[61]	[-0.0004]	0.3474	0.4839	0.4519
[62]	[-0.0258]	0.6043	0.4194	0.4001
[63]	[0.0007]	-0.1002	0.5161	0.4617
[64]	[0.0105]	-0.2973	0.4839	0.4374
[65]	[0.0256]	-0.4041	0.2903	0.3202
[66]	[0.0046]	-0.1345	0.4839	0.4595
[67]	[0.0182]	-0.2902	0.4194	0.4048
[68]	[-0.0035]	0.1590	0.4516	0.4643
[69]	[0.0012]	-0.0353	0.5806	0.5242
[70]	[0.0041]	-0.0671	0.5161	0.5294
[71]	[0.0027]	-0.1509	0.5484	0.5493
[72]	[-0.0037]	0.4058	0.4194	0.4328
[73]	[-0.0015]	0.1045	0.4516	0.4520
[74]	[0.0105]	-0.3838	0.4839	0.4978
[75]	[0.0059]	-0.3828	0.4516	0.4585
[76]	[0.0159]	-0.5917	0.4839	0.4766
[77]	[-0.0143]	0.7878	0.4516	0.3993
[78]	[0.0138]	-0.8449	0.3871	0.3855
[79]	[0.0203]	-0.4152	0.3548	0.3690
[80]	[0.0112]	-0.5199	0.4516	0.4452
[81]	[0.0160]	-1.0095	0.2581	0.3207
[82]	[0.0103]	-0.4109	0.4516	0.4739
[83]	[0.0026]	-0.8514	0.3548	0.3424
[84]	[0.0099]	-0.4195	0.4194	0.4312
[85]	[-0.0048]	0.4621	0.4194	0.4397
[86]	[-0.0020]	0.1604	0.4194	0.4226
[87]	[-0.0027]	0.2253	0.3548	0.3957
[88]	[0.0033]	-0.4558	0.4839	0.4673
[89]	[0.0337]	-0.9602	0.2581	0.2777
[90]	[-0.0095]	0.2485	0.4194	0.3916
[91]	[0.0004]	-0.0748	0.4839	0.5064
[92]	[0.0012]	0.0362	0.4839	0.4839
[93]	[0.0108]	-0.2994	0.3548	0.3380
[94]	[-0.0136]	0.6534	0.4516	0.4543
[95]	[0.0040]	-0.7012	0.3548	0.3661
[96]	[-0.0019]	0.1138	0.4839	0.4746
[97]	[0.0011]	-0.2077	0.5161	0.5001
[98]	[-0.0011]	0.2007	0.4839	0.4832
[99]	[-0.0136]	1.1938	0.3548	0.3244
[100]	[-0.0011]	0.5610	0.3548	0.3729
[101]	[0.0197]	-0.5342	0.4194	0.3879
[102]	[0.0041]	-0.0669	0.4194	0.4198
[103]	[0.0034]	-0.1825	0.4194	0.4233
[104]	[0.0024]	-0.0089	0.4194	0.4574
[105]	[-0.0039]	0.5920	0.4194	0.4120
[106]	[-0.0024]	0.2692	0.4839	0.4469
[107]	[-0.0004]	0.0845	0.4839	0.4839
[108]	[-0.0132]	1.0697	0.3871	0.3918
[109]	[-0.0020]	0.2681	0.4194	0.4066
[110]	[-0.0313]	0.6674	0.3548	0.3731
[111]	[0.0017]	-0.0247	0.5484	0.5418
[112]	[-0.0004]	1.3207	0.3226	0.3383
[113]	[-0.0051]	0.1579	0.5161	0.4988
[114]	[0.0137]	-0.8576	0.4194	0.4047
[115]	[0.0055]	-0.4453	0.3548	0.2965
[116]	[-0.0061]	0.1989	0.4516	0.4355
[117]	[-0.0031]	0.3541	0.4194	0.4131
[118]	[0.0001]	-0.1873	0.4516	0.3932
[119]	[0.0000]	0.0623	0.4839	0.4839
[120]	[-0.0062]	0.6719	0.4194	0.4413
[121]	[-0.0018]	0.3361	0.4194	0.4493
[122]	[-0.0087]	0.2946	0.4194	0.4522
[123]	[-0.0128]	0.5338	0.4194	0.4130
[124]	[0.0020]	-0.3252	0.4839	0.4933
[125]	[-0.0031]	0.3684	0.5806	0.4677
[126]	[0.0018]	-0.0237	0.5161	0.5221
[127]	[0.0106]	-1.3129	0.3871	0.3823
[128]	[0.0015]	-0.1081	0.5161	0.4429
[129]	[0.0100]	-0.1035	0.4839	0.4576
[130]	[0.0003]	-0.0437	0.4194	0.4345
[131]	[0.0001]	-0.0125	0.4839	0.4792
[132]	[0.0012]	-0.2570	0.4516	0.4547
[133]	[0.0130]	-0.6702	0.3548	0.3694
[134]	[-0.0092]	0.3445	0.4839	0.4603
[135]	[-0.0013]	0.1144	0.4839	0.4881
[136]	[0.0038]	-0.6454	0.4839	0.4784
[137]	[0.0013]	-0.2806	0.4839	0.4522
[138]	[-0.0056]	0.3224	0.4516	0.4508
[139]	[-0.0071]	0.7971	0.3226	0.3723
[140]	[-0.0056]	0.3360	0.5161	0.5063
[141]	[0.0128]	-0.2759	0.3871	0.3777
[142]	[-0.0130]	0.4000	0.4516	0.4336
[143]	[-0.0022]	0.5036	0.4516	0.4858
[144]	[-0.0010]	0.2950	0.3871	0.4123
[145]	[-0.0123]	1.1918	0.3548	0.3654
[146]	[0.0041]	-0.0406	0.5806	0.5874
[147]	[0.0015]	-0.2383	0.5161	0.4818
[148]	[0.0128]	-0.2511	0.4516	0.4494
[149]	[-0.0029]	0.2622	0.4516	0.4885
[150]	[0.0014]	-0.2364	0.5161	0.4825
[151]	[-0.0037]	0.4040	0.4839	0.4668
[152]	[-0.0483]	1.2827	0.2903	0.3064
[153]	[0.0058]	-0.0035	0.5161	0.4971
[154]	[0.0068]	-0.8379	0.3548	0.3919
[155]	[0.0000]	0.0640	0.4839	0.4839
[156]	[0.0000]	0.0626	0.4839	0.4839
[157]	[0.0005]	0.0285	0.4839	0.4840
[158]	[0.0038]	-0.1016	0.4516	0.4604
[159]	[0.0026]	-0.5180	0.3548	0.3872
[160]	[-0.0084]	1.6492	0.3871	0.3412
[161]	[0.0071]	-0.2879	0.5161	0.5384
[162]	[0.0054]	-0.4666	0.3226	0.3709
[163]	[-0.0047]	0.3230	0.5484	0.5311
[164]	[-0.0056]	0.4828	0.4516	0.4468
[165]	[-0.0016]	1.4214	0.4194	0.3866
[166]	[-0.0111]	0.8461	0.3226	0.3683
[167]	[0.0043]	-0.6328	0.3871	0.3915
[168]	[-0.0114]	0.3252	0.4839	0.4884
[169]	[0.0161]	-0.2674	0.4516	0.3922
[170]	[-0.0003]	0.2460	0.4516	0.3838
[171]	[-0.0022]	0.7507	0.4516	0.4266
[172]	[0.0035]	-0.4303	0.3548	0.3934
[173]	[0.0149]	-0.7274	0.3871	0.3764
[174]	[-0.0037]	0.4515	0.4194	0.4211
[175]	[0.0155]	-0.2536	0.4516	0.4134
[176]	[0.0049]	-0.2077	0.3226	0.2783
[177]	[-0.0195]	0.9531	0.3548	0.3855
[178]	[-0.0067]	0.6027	0.4194	0.4307
[179]	[-0.0041]	0.4029	0.5161	0.4943
[180]	[-0.0085]	0.3848	0.4516	0.4572
[181]	[-0.0039]	0.1898	0.4516	0.4322
[182]	[-0.0001]	0.0996	0.4839	0.4839
[183]	[-0.0041]	0.6501	0.5161	0.4700
[184]	[0.0202]	-0.5954	0.4839	0.4469
[185]	[-0.0172]	0.6204	0.3871	0.4190
[186]	[-0.0116]	1.0320	0.3548	0.3879
[187]	[-0.0001]	0.2258	0.5484	0.4807
[188]	[0.0071]	-0.1604	0.3871	0.4054
[189]	[0.0067]	-0.3441	0.5161	0.5087
[190]	[0.0059]	-0.2474	0.4516	0.4040
[191]	[0.0160]	-1.1689	0.3871	0.3926
[192]	[0.0125]	-0.2738	0.3226	0.3416
[193]	[0.0232]	-0.6217	0.4516	0.4472
[194]	[-0.0393]	1.1334	0.2903	0.2849
[195]	[-0.0208]	0.9604	0.3871	0.3786
[196]	[-0.0111]	0.3289	0.5161	0.4963
[197]	[0.0092]	-0.4080	0.4516	0.4363
[198]	[0.0010]	-0.0494	0.4516	0.4522
[199]	[0.0029]	-0.0699	0.4839	0.4706
[200]	[0.0130]	-0.1219	0.4194	0.4095
[201]	[-0.0001]	0.0965	0.4839	0.4839
[202]	[0.0013]	-0.0812	0.5806	0.5115
[203]	[-0.0048]	0.3334	0.4194	0.4250
[204]	[0.0013]	-0.2251	0.4516	0.4582
[205]	[0.0068]	-0.0831	0.3548	0.2922
[206]	[0.0140]	-0.2735	0.3871	0.3972
[207]	[-0.0084]	0.4439	0.4516	0.4500
[208]	[0.0030]	-0.0115	0.5484	0.5244
[209]	[-0.0030]	1.0059	0.3871	0.4139
[210]	[-0.0150]	0.9487	0.4194	0.4236
[211]	[0.0099]	-0.5245	0.4194	0.4036
[212]	[0.0006]	-0.2364	0.4839	0.4528
[213]	[0.0003]	-0.1478	0.4516	0.3683
[214]	[0.0040]	-0.1208	0.4839	0.3909
[215]	[-0.0205]	0.8002	0.3871	0.3733
[216]	[-0.0033]	0.2121	0.4194	0.4591
[217]	[0.0096]	-0.7264	0.3226	0.3048
[218]	[0.0025]	-0.3393	0.3226	0.3007
[219]	[-0.0079]	0.5444	0.4194	0.4082
[220]	[-0.0001]	0.0734	0.4839	0.4839
[221]	[-0.0013]	0.1320	0.4516	0.4580
[222]	[-0.0023]	0.2943	0.3548	0.3117
[223]	[0.0011]	-0.1826	0.4516	0.3978
[224]	[-0.0049]	0.2535	0.4839	0.4893
[225]	[0.0047]	-0.0191	0.4516	0.4571
[226]	[0.0033]	-0.0654	0.4839	0.5106
[227]	[0.0094]	-0.6173	0.3548	0.3671
[228]	[0.0106]	-0.5762	0.4516	0.4641
[229]	[0.0044]	-0.3225	0.4516	0.4265
[230]	[0.0131]	-0.6410	0.3548	0.3091
[231]	[0.0008]	0.0343	0.4839	0.4839
[232]	[0.0050]	-0.1238	0.5161	0.5502
[233]	[0.0011]	-0.2166	0.5161	0.4969
[234]	[-0.0007]	0.1061	0.4516	0.4528
[235]	[0.0101]	-0.9978	0.3871	0.3886
[236]	[-0.0163]	0.7824	0.3871	0.4084
[237]	[0.0022]	-0.1095	0.4516	0.4639
[238]	[-0.0231]	1.0703	0.3548	0.3895
[239]	[0.0005]	0.0509	0.4839	0.4839
[240]	[-0.0026]	0.2403	0.5484	0.5063
[241]	[0.0005]	-0.1150	0.4516	0.3801
[242]	[0.0079]	-0.3381	0.4194	0.4067
[243]	[0.0082]	-0.1511	0.4839	0.4641
[244]	[0.0117]	-0.3459	0.4839	0.4970
[245]	[-0.0012]	0.1436	0.4194	0.4199
[246]	[-0.0080]	0.2376	0.4839	0.4737
[247]	[-0.0291]	0.9434	0.2581	0.2662
[248]	[0.0215]	-0.5302	0.3548	0.3737
[249]	[0.0001]	-0.3728	0.3871	0.3625
[250]	[-0.0033]	0.2179	0.4194	0.4513
[251]	[-0.0108]	0.9941	0.2903	0.3079
[252]	[-0.0219]	0.5377	0.4516	0.4418
[253]	[-0.0082]	0.3357	0.4516	0.4417
[254]	[-0.0003]	0.0812	0.4839	0.4839
[255]	[0.0158]	-0.6273	0.3548	0.3323
[256]	[0.0064]	-0.2009	0.4194	0.4476
[257]	[-0.0049]	0.2047	0.4516	0.4551
[258]	[0.0018]	0.0173	0.4839	0.4836
[259]	[-0.0001]	0.0668	0.4839	0.4839
[260]	[0.0000]	-0.1134	0.5161	0.5127
[261]	[0.0006]	-0.0095	0.4516	0.4675
[262]	[-0.0120]	0.6519	0.4194	0.4229
[263]	[0.0239]	-0.4763	0.2581	0.3107
[264]	[-0.0046]	1.6253	0.3226	0.3533
[265]	[0.0022]	-0.1400	0.5806	0.5379
[266]	[0.0054]	-0.0855	0.6129	0.4521
[267]	[0.0043]	-0.6237	0.3871	0.3979
[268]	[0.0006]	-0.0676	0.4839	0.4833
[269]	[0.0089]	-0.0881	0.5161	0.5238
[270]	[-0.0129]	0.6886	0.3871	0.3818
[271]	[-0.0011]	0.1457	0.4194	0.4400
[272]	[-0.0064]	0.7650	0.4194	0.4044
[273]	[-0.0065]	0.2510	0.5161	0.4813
[274]	[-0.0058]	0.2690	0.4194	0.4001
[275]	[-0.0059]	0.3428	0.4194	0.3429
[276]	[0.0024]	-0.0921	0.4194	0.3743
[277]	[-0.0029]	0.4218	0.3871	0.3223
[278]	[0.0028]	-0.0429	0.5161	0.5359
[279]	[0.0053]	-0.1242	0.4516	0.4478
[280]	[-0.0006]	0.0749	0.4839	0.4839
[281]	[-0.0087]	0.4839	0.4839	0.4894
[282]	[-0.0009]	0.2795	0.5484	0.4728
[283]	[-0.0178]	0.3836	0.3548	0.3628
[284]	[-0.0015]	0.1150	0.5161	0.5353
[285]	[0.0118]	-0.2960	0.4839	0.4850
[286]	[0.0297]	-0.4937	0.3871	0.3739
[287]	[0.0021]	-0.1031	0.4839	0.4776
[288]	[0.0060]	-0.1444	0.4839	0.4512
[289]	[0.0164]	-0.6600	0.4194	0.3882
[290]	[0.0066]	-0.0679	0.4839	0.4869
[291]	[-0.0351]	0.7924	0.3871	0.3846
[292]	[-0.0188]	0.4921	0.3871	0.4250
[293]	[0.0139]	-0.1314	0.3871	0.4356
[294]	[-0.0012]	0.1033	0.5161	0.5010
[295]	[0.0319]	-0.7397	0.3226	0.3335
[296]	[0.0012]	-0.5819	0.3871	0.4030
[297]	[0.0089]	-1.2522	0.2903	0.2909
[298]	[0.0122]	-0.2432	0.4194	0.4490
[299]	[-0.0241]	1.1484	0.2903	0.3037
[300]	[0.0135]	-0.2207	0.3871	0.3949
[301]	[0.0005]	0.0403	0.4839	0.4839
[302]	[0.0049]	-0.0919	0.3871	0.4136
[303]	[0.0114]	-0.2499	0.3871	0.3945
[304]	[0.0010]	-0.0977	0.4516	0.3772
[305]	[0.0119]	-0.8458	0.3548	0.3456
[306]	[-0.0131]	1.1318	0.3226	0.3295
[307]	[0.0006]	-0.1295	0.4516	0.4394
[308]	[0.0048]	-0.1983	0.3871	0.3323
[309]	[-0.0007]	0.6256	0.3871	0.3787
[310]	[-0.0146]	1.1922	0.2903	0.3462
[311]	[-0.0084]	0.4285	0.4516	0.3896
[312]	[0.0062]	-0.1644	0.4839	0.4883
[313]	[-0.0045]	0.5782	0.3226	0.3299
[314]	[-0.0087]	0.2648	0.4839	0.4736
[315]	[-0.0120]	0.7982	0.4194	0.4186
[316]	[0.0052]	-0.1640	0.3226	0.2879
[317]	[-0.0091]	1.8339	0.3226	0.3204
[318]	[-0.0016]	0.4951	0.4194	0.4160
[319]	[-0.0054]	0.1718	0.4839	0.4810
[320]	[0.0004]	-0.4138	0.3548	0.3749
[321]	[0.0013]	-0.5026	0.4194	0.4158
[322]	[0.0019]	-0.1172	0.4516	0.3977
[323]	[-0.0095]	0.2568	0.4516	0.4373
[324]	[0.0049]	-0.6111	0.3548	0.3692
[325]	[-0.0008]	0.0869	0.4839	0.4888
[326]	[-0.0136]	0.4333	0.3871	0.3935
[327]	[0.0079]	-0.5513	0.4194	0.4259
[328]	[-0.0015]	0.5562	0.4516	0.4541
[329]	[0.0005]	-0.0022	0.4839	0.4809
[330]	[0.0029]	-0.1108	0.3548	0.3746
[331]	[0.0050]	-0.0372	0.5161	0.5168
[332]	[-0.0050]	0.6761	0.3871	0.3877
[333]	[0.0019]	-0.1428	0.4839	0.4594
[334]	[-0.0195]	0.4132	0.4194	0.4313
[335]	[0.0201]	-0.6285	0.4194	0.4210
[336]	[-0.0053]	0.2508	0.4516	0.4695
[337]	[0.0032]	-0.5716	0.4516	0.4256
[338]	[-0.0086]	0.4190	0.4516	0.4280
[339]	[0.0218]	-0.4193	0.3871	0.4085
[340]	[-0.0001]	0.0705	0.4839	0.4839
[341]	[-0.0129]	0.3268	0.4194	0.4161
[342]	[-0.0237]	0.8051	0.3871	0.3810
[343]	[-0.0021]	0.1274	0.4516	0.4527
[344]	[0.0026]	0.0191	0.4839	0.4652
[345]	[-0.0112]	0.3453	0.4516	0.4358
[346]	[0.0224]	-0.4620	0.3548	0.3646
[347]	[-0.0137]	0.7957	0.3871	0.3390
[348]	[0.0076]	-0.1702	0.4516	0.4712
[349]	[-0.0092]	0.9851	0.4194	0.4186
[350]	[-0.0012]	0.1172	0.4516	0.4671
[351]	[-0.0028]	0.2096	0.4839	0.4009
[352]	[-0.0005]	0.0921	0.4839	0.4805
[353]	[0.0425]	-1.3824	0.2581	0.2675
[354]	[0.0021]	-0.1426	0.3548	0.3425
[355]	[0.0176]	-0.5003	0.2903	0.2875
[356]	[-0.0048]	1.1120	0.4194	0.4000
[357]	[0.0034]	-0.0173	0.4194	0.4346
[358]	[-0.0210]	1.3120	0.3226	0.3161
[359]	[0.0170]	-0.2574	0.3871	0.4044
[360]	[-0.0047]	0.4390	0.4516	0.4427
[361]	[0.0123]	-0.1813	0.4516	0.4344
[362]	[-0.0017]	0.1865	0.4516	0.4072
[363]	[-0.0019]	0.1518	0.5484	0.5072
[364]	[0.0111]	-1.1812	0.3548	0.3308
[365]	[0.0137]	-0.2596	0.3871	0.4078
[366]	[-0.0034]	0.6995	0.4516	0.4514
[367]	[-0.0021]	0.4501	0.4194	0.4577
[368]	[0.0007]	0.0513	0.4839	0.4839
[369]	[-0.0003]	0.4965	0.3226	0.3490
[370]	[0.0051]	-0.0516	0.4516	0.4115
[371]	[-0.0038]	0.2626	0.5161	0.4741
[372]	[0.0000]	0.0483	0.4839	0.4839
[373]	[0.0003]	0.0285	0.4839	0.4839
[374]	[0.0077]	-0.3525	0.3871	0.3989
[375]	[-0.0076]	0.4635	0.4839	0.4799
[376]	[-0.0005]	0.4482	0.4839	0.4662
[377]	[-0.0083]	0.4134	0.4516	0.4484
[378]	[0.0023]	-0.0765	0.4839	0.3749
[379]	[0.0008]	-0.6432	0.3871	0.3723
[380]	[0.0023]	-0.1582	0.3871	0.4522
[381]	[-0.0021]	0.3514	0.5484	0.4976
[382]	[-0.0011]	0.1714	0.5161	0.5022
[383]	[-0.0115]	0.3795	0.3871	0.4017
[384]	[0.0036]	-0.2184	0.3226	0.3317
[385]	[-0.0001]	0.0755	0.4839	0.4839
[386]	[-0.0142]	0.9094	0.2903	0.3019
[387]	[-0.0116]	0.4423	0.6452	0.5653
[388]	[0.0038]	-0.3814	0.4516	0.4439
[389]	[-0.0149]	0.4760	0.4516	0.4509
[390]	[0.0030]	-0.0676	0.4839	0.4430
[391]	[-0.0032]	0.2516	0.4194	0.4508
