gene index	a_n	m	resub	bresub
[0]	[0.0016]	-3.1721	0.0714	0.2026
[1]	[-0.0177]	0.5499	0.3571	0.3252
[2]	[0.0025]	-0.7470	0.4286	0.4162
[3]	[0.0029]	-0.1023	0.5000	0.4925
[4]	[0.0387]	-3.2820	0.1429	0.2019
[5]	[0.0044]	-1.2560	0.2857	0.3166
[6]	[0.0023]	-0.0822	0.5714	0.4822
[7]	[-0.0033]	0.6613	0.4286	0.3953
[8]	[0.0208]	-0.8131	0.5000	0.4450
[9]	[0.0019]	-0.3447	0.4286	0.4212
[10]	[0.0157]	-0.3760	0.2857	0.3247
[11]	[0.0033]	-0.4287	0.4286	0.4577
[12]	[-0.0035]	0.4080	0.4286	0.4758
[13]	[0.0471]	-1.0230	0.3571	0.3316
[14]	[0.0264]	-0.5655	0.2143	0.2246
[15]	[0.0178]	-0.1809	0.4286	0.4045
[16]	[-0.0098]	0.1168	0.6429	0.6018
[17]	[0.0074]	-0.3120	0.5000	0.5013
[18]	[0.0024]	-2.7160	0.1429	0.2281
[19]	[0.0126]	-0.4420	0.3571	0.4086
[20]	[-0.0003]	0.0220	0.5000	0.4932
[21]	[0.0059]	-0.1458	0.3571	0.3977
[22]	[-0.0050]	0.1456	0.5714	0.5292
[23]	[0.0500]	-0.3270	0.3571	0.3378
[24]	[0.0207]	-1.0847	0.4286	0.4196
[25]	[-0.0030]	0.5650	0.5000	0.4954
[26]	[-0.0039]	0.5997	0.5000	0.4300
[27]	[0.0068]	-0.8309	0.5714	0.4784
[28]	[0.0257]	-1.5206	0.1429	0.1833
[29]	[0.0661]	-2.1561	0.2143	0.1990
[30]	[0.0033]	-0.0687	0.2857	0.4118
[31]	[-0.0190]	1.5455	0.3571	0.3736
[32]	[0.0009]	-0.2552	0.4286	0.4150
[33]	[0.0546]	-1.2640	0.1429	0.1712
[34]	[0.0218]	-0.6123	0.2857	0.3203
[35]	[0.0110]	-1.1545	0.3571	0.3771
[36]	[0.0149]	-0.5431	0.5000	0.4542
[37]	[0.0045]	-0.4062	0.3571	0.3807
[38]	[0.0210]	-2.0060	0.2857	0.3677
[39]	[0.0101]	-0.9527	0.2857	0.3263
[40]	[0.0151]	-0.3224	0.4286	0.4997
[41]	[0.0067]	-0.3224	0.4286	0.4289
[42]	[0.0250]	-1.1039	0.2857	0.3316
[43]	[0.0519]	-0.9093	0.2143	0.3113
[44]	[0.0031]	-0.5223	0.3571	0.3147
[45]	[-0.0231]	0.7839	0.2857	0.3559
[46]	[-0.0060]	0.3450	0.5000	0.4940
[47]	[0.0082]	-1.1725	0.4286	0.3355
[48]	[0.0189]	-1.5493	0.3571	0.3822
[49]	[0.0261]	-2.5875	0.4286	0.3088
[50]	[-0.0039]	0.4399	0.3571	0.3767
[51]	[-0.0082]	0.1860	0.3571	0.4256
[52]	[0.0260]	-0.6462	0.4286	0.4127
[53]	[0.0129]	-0.7864	0.3571	0.3524
[54]	[0.0092]	-0.8858	0.4286	0.4240
[55]	[-0.0115]	0.5568	0.4286	0.4669
[56]	[-0.0089]	0.2892	0.5714	0.4548
[57]	[0.0006]	-0.0077	0.4286	0.4388
[58]	[-0.0089]	0.2483	0.4286	0.4353
[59]	[0.0091]	-0.3374	0.5000	0.4650
[60]	[0.0109]	-2.5253	0.3571	0.3541
[61]	[0.0011]	-0.7785	0.5000	0.4578
[62]	[0.0058]	-0.1794	0.4286	0.4278
[63]	[0.0052]	-0.7670	0.4286	0.4323
[64]	[0.0064]	-0.2467	0.3571	0.4287
[65]	[0.0182]	-0.1352	0.4286	0.4521
[66]	[-0.0132]	0.6143	0.4286	0.3867
[67]	[-0.0134]	0.7192	0.2857	0.2259
[68]	[0.0246]	-0.5655	0.2857	0.3202
[69]	[0.0011]	-0.0461	0.4286	0.4354
[70]	[0.0444]	-0.9374	0.2143	0.2594
[71]	[-0.0062]	0.5596	0.3571	0.4036
[72]	[0.0044]	-0.3897	0.4286	0.4836
[73]	[-0.0239]	0.9233	0.2143	0.3584
[74]	[0.0351]	-0.5086	0.4286	0.4226
[75]	[0.0104]	-0.6070	0.5000	0.4792
[76]	[-0.0130]	0.5223	0.4286	0.4346
[77]	[0.0395]	-1.4816	0.1429	0.1496
[78]	[-0.0017]	0.0735	0.3571	0.4735
[79]	[-0.0001]	0.0017	0.5000	0.4452
[80]	[0.0119]	-0.3772	0.4286	0.4773
[81]	[0.0316]	-1.5728	0.3571	0.3509
[82]	[0.0056]	-0.2532	0.2857	0.4176
[83]	[0.0005]	-0.1807	0.4286	0.4766
[84]	[0.0139]	-0.5061	0.5000	0.4406
[85]	[0.0127]	-0.6573	0.4286	0.3647
[86]	[-0.0198]	0.8902	0.4286	0.4098
[87]	[0.0082]	-0.4095	0.4286	0.4176
[88]	[0.0008]	-0.0950	0.4286	0.4595
[89]	[0.0054]	-0.1057	0.4286	0.4749
[90]	[0.0256]	-0.5252	0.4286	0.4260
[91]	[0.0025]	-0.5815	0.5000	0.4703
[92]	[0.0768]	-1.0776	0.1429	0.1852
[93]	[-0.0084]	0.1293	0.5714	0.5073
[94]	[-0.0280]	1.4876	0.2857	0.3572
[95]	[0.0029]	-0.3672	0.5714	0.4676
[96]	[0.0272]	-0.5952	0.3571	0.3604
[97]	[0.0190]	-3.3670	0.2143	0.2014
[98]	[0.0060]	-0.7727	0.4286	0.3776
[99]	[-0.0039]	0.4097	0.4286	0.4057
[100]	[0.0012]	-0.5273	0.4286	0.3885
[101]	[-0.0222]	0.7248	0.2857	0.3306
[102]	[-0.0005]	0.0231	0.5714	0.4927
[103]	[-0.0030]	0.1828	0.5000	0.5057
[104]	[-0.0152]	0.3665	0.5000	0.3992
[105]	[0.0001]	-0.0248	0.5714	0.5447
[106]	[0.0014]	-0.1479	0.5714	0.4973
[107]	[-0.0154]	0.5951	0.5714	0.5674
[108]	[-0.0086]	0.5596	0.3571	0.4501
[109]	[0.0119]	-1.0164	0.2857	0.3379
[110]	[0.0456]	-1.1294	0.2857	0.3102
[111]	[0.0111]	-0.6163	0.5000	0.4853
[112]	[-0.0001]	0.3031	0.4286	0.4270
[113]	[-0.0080]	0.1373	0.3571	0.3979
[114]	[-0.0103]	0.7505	0.5000	0.4402
[115]	[0.0361]	-1.0406	0.2143	0.2430
[116]	[0.0084]	-0.2375	0.5000	0.4203
[117]	[0.0043]	-0.5543	0.4286	0.3667
[118]	[0.0022]	-1.4968	0.2143	0.1711
[119]	[-0.0093]	0.4058	0.4286	0.3886
[120]	[0.0288]	-2.5239	0.2143	0.2495
[121]	[0.0028]	-0.3941	0.4286	0.4387
[122]	[-0.0042]	0.1562	0.5000	0.4925
[123]	[0.0198]	-0.5915	0.3571	0.2786
[124]	[0.0080]	-1.0887	0.4286	0.3695
[125]	[-0.0071]	0.7415	0.5000	0.4077
[126]	[0.0193]	-0.8145	0.3571	0.3847
[127]	[0.0424]	-3.0635	0.2143	0.2657
[128]	[0.0152]	-0.5979	0.3571	0.2658
[129]	[0.0382]	-0.3295	0.3571	0.3206
[130]	[0.0085]	-2.4855	0.2857	0.2693
[131]	[0.0020]	-1.0838	0.4286	0.4204
[132]	[0.0026]	-0.6448	0.3571	0.3993
[133]	[-0.0012]	0.0381	0.3571	0.4404
[134]	[0.0034]	-0.1106	0.5000	0.5012
[135]	[-0.0132]	0.4363	0.3571	0.4368
[136]	[-0.0015]	0.4896	0.3571	0.2740
[137]	[0.0049]	-0.9490	0.2857	0.3596
[138]	[-0.0042]	0.2050	0.4286	0.4779
[139]	[0.0009]	-0.1098	0.5714	0.5334
