gene index	a_n	m	resub	bresub
[0]	[0.0034]	-7.2806	0.1333	0.1022
[1]	[0.0020]	0.0363	0.4667	0.4102
[2]	[-0.0023]	0.7277	0.4667	0.5005
[3]	[-0.0198]	0.7304	0.5333	0.4751
[4]	[0.0337]	-2.5023	0.2000	0.2412
[5]	[0.0004]	0.0475	0.4667	0.4659
[6]	[0.0064]	-0.1029	0.4000	0.4635
[7]	[-0.0051]	1.0306	0.3333	0.2601
[8]	[0.0307]	-1.1711	0.2667	0.3378
[9]	[0.0011]	-0.0146	0.4000	0.4673
[10]	[0.0119]	-0.1375	0.4000	0.3870
[11]	[0.0049]	-0.6010	0.4000	0.4217
[12]	[-0.0014]	0.3124	0.4667	0.4584
[13]	[0.0412]	-0.6077	0.6000	0.5193
[14]	[0.0321]	-0.8140	0.2000	0.1731
[15]	[0.0590]	-0.7886	0.2667	0.2721
[16]	[0.0255]	-0.6376	0.3333	0.3374
[17]	[0.0372]	-1.8034	0.3333	0.3223
[18]	[0.0075]	-7.8560	0.1333	0.1900
[19]	[0.0187]	-0.4948	0.3333	0.3719
[20]	[0.0033]	-0.1327	0.4667	0.5068
[21]	[0.0097]	-0.1202	0.3333	0.3712
[22]	[-0.0114]	0.4445	0.3333	0.4000
[23]	[0.0253]	-0.5556	0.2000	0.2020
[24]	[0.0092]	-0.7839	0.1333	0.2009
[25]	[0.0110]	-2.6851	0.2000	0.3210
[26]	[0.0036]	-0.4724	0.5333	0.4611
[27]	[-0.0054]	0.6549	0.3333	0.4041
[28]	[0.0018]	-0.2368	0.2000	0.2108
[29]	[0.0358]	-1.1689	0.2667	0.2351
[30]	[0.0124]	-0.4823	0.2000	0.2965
[31]	[-0.0318]	2.3696	0.1333	0.2302
[32]	[-0.0011]	0.4181	0.4000	0.4135
[33]	[0.0530]	-0.8686	0.2000	0.2302
[34]	[0.0132]	-0.3260	0.4667	0.3988
[35]	[0.0143]	-1.5220	0.3333	0.3380
[36]	[-0.0483]	1.0844	0.3333	0.3181
[37]	[-0.0008]	0.1852	0.4000	0.4141
[38]	[0.0163]	-1.4952	0.4000	0.3488
[39]	[0.0100]	-1.0339	0.2000	0.2774
[40]	[0.0146]	-0.1524	0.4000	0.4267
[41]	[0.0103]	-0.3691	0.3333	0.4220
[42]	[0.0362]	-1.3119	0.2667	0.2974
[43]	[0.0373]	-0.3541	0.4000	0.3601
[44]	[-0.0000]	0.1349	0.4667	0.4667
[45]	[-0.0370]	1.2030	0.2667	0.2654
[46]	[-0.0015]	0.2247	0.4667	0.4448
[47]	[0.0060]	-0.6221	0.2667	0.3253
