gene index	a_n	m	resub	bresub
[1,87]	[0.1064  -0.0572]	-1.4468	0.0667	0.1416
[1,127]	[0.1585  0.0392]	-11.7706	0.0667	0.1305
[1,133]	[0.1458  0.0593]	-7.8212	0.0000	0.1469
[1,184]	[0.1210  0.0625]	-6.0667	0.0667	0.1495
[1,244]	[0.1354  0.1002]	-7.9607	0.1333	0.1439
[1,355]	[0.1602  0.1693]	-9.0505	0.0667	0.1055
[1,417]	[0.1425  0.0894]	-7.9209	0.0000	0.1121
[1,448]	[0.1094  0.0531]	-6.1413	0.0667	0.1445
[1,454]	[0.1529  0.1105]	-8.8777	0.1333	0.1110
[13,127]	[0.0071  0.0198]	-3.4325	0.0667	0.1212
[15,127]	[-0.0164  0.0210]	-3.1584	0.0667	0.1322
[16,58]	[0.0607  0.0355]	-3.1651	0.0667	0.1442
[16,127]	[0.0152  0.0168]	-3.1818	0.0667	0.1151
[21,127]	[-0.0335  0.0222]	-2.7208	0.1333	0.1485
[23,127]	[0.0072  0.0177]	-3.1054	0.0667	0.1188
[25,386]	[0.0294  -0.0433]	-4.3224	0.1333	0.1489
[25,417]	[0.0131  0.0469]	-4.7909	0.0667	0.1490
[25,432]	[0.0334  -0.0423]	-5.4937	0.1333	0.1263
[30,127]	[0.0012  0.0187]	-3.1260	0.0667	0.1235
[34,417]	[0.0964  0.1415]	-8.9881	0.1333	0.1490
[36,99]	[-0.0562  -0.0544]	4.6766	0.1333	0.1476
[41,127]	[0.0010  0.0192]	-3.1998	0.0667	0.1453
[42,127]	[-0.0056  0.0191]	-2.8148	0.0667	0.1457
[45,417]	[-0.0315  0.0499]	-1.1997	0.1333	0.1465
[51,127]	[0.0048  0.0169]	-3.0745	0.0667	0.1338
[51,417]	[0.0088  0.0476]	-2.2649	0.1333	0.1486
[51,456]	[0.0224  0.0080]	-2.4780	0.1333	0.1495
[55,127]	[-0.0380  0.0270]	-2.9275	0.0667	0.1377
[58,127]	[0.0687  0.0502]	-11.4097	0.0667	0.1138
[58,404]	[0.0372  0.0580]	-3.5869	0.0667	0.1360
[58,454]	[0.0293  0.0784]	-3.9537	0.1333	0.1490
[62,87]	[-0.0917  -0.0672]	4.7105	0.0667	0.1387
[62,401]	[-0.1936  -0.1811]	8.6519	0.0667	0.1064
[65,417]	[0.0653  0.0566]	-3.0433	0.1333	0.1229
[65,454]	[0.0658  0.0640]	-3.2275	0.1333	0.1355
[67,127]	[0.0015  0.0192]	-3.1624	0.0667	0.1243
[69,127]	[0.0171  0.0330]	-6.7995	0.0667	0.1435
[74,127]	[0.0161  0.0181]	-3.4908	0.0667	0.1456
[74,417]	[0.0419  0.0642]	-3.6841	0.1333	0.1458
[76,127]	[0.0101  0.0176]	-3.3884	0.0667	0.1175
[77,127]	[-0.0167  0.0195]	-2.3639	0.0667	0.1197
[79,127]	[0.0159  0.0190]	-3.4856	0.0667	0.1310
[80,127]	[0.0161  0.0155]	-3.5275	0.0667	0.1184
[80,417]	[0.0207  0.0451]	-2.8725	0.1333	0.1464
[87,99]	[-0.0520  -0.0457]	4.3205	0.1333	0.1359
[87,110]	[-0.0540  -0.1071]	4.5650	0.0667	0.1278
[87,152]	[-0.0792  -0.2414]	7.7386	0.0667	0.1253
[87,207]	[-0.1006  -0.0645]	7.0663	0.1333	0.1191
[87,210]	[-0.0540  -0.0575]	5.8792	0.1333	0.1392
[87,238]	[-0.1243  -0.1550]	12.9466	0.0000	0.1019
[87,239]	[-0.1027  -0.1458]	8.2867	0.0667	0.1496
[87,270]	[-0.0532  -0.0380]	3.5540	0.1333	0.1474
[87,283]	[-0.0665  -0.0425]	3.5384	0.1333	0.1278
[87,289]	[-0.0589  0.0606]	-0.7274	0.0667	0.1459
[87,386]	[-0.0728  -0.0399]	5.0007	0.0667	0.1362
[87,409]	[-0.0972  -0.1330]	8.2753	0.1333	0.1173
[87,421]	[-0.0436  -0.0459]	2.9450	0.1333	0.1474
