gene index	a_n	m	resub	bresub
[10,65,346]	[-0.1515  0.2308  0.2751]	-5.7062	0.0667	0.0823
[10,141,346]	[-0.1277  0.1017  0.2315]	-3.0789	0.0667	0.0968
[10,248,346]	[-0.1473  0.1065  0.1801]	-3.2115	0.0667	0.0967
[10,286,355]	[-0.1655  0.2229  0.3249]	-9.0535	0.0000	0.0947
[10,346,355]	[-0.1392  0.1770  0.1071]	-3.4450	0.0667	0.0998
[22,205,346]	[-0.0688  -0.2230  0.2525]	-2.6582	0.0667	0.0823
[22,346,368]	[-0.0830  0.2683  -0.0599]	-1.9454	0.0667	0.0979
[22,346,442]	[-0.1050  0.2460  0.0850]	-2.8755	0.0667	0.0940
[23,205,248]	[-0.1700  -0.1838  0.1396]	-2.0508	0.0000	0.0760
[65,90,346]	[0.2260  -0.1069  0.2183]	-5.7403	0.0667	0.0979
[65,205,346]	[0.1836  -0.3985  0.2593]	-6.8101	0.0667	0.0994
[90,346,463]	[-0.6609  1.0230  0.4968]	-33.2118	0.0000	0.0875
[96,205,346]	[-0.1648  -0.5688  0.2993]	-1.3325	0.0000	0.0882
[96,224,346]	[-0.2200  -0.1647  0.4146]	3.1277	0.0000	0.0977
[96,286,355]	[-0.1035  0.1900  0.2546]	-8.0608	0.0000	0.0972
[101,346,355]	[0.1869  0.3133  0.2651]	-20.3287	0.0000	0.0875
[104,192,346]	[0.1608  0.1922  0.3478]	-13.3752	0.0000	0.0958
[104,335,346]	[0.1489  0.1042  0.2396]	-12.5569	0.0667	0.0977
[104,346,355]	[0.1164  0.1805  0.1015]	-9.3397	0.0667	0.0968
[120,233,364]	[-0.0766  0.0765  0.0883]	-23.3965	0.0000	0.0964
[152,346,368]	[-0.0463  0.2122  -0.0827]	-1.2223	0.0667	0.0888
[168,346,463]	[-0.3586  0.4569  0.2112]	-13.7787	0.0000	0.0846
[192,205,346]	[0.1482  -0.4900  0.3130]	-6.6438	0.0667	0.0810
[205,303,355]	[-0.0584  0.3424  0.3705]	-16.5430	0.0000	0.0989
[286,355,416]	[0.2355  0.3262  -0.2121]	-10.1264	0.0000	0.0860
[303,346,355]	[0.4982  0.2947  0.4349]	-27.2886	0.0000	0.0848
[303,355,442]	[0.3900  0.5043  0.2975]	-23.6172	0.0000	0.0965
[355,418,443]	[0.3741  -0.2732  0.3106]	-15.9123	0.0000	0.0821
