gene index	a_n	m	resub	bresub
[6,329,445]	[0.0058  0.0116  0.0079]	-1.4555	0.0000	0.0497
[16,329,445]	[0.0009  0.0120  0.0076]	-1.2414	0.0000	0.0388
[19,329,445]	[0.0018  0.0119  0.0075]	-1.2718	0.0000	0.0433
[23,329,445]	[-0.0049  0.0123  0.0076]	-1.2189	0.0000	0.0371
[29,329,445]	[0.0013  0.0119  0.0076]	-1.2412	0.0000	0.0419
[30,329,445]	[-0.0079  0.0128  0.0074]	-1.0806	0.0000	0.0489
[41,329,445]	[0.0023  0.0116  0.0078]	-1.3359	0.0000	0.0407
[49,329,445]	[0.0046  0.0101  0.0078]	-1.5387	0.0000	0.0433
[62,329,445]	[-0.0040  0.0120  0.0077]	-1.1262	0.0000	0.0449
[65,329,445]	[-0.0095  0.0117  0.0082]	-1.2015	0.0000	0.0448
[75,329,445]	[-0.0022  0.0123  0.0077]	-1.1233	0.0000	0.0403
[76,329,445]	[0.0083  0.0122  0.0080]	-1.6311	0.0000	0.0474
[78,329,445]	[-0.0012  0.0117  0.0078]	-1.1852	0.0000	0.0415
[96,329,445]	[0.0032  0.0122  0.0074]	-1.2778	0.0000	0.0467
[129,329,445]	[0.0073  0.0117  0.0075]	-1.2444	0.0000	0.0422
[135,329,445]	[0.0026  0.0117  0.0078]	-1.3305	0.0000	0.0442
[142,329,445]	[-0.0022  0.0121  0.0076]	-1.1768	0.0000	0.0428
[153,329,445]	[-0.0118  0.0123  0.0079]	-1.2009	0.0000	0.0492
[180,329,445]	[-0.0053  0.0118  0.0082]	-1.1358	0.0000	0.0437
[185,329,445]	[-0.0069  0.0116  0.0077]	-0.9196	0.0000	0.0471
[192,329,445]	[0.0069  0.0118  0.0074]	-1.2281	0.0000	0.0462
[193,329,445]	[-0.0059  0.0113  0.0078]	-1.0208	0.0000	0.0482
[207,329,445]	[0.0055  0.0103  0.0080]	-1.3856	0.0000	0.0400
[253,329,445]	[-0.0014  0.0121  0.0076]	-1.1869	0.0000	0.0382
[256,329,445]	[0.0016  0.0121  0.0075]	-1.2674	0.0000	0.0460
[284,329,445]	[0.0016  0.0119  0.0077]	-1.2984	0.0000	0.0407
[289,329,445]	[0.0032  0.0117  0.0076]	-1.2943	0.0000	0.0368
[293,329,445]	[0.0023  0.0119  0.0077]	-1.2579	0.0000	0.0355
[308,329,445]	[-0.0028  0.0129  0.0074]	-1.2159	0.0000	0.0443
[325,329,445]	[-0.0062  0.0124  0.0077]	-1.1069	0.0000	0.0402
[326,329,445]	[-0.0036  0.0121  0.0075]	-1.0675	0.0000	0.0449
[329,336,445]	[0.0122  0.0017  0.0075]	-1.2801	0.0000	0.0455
[329,361,445]	[0.0132  -0.0089  0.0073]	-1.1386	0.0000	0.0425
[329,383,445]	[0.0118  0.0019  0.0077]	-1.2877	0.0000	0.0366
[329,403,445]	[0.0123  -0.0047  0.0082]	-1.0920	0.0000	0.0489
[329,407,445]	[0.0119  0.0009  0.0076]	-1.2723	0.0000	0.0428
[329,410,445]	[0.0121  0.0005  0.0076]	-1.2596	0.0000	0.0495
[329,417,445]	[0.0123  -0.0020  0.0075]	-1.1445	0.0000	0.0468
[329,426,445]	[0.0113  -0.0055  0.0080]	-1.1235	0.0000	0.0341
[329,435,445]	[0.0123  -0.0021  0.0076]	-1.1713	0.0000	0.0420
[329,445,452]	[0.0103  0.0082  0.0091]	-1.3586	0.0000	0.0456
