gene index	a_n	m	resub	bresub
[3,48,329]	[0.0039  0.0651  0.0459]	-10.5442	0.0000	0.0429
[4,91,296]	[0.0496  0.0544  0.0207]	-24.7689	0.0000	0.0456
[10,48,329]	[-0.0300  0.0636  0.0466]	-9.9010	0.0000	0.0442
[13,48,329]	[0.0121  0.0644  0.0459]	-10.5396	0.0000	0.0365
[15,329,449]	[0.0322  0.0318  0.0279]	-9.9488	0.0000	0.0487
[22,329,449]	[-0.0075  0.0304  0.0308]	-9.9014	0.0000	0.0492
[30,48,329]	[-0.0103  0.0639  0.0473]	-10.1703	0.0000	0.0465
[33,48,329]	[0.0147  0.0625  0.0450]	-10.3679	0.0000	0.0366
[34,48,329]	[0.0039  0.0652  0.0453]	-10.5082	0.0000	0.0457
[36,377,449]	[0.0374  0.0966  0.0816]	-25.1910	0.0000	0.0477
[42,48,329]	[0.0401  0.0681  0.0507]	-12.8905	0.0000	0.0481
[45,217,283]	[-0.1404  0.2895  -0.0150]	-3.9253	0.0000	0.0471
[45,217,378]	[-0.1872  0.3723  -0.0506]	-4.2188	0.0000	0.0423
[48,64,329]	[0.0603  -0.0268  0.0497]	-9.3920	0.0000	0.0394
[48,68,329]	[0.0653  0.0255  0.0456]	-10.8686	0.0000	0.0485
[48,70,226]	[0.0662  0.0718  0.0714]	-9.9348	0.0000	0.0494
[48,70,329]	[0.0739  0.0891  0.0505]	-13.4960	0.0000	0.0466
[48,74,329]	[0.0618  0.0271  0.0419]	-10.6087	0.0000	0.0494
[48,96,329]	[0.0694  -0.0184  0.0445]	-10.4457	0.0000	0.0434
[48,107,329]	[0.0664  -0.0118  0.0461]	-10.0629	0.0000	0.0460
[48,110,329]	[0.0645  0.0005  0.0459]	-10.3835	0.0000	0.0404
[48,113,329]	[0.0645  -0.0001  0.0458]	-10.3749	0.0000	0.0407
[48,129,329]	[0.0712  -0.0598  0.0495]	-10.8908	0.0000	0.0455
[48,141,329]	[0.0653  0.0134  0.0442]	-10.5092	0.0000	0.0417
[48,142,329]	[0.0671  -0.0330  0.0444]	-9.8762	0.0000	0.0498
[48,173,329]	[0.0646  -0.0006  0.0459]	-10.3627	0.0000	0.0414
[48,176,329]	[0.0624  -0.0194  0.0508]	-10.2315	0.0000	0.0415
[48,180,329]	[0.0653  -0.0086  0.0462]	-10.2546	0.0000	0.0405
[48,200,329]	[0.0680  0.0698  0.0434]	-10.9626	0.0000	0.0436
[48,215,329]	[0.0679  0.0189  0.0472]	-11.9384	0.0000	0.0449
[48,217,329]	[0.0597  0.0830  0.0418]	-12.0812	0.0000	0.0451
[48,219,329]	[0.0646  -0.0008  0.0458]	-10.3354	0.0000	0.0449
[48,226,316]	[0.0628  0.0931  -0.1052]	-6.4630	0.0000	0.0493
[48,231,329]	[0.0666  -0.0203  0.0488]	-9.9540	0.0000	0.0446
[48,239,329]	[0.0633  0.0154  0.0472]	-10.5217	0.0000	0.0467
[48,246,329]	[0.0650  0.0044  0.0456]	-10.4937	0.0000	0.0439
