gene index	a_n	m	resub	bresub
[1,95,372]	[0.0048  0.0132  0.0098]	-14.5506	0.0000	0.0456
[1,165,372]	[0.0021  -0.0109  0.0130]	-7.8993	0.0000	0.0381
[1,322,372]	[0.0026  0.0105  0.0101]	-13.6466	0.0000	0.0405
[1,337,372]	[0.0083  -0.0205  0.0121]	-10.0285	0.0435	0.0485
[1,356,372]	[0.0146  -0.0328  0.0137]	-10.3637	0.0000	0.0493
[1,372,388]	[-0.0011  0.0128  0.0189]	-17.7465	0.0000	0.0278
[1,372,456]	[-0.0065  0.0115  0.0139]	-15.3199	0.0000	0.0245
[2,7,372]	[-0.0119  -0.0197  0.0134]	-9.9005	0.0000	0.0402
[2,165,372]	[-0.0128  -0.0095  0.0139]	-6.9685	0.0000	0.0478
[2,337,372]	[-0.0113  -0.0175  0.0128]	-8.5532	0.0435	0.0495
[2,356,372]	[-0.0146  -0.0301  0.0151]	-8.4390	0.0000	0.0479
[2,372,388]	[-0.0102  0.0136  0.0169]	-16.1151	0.0000	0.0374
[2,372,456]	[-0.0140  0.0130  0.0125]	-14.0461	0.0000	0.0355
[4,95,372]	[0.0077  0.0133  0.0093]	-14.3577	0.0000	0.0451
[4,372,388]	[0.0011  0.0127  0.0188]	-17.7911	0.0000	0.0302
[4,372,456]	[0.0076  0.0110  0.0137]	-15.6751	0.0000	0.0246
[5,7,372]	[-0.0069  -0.0178  0.0134]	-11.6192	0.0000	0.0399
[5,95,372]	[-0.0244  0.0169  0.0186]	-20.7895	0.0000	0.0401
[5,165,372]	[-0.0122  -0.0075  0.0148]	-10.0156	0.0000	0.0497
[5,322,372]	[-0.0214  0.0118  0.0175]	-18.3425	0.0000	0.0471
[5,337,372]	[-0.0143  -0.0158  0.0154]	-11.7840	0.0435	0.0404
[5,347,372]	[-0.0139  -0.0152  0.0125]	-10.7950	0.0000	0.0466
[5,356,372]	[-0.0176  -0.0301  0.0187]	-12.6847	0.0000	0.0427
[5,372,388]	[-0.0225  0.0208  0.0207]	-23.1458	0.0000	0.0394
[5,372,456]	[-0.0228  0.0195  0.0155]	-21.0089	0.0000	0.0292
[6,95,372]	[-0.0116  0.0129  0.0099]	-13.9965	0.0000	0.0485
[6,372,388]	[-0.0069  0.0129  0.0186]	-17.6287	0.0000	0.0268
[6,372,456]	[-0.0052  0.0115  0.0135]	-15.4598	0.0000	0.0216
[7,8,372]	[-0.0220  0.0164  0.0122]	-11.6741	0.0000	0.0430
[7,11,372]	[-0.0229  0.0046  0.0120]	-11.1051	0.0435	0.0467
[7,14,372]	[-0.0213  0.0131  0.0121]	-11.1025	0.0435	0.0459
[7,16,372]	[-0.0217  0.0074  0.0122]	-11.0570	0.0435	0.0427
[7,17,372]	[-0.0222  0.0069  0.0121]	-11.0242	0.0435	0.0428
[7,19,372]	[-0.0218  0.0055  0.0121]	-11.0424	0.0000	0.0397
[7,20,372]	[-0.0219  -0.0091  0.0124]	-10.4097	0.0000	0.0422
[7,21,372]	[-0.0212  -0.0181  0.0127]	-11.1161	0.0435	0.0480
[7,23,372]	[-0.0214  0.0149  0.0123]	-11.3376	0.0435	0.0466
[7,24,372]	[-0.0216  0.0036  0.0121]	-11.0831	0.0435	0.0461
[7,25,372]	[-0.0222  0.0035  0.0120]	-11.4401	0.0435	0.0459
[7,26,372]	[-0.0214  -0.0053  0.0124]	-10.3941	0.0435	0.0446
[7,27,372]	[-0.0216  0.0066  0.0124]	-11.8582	0.0435	0.0450
[7,29,372]	[-0.0219  0.0068  0.0121]	-10.9275	0.0435	0.0420
