gene index	a_n	m	resub	bresub
[41,74,349]	[-0.1687  0.1042  0.1599]	-10.8858	0.0000	0.0387
[41,245,349]	[-0.1865  0.1022  0.1336]	-8.2487	0.0000	0.0466
[41,349,448]	[-0.1414  0.1754  0.1378]	-12.9823	0.0000	0.0497
[64,74,349]	[-0.1196  0.0924  0.1802]	-13.5636	0.0000	0.0468
[74,342,349]	[0.1423  -0.1798  0.2601]	-19.2104	0.0000	0.0304
[77,115,236]	[0.1893  0.1368  -0.1787]	-1.6926	0.0000	0.0428
[77,197,236]	[0.1370  0.0833  -0.1363]	-0.8993	0.0000	0.0498
[78,152,329]	[0.1343  -0.1187  0.1317]	-10.1415	0.0000	0.0440
[78,329,349]	[0.1002  0.1132  0.1218]	-22.0567	0.0000	0.0443
[90,342,349]	[-0.0004  -0.1068  0.1630]	-9.4876	0.0000	0.0422
[90,349,448]	[-0.0651  0.1463  0.1216]	-13.7474	0.0000	0.0472
[115,152,255]	[0.2128  -0.0528  0.0889]	-9.3394	0.0000	0.0494
[115,168,255]	[0.2454  -0.0878  0.0957]	-11.3864	0.0000	0.0487
[115,177,255]	[0.2642  -0.1039  0.1170]	-9.3175	0.0000	0.0493
[115,236,255]	[0.3433  -0.2148  0.1576]	-9.4128	0.0000	0.0227
[115,255,326]	[0.3033  0.1020  -0.1806]	-10.3571	0.0000	0.0462
[115,255,394]	[0.2598  0.1073  -0.1174]	-11.6263	0.0000	0.0427
[153,159,255]	[-0.0071  0.0354  0.0451]	-7.2002	0.0000	0.0468
[159,166,255]	[0.0625  -0.0602  0.0585]	-6.6266	0.0000	0.0443
[159,186,255]	[0.0952  -0.1009  0.0753]	-7.3300	0.0000	0.0295
[159,186,353]	[0.1490  -0.1997  0.3512]	-10.7276	0.0000	0.0441
[159,255,438]	[0.0354  0.0446  0.0076]	-7.2739	0.0000	0.0490
[160,322,372]	[-0.0154  0.0175  0.0169]	-21.0289	0.0000	0.0457
[164,349,415]	[-0.2681  0.4695  0.2759]	-27.6676	0.0000	0.0415
[214,236,329]	[0.0649  -0.1272  0.0860]	1.3762	0.0000	0.0482
[223,349,448]	[0.1188  0.2330  0.1906]	-28.8694	0.0000	0.0372
[226,236,329]	[0.0605  -0.1173  0.0642]	2.2158	0.0000	0.0455
[236,239,329]	[-0.1833  0.2368  0.1217]	-2.0114	0.0000	0.0497
[236,329,353]	[-0.1717  0.1153  0.1536]	-1.2222	0.0000	0.0443
[236,329,448]	[-0.1271  0.0786  0.0796]	0.7285	0.0000	0.0414
[238,349,415]	[-0.1584  0.2414  0.1482]	-17.0080	0.0000	0.0407
[238,349,448]	[-0.1556  0.2586  0.1861]	-18.6015	0.0000	0.0428
[245,349,441]	[0.2941  0.3826  -0.4980]	-14.4897	0.0000	0.0489
[255,349,415]	[0.0552  0.1582  0.1447]	-19.7508	0.0000	0.0476
[327,349,448]	[-0.1625  0.2747  0.1795]	-14.1785	0.0000	0.0460
[329,349,415]	[0.0674  0.1336  0.1333]	-17.6330	0.0000	0.0473
[329,353,371]	[0.1399  0.2372  0.1973]	-17.9499	0.0000	0.0489
[346,349,448]	[0.3195  0.2248  0.2899]	-33.0080	0.0000	0.0419
[349,399,448]	[0.2414  0.3618  0.2844]	-30.1863	0.0000	0.0449
