gene index	a_n	m	resub	bresub
[0]	[0.0008]	-2.1901	0.3125	0.3411
[1]	[0.0315]	-1.2785	0.3125	0.3059
[2]	[0.0035]	-0.8112	0.3125	0.3895
[3]	[0.0275]	-0.6045	0.3750	0.3903
[4]	[0.0037]	-0.3875	0.3125	0.4204
[5]	[-0.0050]	1.3936	0.3125	0.3803
[6]	[-0.0010]	0.0380	0.5000	0.5103
[7]	[-0.0121]	1.4799	0.4375	0.4110
[8]	[-0.0155]	1.0764	0.4375	0.4247
[9]	[-0.0017]	0.3064	0.5000	0.4553
[10]	[0.0679]	-1.1746	0.2500	0.2756
[11]	[0.0001]	-0.0186	0.5625	0.5377
[12]	[0.0075]	-0.7107	0.3125	0.3886
[13]	[0.0243]	-0.4681	0.5000	0.4764
[14]	[0.0079]	-0.3623	0.4375	0.3783
[15]	[-0.0069]	0.1641	0.3750	0.4626
[16]	[0.0222]	-0.7129	0.3750	0.3514
[17]	[-0.0075]	0.5145	0.4375	0.4413
[18]	[-0.0017]	2.5536	0.3750	0.4196
[19]	[-0.0086]	0.4053	0.4375	0.4481
[20]	[0.0006]	-0.0474	0.5625	0.5013
[21]	[0.0154]	-0.3987	0.5000	0.4585
[22]	[0.0273]	-0.5000	0.2500	0.3437
[23]	[0.0250]	-0.7083	0.3125	0.2632
[24]	[0.0033]	-0.4650	0.4375	0.4142
[25]	[0.0023]	-0.6768	0.6250	0.5378
[26]	[0.0014]	-0.2379	0.5625	0.5186
[27]	[-0.0076]	0.7806	0.5000	0.4916
[28]	[0.0012]	-0.3163	0.3750	0.3423
[29]	[0.0292]	-1.2016	0.2500	0.2767
[30]	[0.0122]	-0.6404	0.3125	0.2915
[31]	[-0.0094]	0.5044	0.3125	0.4240
[32]	[-0.0012]	0.3179	0.5000	0.5023
[33]	[0.0003]	-0.0087	0.5000	0.5016
[34]	[0.0124]	-0.4335	0.4375	0.4045
[35]	[0.0016]	-0.2303	0.3750	0.4998
[36]	[-0.0402]	0.9272	0.3750	0.3412
[37]	[0.0419]	-1.9324	0.3750	0.3264
[38]	[0.0134]	-1.3348	0.2500	0.3119
[39]	[0.0020]	-0.3246	0.5000	0.5113
[40]	[0.0370]	-0.6289	0.4375	0.4289
[41]	[0.0044]	-0.2235	0.3750	0.4390
[42]	[-0.0069]	0.3989	0.5000	0.4957
[43]	[-0.0238]	0.7046	0.3750	0.3431
[44]	[-0.0044]	0.5706	0.3750	0.3891
[45]	[-0.0387]	0.6530	0.3750	0.3663
[46]	[0.0087]	-0.4937	0.5000	0.4681
[47]	[0.0003]	-0.0538	0.5625	0.5438
[48]	[-0.0019]	0.3119	0.4375	0.4596
[49]	[0.0215]	-2.7367	0.2500	0.2820
[50]	[0.0078]	-0.3563	0.5625	0.4546
[51]	[0.0102]	-0.7462	0.3125	0.3228
[52]	[0.0129]	-0.3235	0.5625	0.4938
[53]	[0.0330]	-3.2124	0.3125	0.3409
[54]	[0.0016]	-0.5216	0.3125	0.3446
[55]	[-0.0081]	0.3903	0.3750	0.4374
[56]	[-0.0121]	0.3485	0.4375	0.4287
[57]	[0.0068]	-0.1739	0.5000	0.4494
[58]	[-0.0009]	0.0576	0.4375	0.4284
[59]	[-0.0064]	0.2027	0.4375	0.4575
[60]	[0.0117]	-2.0646	0.1875	0.2479
[61]	[0.0004]	-0.2693	0.6250	0.5443
[62]	[-0.0107]	0.2071	0.5000	0.5094
[63]	[0.0008]	-0.2689	0.4375	0.3647
[64]	[0.0621]	-2.2238	0.3125	0.2880
[65]	[0.0093]	-0.1969	0.3125	0.3877
[66]	[0.0072]	-0.3806	0.5000	0.4521
[67]	[0.0005]	-0.0098	0.4375	0.4488
[68]	[0.0233]	-0.5977	0.4375	0.4120
[69]	[-0.0003]	0.0336	0.3750	0.4484
[70]	[-0.0086]	0.2400	0.4375	0.5024
[71]	[0.0112]	-1.1059	0.4375	0.3986
[72]	[-0.0108]	0.9251	0.5000	0.3883
[73]	[-0.0006]	0.0150	0.3750	0.4238
[74]	[-0.0021]	0.1024	0.4375	0.4349
[75]	[0.0144]	-1.2508	0.4375	0.4206
[76]	[0.0324]	-1.5947	0.2500	0.2876
[77]	[-0.0287]	1.3664	0.3750	0.3849
[78]	[0.0082]	-0.5095	0.4375	0.4412
[79]	[0.0296]	-0.6755	0.3125	0.3582
[80]	[0.0223]	-1.5244	0.2500	0.3134
[81]	[0.0287]	-2.1071	0.2500	0.2428
[82]	[0.0203]	-1.0401	0.3750	0.3298
[83]	[0.0075]	-1.6052	0.3750	0.3676
[84]	[0.0201]	-1.1253	0.3750	0.3475
[85]	[-0.0045]	0.4512	0.3750	0.4417
[86]	[-0.0096]	0.4820	0.3750	0.3659
[87]	[-0.0206]	0.9312	0.1875	0.1950
[88]	[0.0097]	-1.9444	0.1875	0.3123
[89]	[0.0561]	-1.5997	0.1875	0.2219
[90]	[0.0047]	-0.1011	0.6250	0.5504
[91]	[0.0030]	-1.1784	0.5000	0.4347
[92]	[0.0266]	-0.7981	0.4375	0.4132
[93]	[0.0268]	-0.7205	0.3125	0.3535
[94]	[-0.0152]	0.7445	0.5000	0.4897
[95]	[0.0040]	-0.8101	0.3125	0.2632
[96]	[0.0167]	-0.5355	0.3750	0.3747
[97]	[0.0043]	-1.1000	0.3750	0.3930
[98]	[0.0096]	-1.2071	0.2500	0.3326
[99]	[-0.0273]	2.3978	0.1875	0.1654
[100]	[-0.0013]	0.5674	0.3750	0.3930
[101]	[0.0068]	-0.1585	0.5625	0.5147
[102]	[0.0105]	-0.2189	0.3750	0.4001
[103]	[0.0066]	-0.5713	0.4375	0.4731
[104]	[-0.0350]	1.1850	0.3750	0.3861
[105]	[-0.0045]	0.4912	0.5000	0.4449
[106]	[-0.0069]	0.4755	0.5000	0.4636
[107]	[-0.0128]	0.5911	0.4375	0.4517
[108]	[-0.0336]	2.8743	0.3125	0.2528
[109]	[0.0109]	-1.1844	0.5000	0.4571
[110]	[0.0036]	-0.0487	0.3125	0.4273
[111]	[-0.0002]	0.0092	0.5000	0.4987
[112]	[-0.0001]	0.4653	0.4375	0.4426
[113]	[-0.0169]	0.3446	0.4375	0.4408
[114]	[0.0197]	-1.1732	0.3750	0.4057
[115]	[0.0068]	-0.8865	0.2500	0.2028
[116]	[-0.0027]	0.0382	0.5625	0.5738
[117]	[-0.0018]	0.0963	0.5000	0.4962
[118]	[0.0001]	-0.4842	0.3750	0.3166
[119]	[-0.0048]	0.2951	0.4375	0.3916
[120]	[0.0041]	-0.4567	0.4375	0.4530
[121]	[0.0014]	-0.2382	0.5000	0.5377
[122]	[-0.0294]	0.5637	0.2500	0.3251
