gene index	a_n	m	resub	bresub
[0]	[-0.0002]	0.6093	0.4667	0.4367
[1]	[0.0267]	-0.4482	0.4000	0.3799
[2]	[-0.0052]	1.5334	0.4000	0.3395
[3]	[-0.0148]	0.5444	0.4667	0.3861
[4]	[-0.0083]	1.0558	0.3333	0.3799
[5]	[-0.0010]	0.4796	0.4667	0.4460
[6]	[0.0037]	-0.0084	0.5333	0.5286
[7]	[0.0033]	-0.3442	0.6000	0.5342
[8]	[0.0177]	-1.0362	0.4000	0.3489
[9]	[-0.0002]	0.1780	0.4000	0.4591
[10]	[-0.0736]	1.4986	0.2667	0.2577
[11]	[0.0048]	-0.6406	0.4667	0.4924
[12]	[-0.0077]	0.8126	0.4000	0.4104
[13]	[-0.0353]	0.9468	0.4000	0.4330
[14]	[-0.0021]	0.2134	0.5333	0.5241
[15]	[0.0570]	-0.9165	0.3333	0.3135
[16]	[0.0166]	-0.0958	0.5333	0.5401
[17]	[0.0230]	-1.2204	0.2667	0.3363
[18]	[0.0003]	-0.2600	0.4667	0.4057
[19]	[0.0044]	-0.0816	0.3333	0.4194
[20]	[0.0019]	-0.0180	0.3333	0.3809
[21]	[-0.0106]	0.3925	0.4667	0.4599
[22]	[-0.0292]	0.7216	0.2667	0.3056
[23]	[-0.0250]	0.3255	0.4000	0.3872
[24]	[0.0104]	-0.8205	0.4000	0.4063
[25]	[0.0137]	-3.0407	0.4000	0.3817
[26]	[0.0060]	-0.8152	0.4000	0.4058
[27]	[-0.0044]	0.6964	0.4667	0.4680
[28]	[0.0007]	0.0516	0.4667	0.5508
[29]	[-0.0481]	1.9302	0.2000	0.2370
[30]	[0.0166]	-0.2585	0.5333	0.5060
[31]	[-0.0028]	0.3171	0.5333	0.5145
[32]	[-0.0004]	0.2658	0.5333	0.5119
[33]	[-0.0099]	0.4935	0.4000	0.4111
[34]	[-0.0145]	0.5450	0.4000	0.3767
[35]	[0.0050]	-0.5102	0.4667	0.4506
[36]	[-0.0085]	0.4717	0.4667	0.4237
[37]	[-0.0163]	1.3181	0.2000	0.2019
[38]	[-0.0149]	1.5460	0.3333	0.3454
[39]	[0.0087]	-1.0667	0.4000	0.3853
[40]	[-0.0281]	0.6626	0.4000	0.4036
[41]	[-0.0027]	0.2679	0.5333	0.4892
[42]	[0.0002]	0.1202	0.4667	0.4667
[43]	[0.0124]	-0.2899	0.3333	0.4375
[44]	[-0.0011]	0.3703	0.4000	0.4070
[45]	[-0.0030]	0.1998	0.4667	0.4690
[46]	[0.0015]	0.0537	0.4667	0.4661
[47]	[-0.0046]	0.9521	0.4667	0.4586
[48]	[0.0401]	-5.2736	0.1333	0.2184
[49]	[-0.0172]	2.0867	0.3333	0.3834
[50]	[-0.0031]	0.2776	0.4667	0.4211
[51]	[0.0067]	-0.0298	0.4667	0.4921
[52]	[-0.0195]	0.6860	0.2000	0.2862
[53]	[-0.0009]	0.2095	0.4000	0.4225
[54]	[0.0047]	-0.5722	0.4667	0.4153
[55]	[0.0119]	-0.4056	0.4667	0.4612
[56]	[0.0095]	-0.1507	0.6000	0.5359
[57]	[0.0225]	-0.2831	0.4667	0.4601
[58]	[0.0206]	-0.7972	0.2667	0.2811
[59]	[-0.0076]	0.4192	0.3333	0.3856
