gene index	a_n	m	resub	bresub
[0]	[0.0004]	-1.1200	0.3333	0.3916
[1]	[0.0832]	-2.6068	0.2000	0.2255
[2]	[-0.0030]	0.9963	0.4000	0.4074
[3]	[-0.0082]	0.3988	0.4667	0.3970
[4]	[-0.0088]	1.1629	0.2667	0.4013
[5]	[-0.0053]	1.6709	0.4000	0.3634
[6]	[0.0048]	-0.0476	0.4667	0.4768
[7]	[-0.0115]	1.3946	0.2667	0.3487
[8]	[0.0061]	-0.1745	0.4667	0.4267
[9]	[-0.0017]	0.4529	0.4667	0.4095
[10]	[-0.0062]	0.3006	0.4667	0.4845
[11]	[0.0032]	-0.3743	0.4667	0.4703
[12]	[0.0022]	-0.1050	0.4667	0.4944
[13]	[-0.0159]	0.5527	0.6000	0.5589
[14]	[0.0054]	-0.1281	0.4000	0.4162
[15]	[0.0423]	-0.6075	0.3333	0.3147
[16]	[0.0302]	-0.7425	0.2667	0.2569
[17]	[0.0366]	-1.8939	0.2667	0.3033
[18]	[-0.0005]	0.8900	0.4000	0.3290
[19]	[-0.0018]	0.2111	0.4000	0.4182
[20]	[0.0020]	-0.0263	0.3333	0.4039
[21]	[0.0084]	-0.1008	0.4667	0.4720
[22]	[-0.0074]	0.3220	0.4000	0.4171
[23]	[0.0201]	-0.4950	0.3333	0.2921
[24]	[0.0064]	-0.6213	0.3333	0.3523
[25]	[0.0152]	-3.5330	0.3333	0.3428
[26]	[0.0072]	-1.0289	0.4000	0.3859
[27]	[-0.0088]	1.1496	0.4000	0.3773
[28]	[0.0014]	-0.2070	0.2667	0.3346
[29]	[0.0044]	-0.1154	0.4667	0.5067
[30]	[0.0129]	-0.5118	0.2000	0.2291
[31]	[-0.0172]	1.1008	0.2667	0.3247
[32]	[-0.0029]	0.9362	0.3333	0.3994
[33]	[-0.0083]	0.4340	0.3333	0.4092
[34]	[0.0080]	-0.1809	0.6000	0.5452
[35]	[0.0062]	-0.6906	0.4667	0.4498
[36]	[-0.0320]	1.0684	0.3333	0.2558
[37]	[-0.0096]	0.9880	0.2667	0.3039
[38]	[0.0021]	-0.1218	0.5333	0.4945
[39]	[0.0055]	-0.6580	0.4667	0.4188
[40]	[-0.0069]	0.2956	0.4667	0.4584
[41]	[0.0014]	0.0607	0.4667	0.4643
[42]	[-0.0076]	0.5671	0.4000	0.4028
[43]	[-0.0190]	0.5713	0.4667	0.4119
[44]	[-0.0033]	0.6891	0.2667	0.2823
[45]	[-0.0425]	0.8682	0.2667	0.3115
[46]	[0.0063]	-0.2201	0.4000	0.3946
[47]	[-0.0036]	0.7714	0.4667	0.4350
[48]	[0.0134]	-1.6300	0.2667	0.3333
[49]	[0.0070]	-0.8953	0.4000	0.3890
[50]	[-0.0001]	0.1390	0.4667	0.4667
[51]	[0.0115]	-0.6572	0.3333	0.2910
[52]	[-0.0083]	0.3838	0.4667	0.4373
[53]	[0.0071]	-0.5704	0.3333	0.3235
[54]	[0.0023]	-0.4936	0.2667	0.2193
[55]	[0.0067]	-0.1394	0.4000	0.4228
[56]	[-0.0088]	0.3484	0.4667	0.4546
[57]	[0.0382]	-0.6551	0.4667	0.4113
[58]	[0.0128]	-0.4198	0.3333	0.3660
[59]	[-0.0102]	0.4938	0.4000	0.4182
[60]	[-0.0106]	2.7423	0.2000	0.2828
[61]	[-0.0004]	0.4618	0.4000	0.4337
[62]	[-0.0394]	1.1278	0.3333	0.3227
[63]	[0.0008]	-0.1424	0.5333	0.4515
[64]	[0.0158]	-0.5846	0.4000	0.3952
[65]	[0.0495]	-0.6624	0.2667	0.3183
[66]	[0.0089]	-0.3066	0.4000	0.3579
[67]	[0.0214]	-0.2006	0.3333	0.3766
[68]	[-0.0071]	0.3606	0.3333	0.3921
[69]	[0.0045]	-0.2071	0.5333	0.4487
[70]	[-0.0183]	0.6732	0.4667	0.4479
[71]	[0.0079]	-0.6424	0.4000	0.4000
[72]	[-0.0179]	1.5505	0.4000	0.3658
[73]	[-0.0113]	0.4381	0.4667	0.4289
[74]	[0.0236]	-0.6552	0.3333	0.3450
[75]	[0.0214]	-1.6019	0.3333	0.3744
[76]	[0.0272]	-1.2830	0.3333	0.3348
[77]	[-0.0149]	0.8804	0.3333	0.3544
[78]	[0.0115]	-0.5444	0.4000	0.4115
[79]	[0.0185]	-0.2954	0.3333	0.3602
[80]	[0.0283]	-1.6567	0.2667	0.2850
[81]	[0.0197]	-1.5033	0.3333	0.3301
[82]	[0.0103]	-0.5051	0.5333	0.4718
[83]	[-0.0067]	2.2565	0.3333	0.3310
[84]	[0.0123]	-0.6148	0.4667	0.4166
[85]	[0.0085]	-0.5427	0.4667	0.4072
[86]	[0.0122]	-0.2946	0.5333	0.4244
[87]	[-0.0414]	1.5276	0.2000	0.1850
[88]	[0.0095]	-1.6738	0.2667	0.3090
[89]	[0.0235]	-0.6125	0.2667	0.3312
[90]	[-0.0023]	0.1918	0.5333	0.5297
[91]	[0.0055]	-1.7317	0.2000	0.3027
[92]	[0.0155]	-0.3685	0.3333	0.4039
[93]	[0.0483]	-1.0346	0.2000	0.3191
[94]	[0.0081]	-0.2134	0.3333	0.4189
[95]	[0.0031]	-0.5129	0.4000	0.4101
[96]	[0.0267]	-0.7423	0.4000	0.4457
[97]	[0.0022]	-0.4674	0.6000	0.5252
[98]	[-0.0020]	0.4390	0.4667	0.3953
[99]	[-0.0341]	1.9504	0.2667	0.2736
[100]	[-0.0011]	0.6284	0.4000	0.4040
[101]	[0.0087]	-0.0639	0.3333	0.3911
[102]	[-0.0165]	0.6667	0.3333	0.3324
[103]	[0.0219]	-1.5358	0.3333	0.3585
[104]	[0.0340]	-0.5658	0.2667	0.3450
[105]	[-0.0055]	0.9531	0.4000	0.3142
[106]	[-0.0061]	0.6525	0.4000	0.2919
[107]	[0.0083]	-0.1910	0.4000	0.4686
[108]	[-0.0012]	0.2039	0.4667	0.4667
[109]	[0.0038]	-0.2852	0.4000	0.3370
[110]	[-0.0782]	2.0430	0.2000	0.2375
[111]	[-0.0188]	1.0925	0.3333	0.3624
[112]	[-0.0003]	1.0921	0.3333	0.3646
[113]	[0.0075]	0.0088	0.4667	0.3934
[114]	[0.0029]	-0.0733	0.4000	0.4346
[115]	[0.0057]	-0.6508	0.2667	0.2612
[116]	[-0.0208]	0.6388	0.3333	0.2616
[117]	[-0.0060]	0.8343	0.2667	0.2450
[118]	[0.0001]	-0.3869	0.3333	0.2420
[119]	[0.0011]	0.0936	0.4667	0.4669
[120]	[-0.0003]	0.1711	0.4667	0.4667
[121]	[0.0010]	-0.0264	0.4667	0.3879
[122]	[-0.0336]	0.9360	0.2667	0.2919
[123]	[-0.0135]	0.6323	0.3333	0.3301
[124]	[0.0051]	-0.9347	0.4667	0.4029
[125]	[0.0024]	-0.0640	0.4000	0.4699
[126]	[-0.0011]	0.1904	0.4667	0.4667
[127]	[0.0192]	-3.1494	0.0667	0.1174
[128]	[0.0021]	-0.1811	0.4667	0.3907
[129]	[0.0102]	-0.0584	0.3333	0.4457
[130]	[0.0005]	-0.0624	0.4000	0.4440
[131]	[0.0003]	-0.0831	0.4000	0.3805
[132]	[0.0018]	-0.4203	0.4667	0.4504
[133]	[0.0229]	-1.0837	0.3333	0.3124
[134]	[0.0006]	0.1121	0.4667	0.4667
[135]	[0.0070]	-0.0845	0.4000	0.4191
[136]	[0.0006]	0.0006	0.4667	0.5186
[137]	[0.0036]	-0.8867	0.4667	0.3992
[138]	[-0.0095]	0.5486	0.3333	0.4271
[139]	[-0.0131]	1.2846	0.2000	0.2203
[140]	[-0.0054]	0.3913	0.5333	0.4048
[141]	[0.0163]	-0.4267	0.2000	0.2365
[142]	[-0.0389]	1.4021	0.3333	0.3152
[143]	[-0.0051]	1.1830	0.4667	0.4109
[144]	[-0.0039]	1.1235	0.2667	0.3195
[145]	[-0.0085]	1.0311	0.4667	0.4118
[146]	[-0.0098]	0.3993	0.4667	0.4784
[147]	[0.0027]	-0.6464	0.3333	0.3636
[148]	[0.0175]	-0.4310	0.2000	0.3477
[149]	[-0.0036]	0.3662	0.4000	0.3297
[150]	[0.0060]	-1.1541	0.2667	0.2768
[151]	[0.0144]	-1.1155	0.4667	0.3850
[152]	[-0.1300]	2.7942	0.2000	0.2122
[153]	[0.0179]	-0.1573	0.4667	0.4555
[154]	[0.0007]	0.0408	0.4667	0.4667
[155]	[-0.0086]	0.3626	0.3333	0.3774
[156]	[-0.0006]	0.2110	0.4667	0.4665
[157]	[-0.0118]	1.0119	0.3333	0.3767
[158]	[0.0016]	0.0480	0.4667	0.4678
[159]	[0.0031]	-0.6413	0.4000	0.4164
[160]	[-0.0052]	1.1851	0.4000	0.3699
[161]	[0.0165]	-0.8667	0.3333	0.3564
[162]	[0.0079]	-0.7512	0.2667	0.3249
[163]	[-0.0101]	0.7936	0.4667	0.4587
[164]	[0.0252]	-1.3394	0.2667	0.3569
[165]	[-0.0015]	1.3794	0.3333	0.3167
[166]	[-0.0013]	0.2177	0.4667	0.4580
[167]	[-0.0010]	0.3270	0.4667	0.4920
[168]	[0.0221]	-0.4737	0.4000	0.4365
[169]	[0.0162]	-0.2311	0.3333	0.3353
[170]	[-0.0006]	0.3825	0.4667	0.4157
[171]	[-0.0040]	1.3451	0.4667	0.3747
[172]	[0.0029]	-0.2827	0.3333	0.4327
[173]	[-0.0011]	0.1888	0.4667	0.4641
[174]	[0.0003]	0.1001	0.4667	0.4667
[175]	[0.0405]	-0.5599	0.3333	0.3379
[176]	[0.0051]	-0.2941	0.2000	0.2150
[177]	[-0.0010]	0.1743	0.4667	0.4656
[178]	[-0.0033]	0.3930	0.4667	0.4102
[179]	[-0.0055]	0.5126	0.4667	0.4223
[180]	[-0.0256]	1.3609	0.4000	0.3806
[181]	[0.0241]	-0.5038	0.4000	0.4234
[182]	[0.0020]	-0.9763	0.3333	0.3643
[183]	[-0.0060]	1.1697	0.2667	0.3688
[184]	[0.0270]	-0.8234	0.3333	0.3590
[185]	[-0.0601]	1.8348	0.2667	0.2804
[186]	[-0.0024]	0.3412	0.4000	0.4207
[187]	[-0.0002]	0.3710	0.5333	0.4706
[188]	[-0.0050]	0.2680	0.4667	0.4238
[189]	[0.0105]	-0.6469	0.6667	0.5320
[190]	[0.0084]	-0.4775	0.2667	0.2557
[191]	[-0.0020]	0.2688	0.4667	0.4556
[192]	[0.0169]	-0.5137	0.2667	0.1978
[193]	[0.0297]	-0.7110	0.5333	0.4450
[194]	[-0.0230]	0.7047	0.3333	0.3445
[195]	[-0.0174]	0.8226	0.4000	0.3685
[196]	[-0.0244]	0.8175	0.3333	0.3905
[197]	[-0.0026]	0.2625	0.4667	0.4006
[198]	[0.0086]	-0.8823	0.3333	0.3726
[199]	[0.0027]	-0.0064	0.6000	0.5315
[200]	[0.0163]	-0.2324	0.4000	0.3446
[201]	[-0.0001]	0.1651	0.4667	0.4667
[202]	[0.0039]	-0.4035	0.4667	0.3993
[203]	[0.0037]	-0.1044	0.3333	0.4262
[204]	[0.0037]	-0.8362	0.2000	0.3499
[205]	[0.0073]	-0.1829	0.1333	0.2222
[206]	[0.0035]	0.0243	0.4667	0.4839
[207]	[-0.0193]	1.1931	0.3333	0.2930
[208]	[-0.0096]	0.3391	0.4667	0.4487
[209]	[-0.0049]	1.8608	0.3333	0.2949
[210]	[-0.0396]	2.8417	0.4000	0.3353
[211]	[0.0207]	-1.1353	0.2667	0.2805
[212]	[0.0008]	-0.2630	0.4667	0.4729
[213]	[0.0003]	-0.2649	0.2667	0.2310
[214]	[0.0047]	-0.1911	0.3333	0.2919
[215]	[0.0067]	-0.0678	0.4000	0.3632
[216]	[-0.0092]	0.6056	0.2667	0.3550
[217]	[0.0102]	-0.9314	0.2000	0.2765
[218]	[0.0029]	-0.5793	0.3333	0.2453
[219]	[-0.0344]	2.3242	0.3333	0.3175
[220]	[-0.0027]	0.3049	0.4667	0.4946
[221]	[-0.0016]	0.2030	0.4667	0.4667
[222]	[-0.0024]	0.4680	0.3333	0.2741
[223]	[0.0018]	-0.4256	0.2000	0.2229
[224]	[-0.0149]	0.7374	0.4000	0.4310
[225]	[0.0805]	-0.9763	0.2000	0.2468
[226]	[0.0082]	-0.3318	0.4667	0.4529
[227]	[0.0282]	-2.0447	0.2000	0.2964
[228]	[-0.0082]	0.6785	0.4000	0.4187
[229]	[0.0010]	0.0638	0.4667	0.4601
[230]	[0.0139]	-0.8574	0.2667	0.2167
[231]	[0.0089]	-0.2711	0.4667	0.4373
[232]	[-0.0260]	0.9719	0.6667	0.5481
[233]	[0.0171]	-3.8415	0.3333	0.3412
[234]	[0.0164]	-0.7833	0.3333	0.3953
[235]	[0.0158]	-1.5837	0.3333	0.3964
[236]	[-0.0134]	0.8896	0.2667	0.3256
[237]	[0.0160]	-0.9046	0.4000	0.3716
[238]	[-0.0420]	2.4711	0.3333	0.3096
[239]	[-0.0405]	1.4378	0.2667	0.2745
[240]	[0.0206]	-1.0074	0.4000	0.4234
[241]	[0.0006]	-0.2042	0.2667	0.2184
[242]	[0.0110]	-0.5437	0.4000	0.4048
[243]	[0.0206]	-0.4846	0.4667	0.4170
[244]	[0.0359]	-1.1710	0.3333	0.3930
[245]	[0.0021]	-0.0216	0.3333	0.3664
[246]	[-0.0087]	0.3795	0.4667	0.4280
[247]	[-0.0236]	0.8074	0.2667	0.2517
[248]	[0.0134]	-0.2131	0.5333	0.4386
[249]	[0.0000]	-0.0307	0.6000	0.5252
[250]	[-0.0164]	1.0321	0.3333	0.3671
[251]	[-0.0159]	1.2511	0.2000	0.3046
[252]	[-0.0116]	0.4068	0.4000	0.3942
[253]	[-0.0134]	0.5933	0.5333	0.5390
[254]	[0.0105]	-0.4945	0.4667	0.4246
[255]	[0.0097]	-0.1555	0.5333	0.4386
[256]	[-0.0118]	0.5709	0.3333	0.3486
[257]	[-0.0362]	1.2428	0.3333	0.3220
[258]	[0.0004]	0.1227	0.4667	0.4667
[259]	[-0.0105]	0.4285	0.4667	0.4305
[260]	[0.0001]	-0.5955	0.4000	0.4294
[261]	[0.0103]	-1.1820	0.3333	0.3770
[262]	[-0.0213]	1.0886	0.3333	0.3636
[263]	[0.0221]	-0.4091	0.2000	0.3236
[264]	[-0.0095]	2.7638	0.2667	0.3142
[265]	[0.0028]	-0.1643	0.6667	0.6439
[266]	[0.0085]	-0.2174	0.3333	0.3275
[267]	[0.0123]	-1.6808	0.2667	0.3303
[268]	[0.0076]	-1.5526	0.4000	0.4084
[269]	[0.0206]	-0.3475	0.4667	0.4592
[270]	[-0.0243]	1.1782	0.2000	0.2394
[271]	[0.0014]	0.0058	0.4667	0.4873
[272]	[-0.0105]	1.3409	0.2667	0.2802
[273]	[0.0270]	-0.5743	0.2667	0.3643
[274]	[-0.0193]	0.9142	0.2667	0.2891
[275]	[-0.0145]	0.7196	0.2667	0.3302
[276]	[0.0028]	-0.1526	0.3333	0.2818
[277]	[-0.0029]	0.6419	0.3333	0.3178
[278]	[-0.0118]	0.5435	0.3333	0.3988
[279]	[-0.0194]	0.9169	0.4667	0.4491
[280]	[0.0088]	-0.0360	0.3333	0.4480
[281]	[-0.0132]	0.7842	0.4000	0.4018
[282]	[-0.0011]	0.3727	0.5333	0.4793
