gene index	a_n	m	resub	bresub
[0]	[-0.0000]	0.2096	0.4667	0.4667
[1]	[0.0429]	-0.9809	0.2667	0.2741
[2]	[-0.0048]	1.3478	0.3333	0.3245
[3]	[-0.0032]	0.2454	0.4667	0.4586
[4]	[0.0054]	-0.5954	0.4000	0.4530
[5]	[-0.0026]	0.9240	0.3333	0.3624
[6]	[-0.0080]	0.3894	0.4667	0.4678
[7]	[0.0006]	0.0541	0.4667	0.4793
[8]	[0.0137]	-0.8032	0.2667	0.3411
[9]	[0.0000]	0.1259	0.4667	0.4667
[10]	[-0.0452]	1.0596	0.2667	0.2856
[11]	[0.0012]	-0.0363	0.4667	0.4401
[12]	[0.0062]	-0.6159	0.4000	0.3949
[13]	[-0.0111]	0.4251	0.4667	0.4439
[14]	[-0.0113]	0.4887	0.5333	0.4454
[15]	[0.0195]	-0.1886	0.4667	0.4686
[16]	[0.0283]	-0.3004	0.4667	0.4696
[17]	[0.0046]	-0.0910	0.5333	0.5591
[18]	[0.0001]	-0.0354	0.4000	0.4312
[19]	[0.0093]	-0.3806	0.4667	0.4247
[20]	[-0.0060]	0.5177	0.4667	0.4064
[21]	[0.0104]	-0.1792	0.5333	0.5180
[22]	[-0.0136]	0.4581	0.4667	0.4637
[23]	[-0.0639]	0.5304	0.3333	0.3170
[24]	[0.0016]	0.0197	0.4667	0.4741
[25]	[0.0082]	-1.5679	0.4000	0.4310
[26]	[-0.0070]	1.0812	0.4000	0.4283
[27]	[-0.0037]	0.6196	0.5333	0.4259
[28]	[0.0031]	-0.2479	0.4667	0.4703
[29]	[-0.0257]	1.1544	0.2000	0.2702
[30]	[0.0364]	-1.3063	0.1333	0.2251
[31]	[0.0011]	0.0556	0.4667	0.4672
[32]	[-0.0005]	0.2715	0.5333	0.5038
[33]	[-0.0007]	0.1605	0.4667	0.4667
[34]	[-0.0182]	0.6405	0.4000	0.4257
[35]	[0.0168]	-2.1555	0.4000	0.3618
[36]	[-0.0146]	0.6797	0.4000	0.3982
[37]	[-0.0141]	1.1842	0.2667	0.2747
[38]	[-0.0051]	0.6875	0.4000	0.4287
[39]	[0.0083]	-1.1976	0.2000	0.3078
[40]	[0.0205]	-0.5578	0.3333	0.3630
[41]	[-0.0353]	1.3654	0.2667	0.2481
[42]	[0.0094]	-0.5304	0.4000	0.4073
[43]	[-0.0068]	0.3097	0.4000	0.4394
[44]	[-0.0017]	0.4641	0.4000	0.4257
[45]	[0.0548]	-1.6387	0.4000	0.3458
[46]	[0.0057]	-0.1912	0.4667	0.4329
[47]	[-0.0048]	0.9842	0.4000	0.4279
[48]	[-0.0126]	1.2516	0.2667	0.3609
[49]	[-0.0143]	1.7866	0.4667	0.4162
[50]	[-0.0061]	0.3758	0.4000	0.3186
[51]	[0.0141]	-0.2332	0.4667	0.4310
[52]	[-0.0251]	0.7984	0.2000	0.2971
[53]	[-0.0074]	0.6616	0.4667	0.4060
[54]	[0.0082]	-0.9105	0.4000	0.4189
[55]	[-0.0028]	0.2353	0.5333	0.5185
[56]	[0.0268]	-0.7062	0.4000	0.4065
[57]	[0.0145]	-0.1768	0.5333	0.4847
[58]	[0.0154]	-0.4986	0.3333	0.3294
[59]	[-0.0004]	0.1502	0.4667	0.4667
[60]	[-0.0134]	3.2375	0.2000	0.2593
[61]	[-0.0007]	0.6894	0.4000	0.3936
[62]	[-0.0408]	1.0659	0.3333	0.3084
[63]	[-0.0025]	0.5438	0.4000	0.3948
[64]	[-0.0177]	0.7326	0.3333	0.3751
[65]	[0.0986]	-1.3709	0.2000	0.2667
[66]	[-0.0029]	0.2293	0.4000	0.4109
[67]	[0.0341]	-0.5645	0.4000	0.3745
[68]	[-0.0139]	0.5254	0.3333	0.3883
[69]	[0.0129]	-0.6387	0.4000	0.4089
[70]	[0.0071]	-0.1197	0.5333	0.5348
[71]	[-0.0065]	0.5135	0.4000	0.3698
[72]	[0.0028]	-0.1366	0.5333	0.5178
[73]	[-0.0025]	0.2085	0.4000	0.4198
[74]	[0.0294]	-0.8983	0.4000	0.3313
[75]	[-0.0047]	0.4372	0.4000	0.4219
[76]	[-0.0073]	0.3803	0.4000	0.4477
[77]	[-0.0083]	0.5768	0.4000	0.3988
[78]	[0.0195]	-1.2164	0.2667	0.3245
[79]	[0.0140]	-0.2079	0.4000	0.4004
[80]	[0.0012]	0.0926	0.4667	0.4667
[81]	[-0.0040]	0.3811	0.4000	0.4051
[82]	[-0.0123]	0.6482	0.4667	0.4632
[83]	[0.0038]	-1.7229	0.3333	0.3574
[84]	[-0.0060]	0.3860	0.4000	0.4093
[85]	[-0.0054]	0.4694	0.4667	0.4471
[86]	[0.0243]	-0.9045	0.3333	0.3931
