gene index	a_n	m	resub	bresub
[0]	[0.0005]	-1.4623	0.3750	0.3829
[1]	[0.0204]	-0.9122	0.3750	0.4069
[2]	[0.0037]	-0.8074	0.3125	0.3377
[3]	[-0.0068]	0.1998	0.5625	0.5164
[4]	[-0.0094]	1.1973	0.2500	0.3660
[5]	[-0.0006]	0.1506	0.5625	0.5015
[6]	[0.0103]	-0.3481	0.5000	0.4273
[7]	[-0.0038]	0.4336	0.5000	0.4403
[8]	[-0.0123]	0.8840	0.3125	0.3998
[9]	[-0.0042]	0.8184	0.4375	0.3963
[10]	[0.0402]	-0.7748	0.3125	0.3285
[11]	[0.0029]	-0.4739	0.5625	0.4846
[12]	[-0.0028]	0.3609	0.4375	0.4518
[13]	[0.0007]	-0.0163	0.3750	0.4373
[14]	[0.0187]	-0.7409	0.4375	0.3931
[15]	[0.0044]	-0.0970	0.4375	0.4463
[16]	[0.0206]	-0.6932	0.3750	0.3638
[17]	[0.0110]	-0.6466	0.3750	0.4278
[18]	[-0.0011]	1.5816	0.4375	0.4055
[19]	[-0.0147]	0.7916	0.4375	0.4025
[20]	[0.0128]	-0.8827	0.3750	0.3916
[21]	[-0.0058]	0.1830	0.5625	0.4796
[22]	[0.0075]	-0.1657	0.4375	0.4952
[23]	[0.0278]	-0.7476	0.2500	0.1995
[24]	[0.0067]	-0.8064	0.1250	0.3005
[25]	[0.0089]	-2.4226	0.3750	0.3813
[26]	[0.0117]	-1.7707	0.3125	0.3284
[27]	[-0.0097]	1.0230	0.3125	0.3810
[28]	[0.0012]	-0.3305	0.4375	0.3714
[29]	[0.0202]	-0.8808	0.2500	0.3137
[30]	[0.0042]	-0.2895	0.5000	0.4687
[31]	[-0.0132]	0.7561	0.2500	0.3746
[32]	[-0.0016]	0.4283	0.5000	0.4945
[33]	[-0.0072]	0.2576	0.5000	0.4564
[34]	[0.0134]	-0.4630	0.5625	0.4648
[35]	[-0.0027]	0.4004	0.5000	0.4759
[36]	[-0.0600]	1.2372	0.2500	0.3284
[37]	[0.0222]	-1.0679	0.3750	0.3259
[38]	[0.0061]	-0.6923	0.3750	0.4524
[39]	[-0.0024]	0.4427	0.2500	0.3896
[40]	[-0.0349]	1.1161	0.3125	0.3324
[41]	[0.0470]	-1.6910	0.1875	0.2131
[42]	[-0.0208]	1.3794	0.3750	0.3549
[43]	[-0.0151]	0.3248	0.3750	0.4039
