gene index	a_n	m	resub	bresub
[0]	[0.0015]	-2.0678	0.2273	0.2391
[1]	[-0.0174]	1.3718	0.3182	0.2871
[2]	[-0.0003]	0.8351	0.3182	0.3182
[3]	[-0.0061]	0.9481	0.3182	0.3329
[4]	[0.0243]	-1.1510	0.2273	0.2212
[5]	[0.0048]	-0.5828	0.3182	0.2752
[6]	[0.0038]	0.6233	0.3182	0.3182
[7]	[-0.0043]	1.6454	0.2273	0.2280
[8]	[0.0202]	-0.2356	0.2727	0.2977
[9]	[0.0016]	0.4773	0.3182	0.3182
[10]	[-0.0040]	0.8375	0.3182	0.3182
[11]	[0.0057]	-0.0444	0.3182	0.2873
[12]	[-0.0070]	1.5191	0.2727	0.2625
[13]	[0.0281]	0.2574	0.3182	0.3203
[14]	[0.0207]	0.3472	0.3182	0.3252
[15]	[0.0448]	0.1555	0.3182	0.3017
[16]	[0.0022]	0.7322	0.3182	0.3182
[17]	[0.0173]	-0.0913	0.2273	0.2654
[18]	[0.0030]	-2.7630	0.1364	0.1671
[19]	[0.0155]	0.1824	0.3182	0.3111
[20]	[0.0010]	0.6845	0.3182	0.3182
[21]	[0.0023]	0.7068	0.3182	0.3182
[22]	[-0.0177]	1.2113	0.2727	0.2727
[23]	[0.0295]	0.6138	0.3182	0.3182
[24]	[0.0174]	-0.3524	0.1364	0.2323
[25]	[0.0028]	0.1389	0.3182	0.3164
[26]	[-0.0001]	0.7826	0.3182	0.3182
[27]	[0.0050]	0.1820	0.3182	0.3182
[28]	[0.0049]	0.4410	0.3182	0.3290
[29]	[0.0363]	-0.1203	0.3182	0.3210
[30]	[0.0098]	0.5470	0.3182	0.3182
[31]	[-0.0182]	2.2185	0.2273	0.2712
[32]	[0.0005]	0.6173	0.3182	0.3182
[33]	[0.0500]	-0.2804	0.2727	0.2682
[34]	[0.0085]	0.5443	0.3182	0.3182
[35]	[0.0132]	-0.6775	0.3636	0.3185
[36]	[0.0113]	0.3891	0.3182	0.3182
[37]	[0.0004]	0.7367	0.3182	0.3182
[38]	[0.0078]	0.1117	0.3182	0.3182
[39]	[0.0155]	-0.8254	0.1364	0.1560
[40]	[0.0024]	0.7188	0.3182	0.3182
[41]	[0.0039]	0.5813	0.3182	0.3182
[42]	[0.0226]	-0.2394	0.2273	0.2391
[43]	[0.0346]	0.0336	0.3182	0.2837
[44]	[0.0028]	0.3545	0.3182	0.3223
[45]	[-0.0338]	1.8996	0.2273	0.2136
[46]	[-0.0078]	1.2125	0.3182	0.3048
[47]	[0.0086]	-0.3770	0.1364	0.2084
[48]	[0.0296]	-2.1584	0.2273	0.2100
[49]	[0.0191]	-0.9317	0.2273	0.2450
[50]	[-0.0068]	1.4951	0.2727	0.2593
[51]	[-0.0006]	0.7781	0.3182	0.3182
[52]	[0.0266]	0.1768	0.3182	0.3284
[53]	[0.0192]	-0.3889	0.2273	0.2628
[54]	[0.0049]	0.1796	0.3182	0.3277
[55]	[-0.0080]	1.1814	0.2727	0.2883
[56]	[-0.0060]	0.9733	0.2727	0.2954
[57]	[0.0144]	0.5297	0.3182	0.3182
[58]	[0.0086]	0.4317	0.3182	0.3182
[59]	[0.0061]	0.5480	0.3182	0.3182
[60]	[0.0026]	0.2625	0.3182	0.3182
[61]	[0.0009]	0.1177	0.3182	0.3185
[62]	[-0.0003]	0.7706	0.3182	0.3182
[63]	[0.0022]	0.4340	0.3182	0.3184
[64]	[-0.0062]	0.9681	0.3182	0.3182
[65]	[0.0213]	0.5478	0.3182	0.3182
[66]	[-0.0134]	1.4124	0.2273	0.2433
[67]	[-0.0203]	1.8839	0.1818	0.1860
[68]	[0.0230]	0.3142	0.3182	0.2797
[69]	[0.0083]	0.2542	0.3182	0.3322
[70]	[0.0536]	-0.3214	0.0455	0.1445
[71]	[-0.0089]	1.5701	0.3182	0.2901
[72]	[0.0047]	0.3382	0.3182	0.3181
[73]	[-0.0345]	2.0369	0.2727	0.2816
[74]	[0.0411]	-0.1729	0.2727	0.2668
[75]	[0.0186]	-0.3835	0.2273	0.2269
