gene index	a_n	m	resub	bresub
[0]	[0.0017]	-3.2132	0.2000	0.2321
[1]	[-0.0050]	0.3461	0.4667	0.3989
[2]	[-0.0063]	1.5668	0.3333	0.3142
[3]	[-0.0020]	0.1998	0.5333	0.5096
[4]	[0.0227]	-2.0416	0.1333	0.2081
[5]	[0.0008]	-0.0453	0.4667	0.4873
[6]	[-0.0062]	0.3287	0.4667	0.4734
[7]	[-0.0025]	0.6404	0.4667	0.4131
[8]	[0.0212]	-1.1496	0.2000	0.2528
[9]	[0.0052]	-0.8435	0.4000	0.3894
[10]	[-0.0154]	0.3835	0.4667	0.4468
[11]	[0.0048]	-0.5172	0.4000	0.4194
[12]	[0.0008]	0.0306	0.4667	0.4575
[13]	[0.0193]	-0.2094	0.4667	0.5535
[14]	[0.0623]	-0.6296	0.3333	0.3009
[15]	[0.0284]	-0.2814	0.4000	0.3748
[16]	[0.0149]	-0.1137	0.4000	0.3670
[17]	[0.0084]	-0.2487	0.5333	0.5131
[18]	[0.0041]	-4.6090	0.2000	0.1994
[19]	[0.0267]	-1.0926	0.3333	0.3273
[20]	[-0.0171]	1.2342	0.4000	0.4023
[21]	[0.0106]	-0.1650	0.4667	0.4116
[22]	[-0.0159]	0.5448	0.4667	0.4637
[23]	[-0.0221]	0.1827	0.4667	0.4581
[24]	[0.0276]	-1.3553	0.3333	0.3476
[25]	[0.0042]	-0.7937	0.4000	0.4330
[26]	[-0.0095]	1.4865	0.4000	0.3638
[27]	[0.0062]	-0.5644	0.4667	0.4720
[28]	[0.0126]	-0.8684	0.2000	0.1897
[29]	[0.0221]	-0.2956	0.4000	0.4080
[30]	[0.0300]	-1.0328	0.2000	0.2788
[31]	[-0.0127]	1.1807	0.2667	0.3377
[32]	[0.0003]	0.0346	0.4667	0.4745
[33]	[0.0477]	-0.9511	0.2000	0.2178
[34]	[-0.0008]	0.1516	0.4667	0.4667
[35]	[0.0314]	-3.6209	0.2000	0.2403
[36]	[0.0044]	0.0100	0.4667	0.4524
[37]	[-0.0056]	0.4151	0.4000	0.3967
