gene index	a_n	m	resub	bresub
[1,30]	[0.0411  0.0202]	-2.2482	0.1935	0.2494
[1,197]	[0.0536  0.0261]	-3.0706	0.1935	0.2476
[1,295]	[0.0498  0.0513]	-2.8944	0.1613	0.2333
[1,418]	[0.0426  -0.0347]	-0.0662	0.1613	0.2192
[1,448]	[0.0369  0.0265]	-2.2542	0.2258	0.2244
[5,127]	[-0.0059  0.0140]	-0.0542	0.2581	0.2448
[16,353]	[0.0367  0.0578]	-2.7774	0.2258	0.2071
[23,255]	[0.0250  0.0203]	-1.2529	0.2581	0.2454
[23,353]	[0.0220  0.0498]	-2.0072	0.1935	0.2327
[30,93]	[0.0162  0.0096]	-1.0055	0.2903	0.2400
[30,127]	[0.0110  0.0072]	-1.3890	0.2258	0.2467
[30,205]	[0.0163  0.0059]	-0.8145	0.2581	0.2423
[30,217]	[0.0201  0.0117]	-1.8305	0.1935	0.2190
[30,230]	[0.0181  0.0139]	-1.5194	0.2258	0.2172
[30,255]	[0.0261  0.0230]	-2.1471	0.1935	0.1729
[30,297]	[0.0235  0.0118]	-2.7608	0.1613	0.2155
[30,315]	[0.0166  -0.0099]	-0.0957	0.2258	0.2432
[30,316]	[0.0159  0.0043]	-0.8603	0.2903	0.2437
[30,353]	[0.0215  0.0508]	-2.6575	0.1935	0.2302
[30,364]	[0.0200  0.0129]	-2.3033	0.2581	0.2363
[30,388]	[0.0234  0.0058]	-1.6850	0.1935	0.2067
[30,399]	[0.0139  0.0084]	-0.7141	0.3226	0.2485
[36,194]	[-0.0432  -0.0603]	2.9988	0.2258	0.2301
[37,247]	[-0.0226  -0.0628]	3.2923	0.1613	0.2495
[40,194]	[0.0449  -0.0557]	0.4498	0.1290	0.2446
[40,255]	[0.0250  0.0161]	-1.2692	0.2258	0.2450
[40,342]	[0.0262  -0.0252]	0.1928	0.1935	0.2459
[43,409]	[-0.0245  -0.0513]	2.3955	0.2258	0.2438
[49,255]	[0.0194  0.0257]	-3.3999	0.2258	0.2493
[51,255]	[0.0192  0.0268]	-2.0668	0.2258	0.2021
[51,353]	[0.0141  0.0551]	-2.5152	0.1613	0.2355
[51,364]	[0.0194  0.0196]	-3.1091	0.1935	0.2411
[64,409]	[0.0519  -0.0807]	0.8654	0.2258	0.2395
[78,152]	[0.0304  -0.0899]	0.3348	0.1935	0.2495
[78,255]	[0.0126  0.0149]	-1.4175	0.2258	0.2312
[80,255]	[0.0210  0.0213]	-1.9625	0.2581	0.2295
[80,353]	[0.0224  0.0583]	-3.0841	0.1290	0.2097
[82,255]	[0.0299  0.0269]	-2.4938	0.1613	0.2063
[89,152]	[0.0353  -0.0504]	0.2598	0.1613	0.2390
