gene index	a_n	m	resub	bresub
[1,83,229]	[0.0061  0.0238  0.0278]	-12.2995	0.0625	0.0745
[6,83,93]	[-0.0031  0.0234  0.0386]	-10.5681	0.0000	0.0749
[6,83,229]	[0.0010  0.0238  0.0286]	-12.1910	0.0625	0.0750
[15,83,229]	[-0.0209  0.0240  0.0285]	-11.7725	0.0625	0.0729
[16,83,93]	[0.0130  0.0237  0.0378]	-10.9758	0.0000	0.0732
[16,83,229]	[-0.0009  0.0238  0.0286]	-12.1294	0.0625	0.0733
[17,83,93]	[-0.0003  0.0234  0.0391]	-10.6743	0.0000	0.0727
[17,83,229]	[0.0211  0.0257  0.0326]	-14.6262	0.0000	0.0714
[23,83,229]	[-0.0245  0.0238  0.0280]	-12.0279	0.0000	0.0746
[36,83,93]	[-0.0071  0.0233  0.0398]	-10.4626	0.0000	0.0728
[41,83,93]	[-0.0019  0.0233  0.0390]	-10.5828	0.0000	0.0719
[41,83,229]	[-0.0171  0.0232  0.0289]	-11.4235	0.0000	0.0707
[48,89,334]	[-0.0909  0.1317  -0.1176]	9.1268	0.0000	0.0726
[50,83,93]	[-0.0027  0.0233  0.0392]	-10.5849	0.0000	0.0731
[50,83,229]	[0.0025  0.0239  0.0284]	-12.2526	0.0625	0.0738
[51,83,93]	[0.0267  0.0253  0.0438]	-12.4579	0.0000	0.0711
[51,83,229]	[0.0347  0.0268  0.0341]	-14.9642	0.0000	0.0738
[56,83,93]	[-0.0078  0.0236  0.0393]	-10.5008	0.0000	0.0724
[65,83,93]	[-0.0005  0.0234  0.0391]	-10.6867	0.0000	0.0708
[65,83,229]	[0.0001  0.0238  0.0285]	-12.1426	0.0625	0.0713
[66,83,229]	[0.0060  0.0240  0.0285]	-12.4514	0.1250	0.0727
[67,83,229]	[0.0050  0.0237  0.0284]	-12.2205	0.0625	0.0743
[74,83,229]	[-0.0014  0.0238  0.0285]	-12.0734	0.0625	0.0744
[76,83,229]	[-0.0144  0.0241  0.0286]	-11.8492	0.0000	0.0726
[81,83,93]	[0.0259  0.0242  0.0395]	-12.3575	0.0000	0.0738
[81,83,229]	[0.0247  0.0245  0.0286]	-13.7006	0.0000	0.0750
[82,83,229]	[-0.0149  0.0245  0.0285]	-11.9784	0.0000	0.0745
[83,85,93]	[0.0231  -0.0123  0.0369]	-9.4371	0.0000	0.0735
[83,85,229]	[0.0234  -0.0092  0.0269]	-11.0588	0.0000	0.0672
[83,90,93]	[0.0233  -0.0048  0.0387]	-10.5863	0.0000	0.0740
[83,93,96]	[0.0232  0.0398  -0.0173]	-10.3291	0.0000	0.0745
[83,93,107]	[0.0234  0.0391  -0.0006]	-10.6642	0.0000	0.0750
[83,93,109]	[0.0234  0.0392  0.0009]	-10.7952	0.0000	0.0746
[83,93,110]	[0.0234  0.0392  0.0081]	-10.8039	0.0000	0.0723
[83,93,127]	[0.0258  0.0384  0.0213]	-13.5350	0.0000	0.0694
[83,93,134]	[0.0234  0.0390  -0.0004]	-10.6773	0.0000	0.0750
[83,93,135]	[0.0237  0.0380  -0.0083]	-10.4066	0.0000	0.0704
[83,93,141]	[0.0235  0.0398  0.0117]	-10.9910	0.0000	0.0730
[83,93,152]	[0.0233  0.0380  -0.0264]	-9.8368	0.0000	0.0749
[83,93,166]	[0.0231  0.0386  -0.0068]	-10.0383	0.0000	0.0737
[83,93,168]	[0.0236  0.0398  0.0060]	-10.9221	0.0000	0.0721
[83,93,172]	[0.0305  0.0425  0.0422]	-19.5527	0.0000	0.0744
[83,93,174]	[0.0251  0.0390  -0.0289]	-8.8592	0.0000	0.0723
[83,93,181]	[0.0239  0.0392  -0.0240]	-9.9879	0.0000	0.0738
[83,93,185]	[0.0235  0.0389  -0.0035]	-10.5867	0.0000	0.0741
[83,93,215]	[0.0230  0.0384  -0.0056]	-10.3012	0.0000	0.0723
[83,93,229]	[0.0262  0.0234  0.0184]	-13.0267	0.0000	0.0678
[83,93,238]	[0.0236  0.0408  0.0129]	-11.2484	0.0000	0.0740
[83,93,263]	[0.0234  0.0391  0.0006]	-10.7007	0.0000	0.0732
[83,93,266]	[0.0232  0.0406  -0.0153]	-10.4538	0.0000	0.0730
[83,93,273]	[0.0235  0.0385  -0.0209]	-10.0913	0.0000	0.0736
[83,93,281]	[0.0240  0.0363  -0.0155]	-10.0621	0.0000	0.0707
[83,93,283]	[0.0236  0.0398  0.0136]	-10.9431	0.0000	0.0723
[83,93,286]	[0.0239  0.0390  -0.0138]	-10.5928	0.0000	0.0708
[83,93,292]	[0.0234  0.0391  -0.0007]	-10.6670	0.0000	0.0726
[83,93,298]	[0.0237  0.0385  -0.0208]	-10.3391	0.0000	0.0738
[83,93,303]	[0.0237  0.0376  -0.0146]	-10.2985	0.0000	0.0735
[83,93,334]	[0.0231  0.0376  -0.0199]	-10.1790	0.0000	0.0747
[83,93,336]	[0.0234  0.0406  0.0097]	-11.0660	0.0000	0.0741
[83,93,344]	[0.0233  0.0397  0.0073]	-10.8603	0.0000	0.0739
[83,93,346]	[0.0234  0.0387  0.0035]	-10.7873	0.0000	0.0737
[83,93,347]	[0.0230  0.0373  -0.0089]	-10.0140	0.0000	0.0746
[83,93,357]	[0.0236  0.0411  0.0210]	-11.4001	0.0000	0.0748
[83,93,363]	[0.0235  0.0386  -0.0060]	-10.4177	0.0000	0.0733
[83,93,377]	[0.0250  0.0410  -0.0283]	-10.3834	0.0000	0.0734
[83,93,378]	[0.0254  0.0417  -0.0256]	-10.9507	0.0000	0.0737
[83,93,384]	[0.0273  0.0459  0.0251]	-13.4741	0.0000	0.0658
[83,93,395]	[0.0231  0.0384  -0.0056]	-10.3200	0.0000	0.0712
[83,93,396]	[0.0234  0.0391  -0.0001]	-10.6920	0.0000	0.0721
[83,93,416]	[0.0232  0.0388  -0.0106]	-10.4848	0.0000	0.0719
[83,93,417]	[0.0228  0.0362  -0.0209]	-9.4191	0.0000	0.0736
[83,93,422]	[0.0235  0.0383  -0.0108]	-10.4670	0.0000	0.0707
