gene index	a_n	m	resub	bresub
[1,33,241]	[-0.0312  0.9047  0.4892]	-55.4560	0.0000	0.0243
[1,241,296]	[-0.0067  0.2404  0.0827]	-31.9074	0.0000	0.0312
[3,33,241]	[-0.0428  0.9405  0.4936]	-56.0319	0.0000	0.0461
[3,241,296]	[-0.0212  0.2415  0.0856]	-31.9396	0.0000	0.0440
[4,33,241]	[-0.0716  1.0140  0.5573]	-57.8194	0.0000	0.0414
[4,241,296]	[-0.0424  0.2714  0.0917]	-32.3648	0.0000	0.0477
[6,33,241]	[-0.0250  0.9084  0.4852]	-55.3482	0.0000	0.0266
[6,241,296]	[-0.0036  0.2406  0.0832]	-32.0992	0.0000	0.0348
[8,33,241]	[-0.0960  0.9643  0.5267]	-56.7675	0.0000	0.0166
[8,241,296]	[-0.0340  0.2484  0.0846]	-31.7034	0.0000	0.0429
[10,33,241]	[0.0106  0.9019  0.4837]	-56.2183	0.0000	0.0247
[10,241,286]	[-0.0126  0.0691  -0.1241]	-1.5698	0.0000	0.0498
[10,241,296]	[-0.0398  0.2470  0.0846]	-31.9763	0.0000	0.0322
[13,16,77]	[0.9394  0.3589  0.4704]	-42.3504	0.0000	0.0347
[13,33,241]	[0.3236  1.1712  0.5859]	-76.6471	0.0000	0.0258
[13,77,92]	[0.6728  0.2878  0.2480]	-28.8996	0.0000	0.0480
[13,77,192]	[0.5342  0.2760  0.2957]	-23.2412	0.0000	0.0296
[13,77,205]	[0.5748  0.3864  -0.4973]	-25.7782	0.0000	0.0357
[13,77,289]	[0.4879  0.3078  0.0889]	-24.8734	0.0000	0.0444
[13,77,308]	[0.5008  0.3099  -0.1057]	-21.5921	0.0000	0.0481
[13,77,361]	[0.5639  0.3849  -0.3243]	-23.1074	0.0000	0.0422
[13,77,378]	[0.5710  0.3851  -0.1541]	-25.6269	0.0000	0.0252
[13,226,343]	[0.2426  0.2389  0.2333]	-16.9633	0.0000	0.0424
[13,241,286]	[0.0255  0.0660  -0.1241]	-2.2022	0.0000	0.0490
[13,241,296]	[0.2579  0.2853  0.1127]	-46.3043	0.0000	0.0412
[14,241,296]	[-0.0132  0.2411  0.0856]	-32.4065	0.0000	0.0360
[15,33,241]	[-0.2189  0.9907  0.5365]	-59.6308	0.0000	0.0243
[15,241,286]	[-0.0109  0.0685  -0.1229]	-1.7472	0.0000	0.0459
