gene index	a_n	m	resub	bresub
[1,4,91,296]	[-0.0146  0.0470  0.0559  0.0208]	-24.4745	0.0000	0.0438
[1,366,449,456]	[-0.0351  0.0346  0.1063  0.0542]	-35.7542	0.0000	0.0439
[2,3,91,204]	[-0.0652  -0.0482  0.0979  0.0527]	-18.0393	0.0000	0.0469
[2,4,91,296]	[-0.0824  0.0491  0.1195  0.0330]	-26.8146	0.0000	0.0461
[2,12,91,204]	[-0.1120  -0.0873  0.1135  0.1041]	-10.1965	0.0000	0.0487
[2,22,91,296]	[-0.0793  -0.0335  0.1169  0.0266]	-20.8251	0.0000	0.0474
[2,30,91,296]	[-0.0858  0.0356  0.1165  0.0270]	-20.8004	0.0000	0.0485
[2,34,91,204]	[-0.0664  0.0219  0.0980  0.0532]	-19.5917	0.0000	0.0476
[2,35,91,296]	[-0.0795  -0.0263  0.1232  0.0308]	-21.4754	0.0000	0.0491
[2,43,91,204]	[-0.0671  -0.0276  0.1038  0.0556]	-20.2131	0.0000	0.0497
[2,48,91,204]	[-0.0608  0.0440  0.0991  0.0471]	-24.9767	0.0000	0.0424
[2,52,91,204]	[-0.0648  0.0491  0.0996  0.0515]	-20.6522	0.0000	0.0489
[2,52,91,296]	[-0.0852  0.0534  0.1150  0.0265]	-20.6148	0.0000	0.0483
[2,65,91,204]	[-0.0628  0.0112  0.1003  0.0510]	-20.4687	0.0000	0.0429
[2,66,91,296]	[-0.0670  -0.0799  0.1271  0.0350]	-25.7414	0.0000	0.0485
[2,74,91,204]	[-0.0600  0.0385  0.0984  0.0488]	-21.3393	0.0000	0.0459
[2,76,91,204]	[-0.0626  0.0090  0.1003  0.0527]	-20.9354	0.0000	0.0474
[2,81,91,296]	[-0.0821  -0.0056  0.1151  0.0271]	-20.2721	0.0000	0.0471
[2,82,91,296]	[-0.0788  -0.0192  0.1136  0.0277]	-20.3419	0.0000	0.0417
[2,84,91,296]	[-0.0813  -0.0219  0.1139  0.0285]	-19.9968	0.0000	0.0438
[2,89,91,204]	[-0.0659  0.0270  0.0995  0.0529]	-20.0219	0.0000	0.0468
[2,89,91,296]	[-0.0804  -0.0220  0.1159  0.0271]	-20.7996	0.0000	0.0449
[2,91,92,204]	[-0.0605  0.0992  0.0495  0.0504]	-21.0812	0.0000	0.0452
[2,91,94,296]	[-0.0841  0.1196  -0.0515  0.0273]	-18.3320	0.0000	0.0499
[2,91,95,296]	[-0.0713  0.1191  -0.0269  0.0296]	-21.7055	0.0000	0.0483
[2,91,101,296]	[-0.0849  0.1143  -0.0336  0.0275]	-18.5829	0.0000	0.0493
[2,91,104,204]	[-0.0604  0.1009  0.0121  0.0518]	-21.6620	0.0000	0.0497
[2,91,110,296]	[-0.0814  0.1152  -0.0267  0.0274]	-20.3851	0.0000	0.0440
[2,91,111,296]	[-0.0844  0.1135  -0.0370  0.0286]	-18.0858	0.0000	0.0481
[2,91,113,296]	[-0.0827  0.1151  -0.0113  0.0271]	-20.1065	0.0000	0.0452
[2,91,115,296]	[-0.0853  0.1132  0.0426  0.0261]	-19.7804	0.0000	0.0484
[2,91,116,204]	[-0.0618  0.1006  -0.0129  0.0514]	-20.4680	0.0000	0.0467
[2,91,116,296]	[-0.0813  0.1191  -0.0384  0.0262]	-20.9180	0.0000	0.0465
