"","Gene.ID","Gene.Name","SubType","Main.Biotype"
"1","ENSMUSG00000102693","4933401J01Rik","TEC","To be Experimentally Confirmed"
"2","ENSMUSG00000064842","Gm26206","snRNA","Processed transcripts"
"3","ENSMUSG00000051951","Xkr4","protein_coding","Protein Coding Genes"
"4","ENSMUSG00000102851","Gm18956","processed_pseudogene","Pseudogenes"
"5","ENSMUSG00000103377","Gm37180","TEC","To be Experimentally Confirmed"
"6","ENSMUSG00000104017","Gm37363","TEC","To be Experimentally Confirmed"
"7","ENSMUSG00000103025","Gm37686","TEC","To be Experimentally Confirmed"
"8","ENSMUSG00000089699","Gm1992","antisense","Processed transcripts"
"9","ENSMUSG00000103201","Gm37329","TEC","To be Experimentally Confirmed"
"10","ENSMUSG00000103147","Gm7341","processed_pseudogene","Pseudogenes"
"11","ENSMUSG00000103161","Gm38148","TEC","To be Experimentally Confirmed"
"12","ENSMUSG00000102331","Gm19938","sense_intronic","Processed transcripts"
"13","ENSMUSG00000102348","Gm10568","TEC","To be Experimentally Confirmed"
"14","ENSMUSG00000102592","Gm38385","TEC","To be Experimentally Confirmed"
"15","ENSMUSG00000088333","Gm27396","snRNA","Processed transcripts"
"16","ENSMUSG00000102343","Gm37381","lincRNA","Processed transcripts"
"17","ENSMUSG00000025900","Rp1","protein_coding","Protein Coding Genes"
"18","ENSMUSG00000102948","Gm6101","processed_pseudogene","Pseudogenes"
"19","ENSMUSG00000104123","Gm37483","TEC","To be Experimentally Confirmed"
"20","ENSMUSG00000025902","Sox17","protein_coding","Protein Coding Genes"
"21","ENSMUSG00000104238","Gm37587","processed_transcript","Processed transcripts"
"22","ENSMUSG00000102269","Gm7357","processed_pseudogene","Pseudogenes"
"23","ENSMUSG00000096126","Gm22307","snRNA","Processed transcripts"
"24","ENSMUSG00000103003","Gm38076","processed_pseudogene","Pseudogenes"
"25","ENSMUSG00000104328","Gm37323","lincRNA","Processed transcripts"
"26","ENSMUSG00000102735","Gm7369","processed_pseudogene","Pseudogenes"
"27","ENSMUSG00000098104","Gm6085","processed_pseudogene","Pseudogenes"
"28","ENSMUSG00000102175","Gm6119","processed_pseudogene","Pseudogenes"
"29","ENSMUSG00000088000","Gm25493","snRNA","Processed transcripts"
"30","ENSMUSG00000103265","Gm2053","processed_pseudogene","Pseudogenes"
"31","ENSMUSG00000103922","Gm6123","processed_pseudogene","Pseudogenes"
"32","ENSMUSG00000033845","Mrpl15","protein_coding","Protein Coding Genes"
"33","ENSMUSG00000102275","Gm37144","TEC","To be Experimentally Confirmed"
"34","ENSMUSG00000025903","Lypla1","protein_coding","Protein Coding Genes"
"35","ENSMUSG00000104217","Gm37988","protein_coding","Protein Coding Genes"
"36","ENSMUSG00000033813","Tcea1","protein_coding","Protein Coding Genes"
"37","ENSMUSG00000062588","Gm6104","processed_pseudogene","Pseudogenes"
"38","ENSMUSG00000103280","Gm37277","TEC","To be Experimentally Confirmed"
"39","ENSMUSG00000002459","Rgs20","protein_coding","Protein Coding Genes"
"40","ENSMUSG00000091305","Gm17100","processed_pseudogene","Pseudogenes"
"41","ENSMUSG00000102653","Gm37079","TEC","To be Experimentally Confirmed"
"42","ENSMUSG00000085623","Gm16041","antisense","Processed transcripts"
"43","ENSMUSG00000091665","Gm17101","processed_pseudogene","Pseudogenes"
"44","ENSMUSG00000033793","Atp6v1h","protein_coding","Protein Coding Genes"
"45","ENSMUSG00000104352","Gm7182","processed_pseudogene","Pseudogenes"
"46","ENSMUSG00000104046","Gm37567","TEC","To be Experimentally Confirmed"
"47","ENSMUSG00000102907","Gm38264","TEC","To be Experimentally Confirmed"
"48","ENSMUSG00000025905","Oprk1","protein_coding","Protein Coding Genes"
"49","ENSMUSG00000103936","Gm36965","processed_pseudogene","Pseudogenes"
"50","ENSMUSG00000093015","Gm22463","miRNA","Processed transcripts"
"51","ENSMUSG00000103519","Gm37429","TEC","To be Experimentally Confirmed"
"52","ENSMUSG00000033774","Npbwr1","protein_coding","Protein Coding Genes"
"53","ENSMUSG00000103090","Gm19214","processed_pseudogene","Pseudogenes"
"54","ENSMUSG00000025907","Rb1cc1","protein_coding","Protein Coding Genes"
"55","ENSMUSG00000090031","4732440D04Rik","antisense","Processed transcripts"
"56","ENSMUSG00000087247","Alkal1","protein_coding","Protein Coding Genes"
"57","ENSMUSG00000103355","Gm2147","processed_pseudogene","Pseudogenes"
"58","ENSMUSG00000102706","Gm7417","processed_pseudogene","Pseudogenes"
"59","ENSMUSG00000103845","Gm19026","processed_pseudogene","Pseudogenes"
"60","ENSMUSG00000033740","St18","protein_coding","Protein Coding Genes"
"61","ENSMUSG00000103329","Gm42492","TEC","To be Experimentally Confirmed"
"62","ENSMUSG00000104385","Gm7449","processed_pseudogene","Pseudogenes"
"63","ENSMUSG00000102135","Gm37108","processed_pseudogene","Pseudogenes"
"64","ENSMUSG00000103282","Gm37275","processed_pseudogene","Pseudogenes"
"65","ENSMUSG00000102534","Gm37225","processed_pseudogene","Pseudogenes"
"66","ENSMUSG00000102213","Gm37489","processed_pseudogene","Pseudogenes"
"67","ENSMUSG00000103629","Gm5694","processed_pseudogene","Pseudogenes"
"68","ENSMUSG00000051285","Pcmtd1","protein_coding","Protein Coding Genes"
"69","ENSMUSG00000098201","Gm26983","processed_pseudogene","Pseudogenes"
"70","ENSMUSG00000103509","Gm38372","TEC","To be Experimentally Confirmed"
"71","ENSMUSG00000048538","Gm9826","processed_pseudogene","Pseudogenes"
"72","ENSMUSG00000103709","Nras-ps2","processed_pseudogene","Pseudogenes"
"73","ENSMUSG00000077244","Gm23274","snoRNA","Processed transcripts"
"74","ENSMUSG00000102768","Gm19002","processed_pseudogene","Pseudogenes"
"75","ENSMUSG00000097797","Gm26901","lincRNA","Processed transcripts"
"76","ENSMUSG00000103498","Gm18984","processed_pseudogene","Pseudogenes"
"77","ENSMUSG00000103067","Gm30414","lincRNA","Processed transcripts"
"78","ENSMUSG00000102320","Gm37791","processed_pseudogene","Pseudogenes"
"79","ENSMUSG00000104226","Gm7470","processed_pseudogene","Pseudogenes"
"80","ENSMUSG00000103903","Rps2-ps2","processed_pseudogene","Pseudogenes"
"81","ENSMUSG00000103557","Gm38216","processed_pseudogene","Pseudogenes"
"82","ENSMUSG00000025909","Sntg1","protein_coding","Protein Coding Genes"
"83","ENSMUSG00000102647","Gm38024","TEC","To be Experimentally Confirmed"
"84","ENSMUSG00000086235","Gm16284","processed_pseudogene","Pseudogenes"
"85","ENSMUSG00000102253","Gm38259","TEC","To be Experimentally Confirmed"
"86","ENSMUSG00000093970","Gm23358","miRNA","Processed transcripts"
"87","ENSMUSG00000103884","Gm37005","TEC","To be Experimentally Confirmed"
"88","ENSMUSG00000084353","Gm15452","processed_pseudogene","Pseudogenes"
"89","ENSMUSG00000103933","Gm36964","processed_pseudogene","Pseudogenes"
"90","ENSMUSG00000076135","Gm24276","miRNA","Processed transcripts"
"91","ENSMUSG00000086195","Gm6152","processed_pseudogene","Pseudogenes"
"92","ENSMUSG00000104504","Gm7445","processed_pseudogene","Pseudogenes"
"93","ENSMUSG00000066693","Gm7493","processed_pseudogene","Pseudogenes"
"94","ENSMUSG00000102316","Gm37629","TEC","To be Experimentally Confirmed"
"95","ENSMUSG00000103819","Gm38008","processed_pseudogene","Pseudogenes"
"96","ENSMUSG00000102871","Gm37143","TEC","To be Experimentally Confirmed"
"97","ENSMUSG00000101571","Gm6187","processed_pseudogene","Pseudogenes"
"98","ENSMUSG00000104428","Gm18299","processed_pseudogene","Pseudogenes"
"99","ENSMUSG00000102272","Gm7512","processed_pseudogene","Pseudogenes"
"100","ENSMUSG00000065625","Gm24765","snRNA","Processed transcripts"
"101","ENSMUSG00000103411","Gm18300","processed_pseudogene","Pseudogenes"
"102","ENSMUSG00000061024","Rrs1","protein_coding","Protein Coding Genes"
"103","ENSMUSG00000025911","Adhfe1","protein_coding","Protein Coding Genes"
"104","ENSMUSG00000079671","2610203C22Rik","processed_transcript","Processed transcripts"
"105","ENSMUSG00000081441","Gm6161","processed_pseudogene","Pseudogenes"
"106","ENSMUSG00000067879","Vxn","protein_coding","Protein Coding Genes"
"107","ENSMUSG00000099827","Gm29520","lincRNA","Processed transcripts"
"108","ENSMUSG00000025912","Mybl1","protein_coding","Protein Coding Genes"
"109","ENSMUSG00000045210","Vcpip1","protein_coding","Protein Coding Genes"
